Time,Price
2012-06-29,12.33
2012-07-03,15.42
2012-07-04,14.61
2012-07-05,14.7
2012-07-07,14.79
2012-07-10,14.7
2012-07-11,14.25
2012-07-14,14.3
2012-07-16,14.3
2012-07-21,14.18
2012-07-21,14.18
2012-07-22,14.33
2012-07-26,14.35
2012-07-26,14.35
2012-07-27,14.28
2012-07-28,14.4
2012-07-31,14.35
2012-08-02,14.44
2012-08-07,14.52
2012-08-08,14.52
2012-08-11,14.46
2012-08-13,14.47
2012-08-16,14.56
2012-08-18,14.57
2012-08-18,14.58
2012-09-03,14.48
2012-09-05,14.49
2012-09-12,14.51
2012-09-24,14.63
2012-10-06,14.91
2012-10-16,14.59
2012-10-17,14.06
2012-10-18,14.11
2012-10-24,14.06
2012-10-25,14.1
2012-10-29,14.33
2012-11-03,14.38
2012-11-06,14.38
2012-11-07,14.52
2012-11-09,14.68
2012-11-11,14.03
2012-11-12,13.83
2012-11-16,13.75
2012-11-21,13.97
2012-11-25,14.04
2012-11-30,13.61
2012-12-01,13.63
2012-12-03,13.86
2012-12-04,14.03
2012-12-09,14
2012-12-14,13.96
2012-12-15,13.97
2012-12-16,13.97
2012-12-18,13.99
2012-12-22,13.98
2012-12-29,13.63
2013-01-01,13.62
2013-01-04,13.69
2013-01-06,13.74
2013-01-07,13.81
2013-01-10,13.81
2013-01-11,14.1
2013-01-19,14.89
2013-01-22,14.77
2013-01-23,14.71
2013-01-24,14.88
2013-01-25,14.92
2013-01-26,14.48
2013-01-28,14.49
2013-01-30,14.46
2013-02-01,14.56
2013-02-07,14.51
2013-02-12,14.37
2013-02-13,14.14
2013-02-15,14.05
2013-02-16,14.02
2013-02-17,14.03
2013-02-21,14.09
2013-02-22,14.18
2013-02-28,14.39
2013-03-01,14.5
2013-03-02,14.15
2013-03-04,14.06
2013-03-05,14.06
2013-03-07,14
2013-03-08,13.86
2013-03-11,13.84
2013-03-11,13.76
2013-03-13,13.35
2013-03-13,13.28
2013-03-14,13.24
2013-03-18,13.55
2013-03-20,13.77
2013-03-21,14.03
2013-03-22,14.05
2013-03-23,14.05
2013-03-23,13.95
2013-03-24,13.87
2013-03-25,13.93
2013-03-27,13.43
2013-03-28,13.43
2013-03-28,13.12
2013-03-29,13.17
2013-03-30,13.2
2013-03-31,13.22
2013-04-01,13.2
2013-04-03,13.58
2013-04-04,13.66
2013-04-05,13.58
2013-04-06,13.97
2013-04-07,13.97
2013-04-08,14.12
2013-04-08,14.12
2013-04-10,13.8
2013-04-11,13.52
2013-04-14,14.2
2013-04-14,14.2
2013-04-15,14.13
2013-04-17,13.96
2013-04-18,14.04
2013-04-18,14.04
2013-04-21,13.76
2013-04-21,13.8
2013-04-22,13.82
2013-04-23,13.71
2013-04-24,13.88
2013-04-25,13.96
2013-04-25,14.11
2013-04-26,14.19
2013-04-27,14.19
2013-04-27,14.43
2013-04-27,14.6
2013-04-28,14.78
2013-05-01,14.8
2013-05-02,14.78
2013-05-03,14.41
2013-05-03,14.41
2013-05-04,14.32
2013-05-04,14.32
2013-05-05,14.06
2013-05-05,14.06
2013-05-06,14.02
2013-05-07,14.02
2013-05-08,14.03
2013-05-08,14.05
2013-05-09,14.05
2013-05-09,14.06
2013-05-10,14.06
2013-05-12,14.02
2013-05-13,14.02
2013-05-15,13.89
2013-05-17,13.21
2013-05-22,13.45
2013-05-24,13.42
2013-05-25,13.61
2013-05-26,13.65
2013-05-26,13.65
2013-05-28,13.45
2013-05-30,13.12
2013-05-30,13.12
2013-06-01,13.14
2013-06-02,13.16
2013-06-05,13.07
2013-06-07,13.26
2013-06-10,13.4
2013-06-11,13.31
2013-06-14,13.11
2013-06-18,12.99
2013-06-21,12.93
2013-06-24,13.32
2013-06-27,13.35
2013-07-01,13.23
2013-07-04,13.06
2013-07-07,13.27
2013-07-10,13.45
2013-07-13,13.69
2013-07-16,13.93
2013-07-19,13.76
2013-07-22,13.65
2013-07-25,13.67
2013-07-28,13.58
2013-07-31,13.38
2013-08-03,13.35
2013-08-04,13.22
2013-08-06,13.23
2013-08-09,13.3
2013-08-12,13.44
2013-08-13,13.52
2013-08-22,13.13
2013-08-29,12.93
2013-08-30,12.98
2013-09-01,13
2013-09-04,12.99
2013-09-05,12.71
2013-09-07,13.3
2013-09-14,13.84
2013-09-17,14.08
2013-09-20,14.32
2013-09-23,14
2013-09-26,13.7
2013-09-29,13.94
2013-10-03,14.11
2013-10-06,14.27
2013-10-09,14.51
2013-10-13,14.5
2013-10-17,13.99
2013-10-20,13.7
2013-10-24,13.76
2013-10-24,13.61
2013-10-27,14.33
2013-10-30,14.4
2013-11-02,14.21
2013-11-05,13.82
2013-11-08,13.79
2013-11-11,13.82
2013-11-21,13.02
2013-11-25,12.47
2013-11-28,12.42
2013-12-01,12.56
2013-12-04,12.65
2013-12-07,13.2
2013-12-10,13.81
2013-12-14,13.43
2013-12-17,13.65
2013-12-22,13.62
2013-12-25,13.69
2014-01-01,14.18
2014-01-04,13.94
2014-01-08,13.81
2014-01-29,13.33
2014-02-01,13.53
2014-02-08,13.44
2014-02-11,13.33
2014-02-14,13.38
2014-02-17,13.19
2014-02-21,13.18
2014-02-27,13.3
2014-03-03,13.26
2014-03-10,13.5
2014-03-15,13.08
2014-03-18,13.34
2014-03-22,13.73
2014-04-08,13.56
2014-04-12,13.57
2014-04-16,13.64
2014-04-23,13.71
2014-04-26,13.74
2014-05-02,13.71
2014-05-04,13.7
2014-05-07,13.68
2014-05-10,13.69
2014-05-14,13.7
2014-06-13,14.09
2014-06-26,13.68
2014-07-10,13.4
2014-07-12,13.65
2014-07-25,12.73
2014-07-26,13.08
2014-07-30,13.15
2014-08-01,13.5
2014-08-06,13.97
2014-08-08,13.68
2014-08-21,13.35
2014-08-26,13.72
2014-08-30,13.43
2014-09-01,13.4
2014-09-05,13.64
2014-09-09,13.38
2014-09-11,13.03
2014-09-16,13.44
2014-09-17,13.47
2014-09-20,14.01
2014-09-21,14.17
2014-09-24,13.74
2014-09-25,13.22
2014-09-29,14.72
2014-10-03,14.47
2014-10-04,13.42
2014-10-07,13.25
2014-10-15,12.94
2014-10-26,12.74
2014-10-27,13.23
2014-11-04,12.88
2014-11-08,11.93
2014-11-12,11.75
2014-11-21,13.04
2014-11-24,13.1
2014-11-28,12.88
2014-12-02,12.94
2014-12-05,12.8
2014-12-28,13.39
2015-01-04,13.48
2015-02-15,12.67
2015-04-26,13.38
2015-04-30,13.45
2015-05-03,13.15
2015-05-07,12.98
2015-05-10,12.61
2015-05-13,12.78
2015-05-16,12.62
2015-05-20,12.19
2015-05-25,12.51
2015-05-29,12.65
2015-06-01,10.09
2015-06-08,9.91
2015-06-11,10.04
2015-06-14,10.09
2015-06-25,10.04
2015-06-28,10.09
2015-07-04,12.94
2015-07-10,12.86
2015-07-14,12.89
2015-07-18,13.19
2015-07-22,13.36
2015-07-25,12.83
2015-07-29,12.47
2015-08-02,16.86
2015-08-18,16.35
2015-08-22,14.88
2015-11-12,14.88
