Time,Price
2012-06-02,9.95
2012-10-04,9.95
2012-10-10,12.91
2012-10-11,13.03
2012-10-12,12.92
2012-10-14,13.14
2012-10-15,12.93
2012-10-16,12.94
2012-10-18,12.33
2012-10-18,12.33
2012-10-19,11.89
2012-10-20,12.43
2012-10-21,12.43
2012-10-23,12.95
2012-10-25,13.22
2012-10-26,13.22
2012-10-28,13.22
2012-11-01,13.18
2012-11-01,12.67
2012-11-02,12.7
2012-11-04,11.81
2012-11-06,11.84
2012-11-07,12.22
2012-11-09,12.31
2012-11-11,12.43
2012-11-12,12.53
2012-11-13,12.6
2012-11-13,12.6
2012-11-14,12.6
2012-11-22,12.72
2012-12-06,12.46
2012-12-30,12.46
2013-01-01,12.46
2013-01-06,12.26
2013-01-15,12.48
2013-01-18,13.09
2013-01-22,13.15
2013-01-30,13.58
2013-02-08,12.46
2013-02-17,12.46
2013-02-18,12.46
2013-03-18,12.82
2013-03-21,13.38
2013-03-27,13.56
2013-03-31,13.13
2013-04-07,13.01
2013-04-12,13.15
2013-04-15,12.85
2013-04-24,13.11
2013-05-02,12.47
2013-05-08,12.87
2013-05-14,12.46
2013-05-21,12.93
2013-05-27,12.44
2013-06-02,12.07
2013-06-08,11.97
2013-06-12,11.01
2013-06-29,12
2013-07-14,12.25
2013-07-24,11.63
2013-08-03,12.12
2013-08-13,12.66
2013-08-22,12.08
2013-09-05,12.31
2013-09-14,12.38
2013-09-24,11.2
2013-10-04,12.99
2013-10-26,12.99
2013-11-05,10.76
2013-12-25,9.87
2014-03-07,9.87
2014-04-16,9.87
2014-05-19,9.87
2014-06-18,9.87
2014-07-10,9.51
2014-07-30,8.85
2015-02-28,8.85
2015-06-02,12.04
2015-06-13,12.66
2015-07-10,9.87
2015-09-01,9.87
2015-09-25,12.99
2015-11-28,12.99
2016-01-31,12.99
2016-02-27,12.99
2016-04-27,12.99
2016-11-08,12.99
