Time,Price
2012-06-01,19.95
2012-06-02,19.95
2012-06-05,19.95
2012-06-08,19.95
2012-06-09,19.95
2012-06-23,19.95
2012-06-23,19.95
2012-07-02,19.95
2012-07-02,19.95
2012-07-03,19.95
2012-07-12,19.95
2012-07-16,18.47
2012-07-16,18.47
2012-07-28,18.47
2012-08-11,18.47
2012-08-12,18.47
2012-08-14,18.47
2012-08-14,18.47
2012-09-10,19.95
2012-09-10,19.95
2012-09-11,19.95
2012-09-13,19.95
2012-09-14,19.95
2012-09-15,19.95
2012-09-18,19.95
2012-09-21,19.95
2012-09-23,19.95
2012-09-25,19.95
2012-09-28,19.95
2012-09-28,19.95
2012-09-29,19.95
2012-09-29,19.95
2012-10-02,19.95
2012-10-02,19.95
2012-10-04,19.95
2012-10-05,19.95
2012-10-06,19.95
2012-10-06,19.95
2012-10-07,18.47
2012-10-08,18.37
2012-10-09,18.47
2012-10-10,19.95
2012-10-11,19.95
2012-10-16,19.95
2012-10-18,19.95
2012-10-31,19.95
2012-11-04,19.95
2012-11-05,19.95
2012-11-06,19.95
2012-11-07,19.95
2012-11-10,19.95
2012-11-19,19.95
2012-11-25,19.95
2012-11-30,18.47
2012-11-30,18.47
2012-12-01,18.47
2012-12-13,18.47
2012-12-18,18.47
2012-12-21,18.33
2012-12-21,18.33
2012-12-22,18.59
2012-12-22,18.47
2012-12-23,18.47
2012-12-23,18.47
2012-12-28,18.47
2012-12-31,18.47
2013-01-12,19.62
2013-01-13,18.47
2013-01-25,19.62
2013-01-26,19.62
2013-01-27,19.62
2013-01-28,18.47
2013-01-29,18.47
2013-02-07,18.47
2013-02-07,18.33
2013-02-09,18.47
2013-02-09,19.49
2013-02-10,19.49
2013-02-12,19.49
2013-02-12,19.46
2013-02-13,18.47
2013-02-17,18.47
2013-03-02,18.47
2013-03-04,18.47
2013-03-06,18.47
2013-03-06,18.47
2013-03-21,15.99
2013-03-22,15.99
2013-03-25,15.99
2013-03-26,18.47
2013-04-03,22.45
2013-04-03,18.47
2013-04-04,18.47
2013-04-06,18.47
2013-04-08,18.47
2013-04-12,18.47
2013-04-13,18.47
2013-04-14,18.47
2013-04-14,18.47
2013-04-14,18.47
2013-04-16,18.47
2013-04-25,18.47
2013-04-27,18.47
2013-04-28,18.47
2013-05-02,18.47
2013-05-09,18.47
2013-05-30,18.47
2013-06-05,18.47
2013-06-06,18.47
2013-06-07,18.47
2013-06-08,18.47
2013-06-10,18.47
2013-06-16,18.47
2013-06-21,18.47
2013-06-27,18.47
2013-07-10,18.47
2013-07-13,18.47
2013-07-15,18.47
2013-07-19,18.47
2013-07-22,18.47
2013-07-28,18.47
2013-08-05,18.47
2013-08-08,18.47
2013-08-09,18.47
2013-08-12,18.47
2013-08-16,18.47
2013-08-22,18.47
2013-08-26,18.47
2013-09-14,18.47
2013-09-24,18.47
2013-09-26,18.47
2013-10-01,18.47
2013-10-03,15.99
2013-10-31,16.62
2013-11-06,7.97
2013-11-07,16.62
2013-11-11,16.62
2013-11-26,14.98
2013-11-28,14.98
2013-12-02,16.62
2013-12-04,16.62
2013-12-05,16.62
