Time,Price
2015-06-02,8.51
2015-06-05,8.49
2015-06-09,8.11
2015-06-12,7.66
2015-06-15,7.87
2015-06-23,8.18
2015-06-26,8.37
2015-06-29,8.36
2015-07-05,9.22
2015-07-19,9.23
2015-07-23,7.78
2015-08-19,7.78
2015-08-24,9.23
2015-08-28,9.22
2015-09-06,9.22
2015-09-17,9.22
2015-10-04,9.69
2015-11-13,10.31
2015-11-16,9.69
2015-11-30,10.31
2015-12-15,7.71
2016-01-12,10.31
2016-02-03,9.69
2016-04-03,10.31
2016-04-28,9.71
2016-09-21,9.71
2016-10-29,9.71
2016-10-31,9.71
2016-11-01,9.71
2016-11-04,9.71
2016-11-06,9.71
2016-11-08,9.71
