Time,Price
2012-08-10,11.9
2012-08-11,11.52
2012-09-01,11.08
2012-09-02,11.08
2012-09-10,11.45
2012-09-30,11.14
2012-10-03,11.46
2012-10-06,11.22
2012-10-11,11.37
2012-11-11,11.69
2012-11-13,10.78
2012-12-01,10.56
2012-12-02,10.85
2012-12-05,11.09
2013-01-05,10.28
2013-01-21,10.99
2013-01-27,11.03
2013-02-20,10.97
2013-02-24,10.99
2013-03-05,11.22
2013-03-19,11.39
2013-03-21,11.74
2013-03-30,11.4
2013-04-04,11.38
2013-04-07,11.49
2013-04-11,11.44
2013-04-22,11.46
2013-04-25,11.47
2013-05-07,10.99
2013-05-26,10.97
2013-05-31,10.63
2013-06-08,10.78
2013-07-13,10.46
2013-07-17,7.97
2013-08-07,7.97
2013-08-08,7.97
2013-08-16,7.97
2013-08-28,7.97
2013-09-07,10.46
2013-09-27,9.99
2013-09-30,9.92
2013-10-07,9.99
2013-10-10,9.63
2013-10-13,9.99
2013-10-18,7.97
2013-11-04,7.97
2013-11-12,7.97
2013-12-08,7.97
2013-12-23,7.97
2014-01-29,7.97
2014-02-21,7.09
2014-02-24,7.73
2014-02-25,8.92
2014-02-28,9.31
2014-03-01,9.76
2014-03-03,9.87
2014-03-04,9.31
2014-03-06,8.91
2014-03-11,9.99
2014-03-15,7.97
2014-04-23,8.1
2014-04-26,9.56
2014-04-27,9.7
2014-04-28,10.46
2014-05-03,9.99
2014-05-08,9.61
2014-05-11,9.93
2014-05-12,9.9
2014-05-16,9.82
2014-05-18,9.56
2014-05-23,9.36
2014-05-25,9.49
2014-06-04,9.77
2014-06-06,9.96
2014-06-14,9.73
2014-07-08,7.97
2014-07-26,10.79
2014-07-27,11.39
2014-07-30,11.38
2014-08-02,10.64
2014-08-07,11.66
2014-08-08,11.49
2014-08-22,10.62
2014-09-01,10.39
2014-09-12,10.08
2014-09-14,10.39
2014-11-30,9.86
2015-06-03,10.18
2015-06-06,9.65
2015-06-12,7.84
2015-06-26,7.84
2015-06-29,9.85
2015-07-06,11.24
2015-07-12,7.84
2015-07-18,7.84
2015-07-21,7.84
2015-08-02,7.84
2015-08-12,11.56
2015-08-18,7.84
2015-11-05,7.84
2015-11-26,7.84
2015-12-23,7.84
2016-01-06,12.99
2016-01-12,12.99
2016-02-02,7.84
2016-02-20,11.7
2016-02-21,11.63
2016-02-28,7.84
2016-04-27,7.84
2016-05-11,5.75
2016-10-26,5.98
2016-10-28,5.98
2016-10-29,5.98
2016-10-30,5.98
2016-10-31,5.98
2016-10-31,5.98
2016-11-01,5.98
2016-11-03,5.98
2016-11-03,5.98
2016-11-04,5.98
2016-11-05,5.98
2016-11-05,5.98
2016-11-05,5.98
2016-11-06,5.98
2016-11-08,5.98
2016-11-08,5.98
2016-11-08,5.98
2016-11-09,5.98
2016-11-09,5.98
2016-11-10,5.98
2016-11-11,5.98
2016-11-11,5.98
2016-11-12,5.98
2016-11-12,5.98
2016-11-12,5.98
2016-11-13,5.98
2016-11-13,5.98
2016-11-15,5.98
2016-11-15,5.98
2016-11-16,10.49
2016-11-16,10.49
2016-11-16,10.49
2016-11-17,10.49
2016-11-18,7.49
2016-11-18,7.49
2016-11-19,9.74
2016-11-19,9.74
2016-11-20,9.74
2016-11-20,9.74
2016-11-20,9.74
2016-11-20,9.74
2016-11-21,10.49
2016-11-22,9.74
2016-11-22,9.74
2016-11-23,9.74
2016-11-23,9.74
2016-11-24,9.74
2016-11-25,9.74
2014-06-08,9.58
2014-07-02,7.97
2014-12-04,9.69
2015-02-03,10.22
2015-02-09,10.74
2015-04-09,9.30
2015-04-22,7.97
2015-06-28,9.85
2015-07-14,7.84
2016-02-23,11.71
2016-02-26,7.84
2016-05-13,5.75
2016-08-10,7.18
2016-11-08,5.98
2016-11-17,7.49
2016-11-23,9.74
2016-11-25,8.44
2016-11-26,8.44
