Time,Price
2014-02-23,6.99
2014-05-12,6.99
2014-06-19,6.99
2014-07-25,6.99
2014-08-07,6.99
2014-08-18,6.99
2015-01-21,6.99
2015-02-28,6.99
2015-03-02,6.99
2015-03-04,6.99
2015-03-10,6.99
2015-03-12,6.99
2015-03-18,6.99
2015-03-18,6.99
2015-03-20,6.99
2015-03-27,6.99
2015-03-29,6.99
2015-04-05,6.99
2015-04-06,6.99
2015-04-10,6.99
2015-04-12,6.99
2015-04-14,6.99
2015-04-16,6.99
2015-05-11,6.99
2015-05-20,6.99
2015-06-01,6.99
2015-08-02,6.99
2015-08-04,6.99
2015-08-25,6.99
2015-08-27,6.99
2015-09-14,6.99
2015-09-18,6.99
2015-09-19,6.99
2015-09-30,6.99
2015-10-05,6.99
2015-11-02,6.99
2015-11-11,6.99
2015-11-14,6.99
2015-11-17,6.99
2015-12-13,6.99
2016-01-14,6.99
2016-01-20,6.99
2016-01-29,6.99
2016-02-01,6.99
2016-03-22,6.99
2016-03-26,6.99
2016-03-29,6.99
2016-04-08,6.99
2016-11-08,6.99
