Time,Price
2015-06-02,5.9
2015-06-04,5.37
2015-06-05,5.65
2015-06-06,5.66
2015-06-09,5.77
2015-06-11,5.19
2015-06-14,5.75
2015-06-15,5.85
2015-06-19,5.69
2015-06-21,5.7
2015-06-22,5.48
2015-06-25,5.42
2015-06-26,5.81
2015-06-28,5.74
2015-06-29,5.74
2015-07-04,6
2015-07-05,5.45
2015-07-10,5.58
2015-07-12,5.46
2015-07-12,5.65
2015-07-16,5.85
2015-07-18,5.3
2015-07-19,5.53
2015-07-20,5.97
2015-07-23,6.27
2015-07-25,5.35
2015-07-27,6.14
2015-07-30,6.29
2015-08-02,5.92
2015-08-03,5.67
2015-08-05,6.03
2015-08-07,5.59
2015-08-08,5.98
2015-08-09,5.56
2015-08-11,5.7
2015-08-12,5.92
2015-08-14,5.87
2015-08-18,5.37
2015-08-20,5.04
2015-08-24,5.48
2015-08-26,5.35
2015-08-30,5.7
2015-09-01,5.46
2015-09-02,5.35
2015-09-06,5.27
2015-09-07,5.61
2015-09-10,5.05
2015-09-11,5.5
2015-09-14,5.24
2015-09-15,8.86
2015-09-17,7.3
2015-09-19,6.53
2015-09-21,7.3
2015-09-27,7.3
2015-09-28,8.99
2015-10-01,8.97
2015-10-03,8.99
2015-11-04,7.63
2016-01-02,7.06
2016-02-03,7.06
2016-11-25,7.06
