Time,Price
2012-06-02,15.28
2012-06-03,15.29
2012-06-04,15.3
2012-06-06,15.27
2012-06-07,15.28
2012-06-08,15.26
2012-06-09,15.28
2012-06-10,15.3
2012-06-12,15.32
2012-06-16,15.33
2012-06-17,15.35
2012-06-19,15.34
2012-06-20,15.35
2012-06-22,15.34
2012-06-23,15.36
2012-06-25,15.37
2012-07-01,15.38
2012-07-02,15.37
2012-07-06,15.39
2012-07-07,15.4
2012-07-09,15.39
2012-07-10,15.4
2012-07-11,15.38
2012-07-12,15.39
2012-07-14,15.37
2012-07-15,15.4
2012-07-17,15.42
2012-07-19,15.45
2012-07-20,15.47
2012-07-21,15.48
2012-07-22,15.49
2012-07-23,15.51
2012-07-24,15.5
2012-07-25,15.49
2012-07-26,15.5
2012-07-27,15.49
2012-07-28,15.05
2012-07-29,15.47
2012-07-30,15.52
2012-07-31,15.55
2012-08-01,15.56
2012-08-02,15.51
2012-08-03,15.49
2012-08-04,15.5
2012-08-05,15.51
2012-08-06,15.49
2012-08-07,15.48
2012-08-08,15.49
2012-08-09,15.5
2012-08-10,15.54
2012-08-11,15.56
2012-08-12,15.55
2012-08-13,15.53
2012-08-14,15.52
2012-08-15,15.53
2012-08-17,15.52
2012-08-18,15.55
2012-08-19,15.54
2012-08-20,15.52
2012-08-21,15.53
2012-08-22,15.54
2012-08-23,15.53
2012-08-25,15.56
2012-08-26,15.54
2012-08-27,15.55
2012-08-28,15.57
2012-08-29,15.58
2012-08-30,15.6
2012-08-31,15.59
2012-09-01,15.58
2012-09-02,15.59
2012-09-04,15.6
2012-09-05,15.62
2012-09-10,15.56
2012-09-11,15.48
2012-09-12,15.49
2012-09-13,15.54
2012-09-15,15.55
2012-09-18,15.54
2012-09-19,16.04
2012-09-20,16.09
2012-09-21,15.62
2012-09-24,16.13
2012-09-26,15.61
2012-09-27,16.02
2012-09-28,16.09
2012-09-29,15.68
2012-10-02,15.66
2012-10-03,16.19
2012-10-04,15.97
2012-10-05,16.19
2012-10-06,15.76
2012-10-10,16.27
2012-10-11,15.99
2012-10-12,15.95
2012-10-14,15.72
2012-10-16,15.83
2012-10-17,15.84
2012-10-18,16.62
2012-10-19,16.27
2012-10-24,15.59
2012-10-28,14.94
2012-10-29,15.89
2012-11-02,15.9
2012-11-03,14.94
2012-11-05,15.9
2012-11-07,15.85
2012-11-08,15.86
2012-11-09,15.06
2012-11-10,15.11
2012-11-11,14.94
2012-11-12,15.24
2012-11-13,15
2012-11-16,15.64
2012-11-17,14.52
2012-11-18,14.92
2012-11-19,14.86
2012-11-20,14.46
2012-11-21,14.94
2012-11-22,14.94
2012-11-22,16.24
2012-11-23,15.66
2012-11-24,15.5
2012-11-25,14.94
2012-11-27,14.7
2012-11-30,16.24
2012-12-01,15.08
2012-12-02,15.25
2012-12-03,14.15
2012-12-04,14.88
2012-12-06,15.59
2012-12-10,15.07
2012-12-11,14.49
2012-12-12,14.49
2012-12-14,15.59
2012-12-15,15.53
2012-12-16,15.69
2012-12-17,14.98
2012-12-22,15.59
2012-12-22,15.14
2012-12-23,15.59
2012-12-24,15.54
2012-12-25,14.36
2012-12-27,14.49
2012-12-28,15.47
2012-12-29,14.71
2013-01-01,13.94
2013-01-03,14.62
2013-01-04,15.34
2013-01-05,15.27
2013-01-06,15.55
2013-01-07,14.97
2013-01-09,14.53
2013-01-11,14.19
2013-01-11,15.26
2013-01-13,16.04
2013-01-19,16.33
2013-01-20,15.03
2013-01-21,14.82
2013-01-22,15.39
2013-01-24,15.08
2013-01-25,15.2
2013-01-26,15.65
2013-01-27,14.78
2013-01-28,14.28
2013-01-29,14.22
2013-01-30,15.55
2013-02-01,15.98
2013-02-07,13.64
2013-02-09,13.68
2013-02-11,15.22
2013-02-12,14.51
2013-02-13,14.71
2013-02-15,15.42
2013-02-16,13.86
2013-02-17,15.22
2013-02-21,14.39
2013-02-23,15.4
2013-02-23,15.79
2013-02-24,15.87
2013-02-25,15.54
2013-02-28,16.16
2013-03-02,14.92
2013-03-04,15.18
2013-03-05,15.11
2013-03-07,15.52
2013-03-08,15.54
2013-03-09,15.1
2013-03-10,15.01
2013-03-11,14.81
2013-03-13,15
2013-03-15,15.1
2013-03-18,15.29
2013-03-20,15.24
2013-03-23,15.41
2013-03-23,15.47
2013-03-25,13.91
2013-03-26,14.24
2013-03-28,14.38
2013-03-29,15.79
2013-03-30,15.35
2013-03-31,15.37
2013-04-01,15.84
2013-04-04,13.98
2013-04-04,15.74
2013-04-06,15.31
2013-04-08,15.5
2013-04-10,15.09
2013-04-11,16.04
2013-04-14,15.4
2013-04-15,14.92
2013-04-17,15.02
2013-04-17,15.56
2013-04-21,14.23
2013-04-22,14.81
2013-04-23,15.31
2013-04-24,15.89
2013-04-25,16.36
2013-05-13,14.64
2013-05-13,13.97
2013-05-15,14.57
2013-05-17,15.6
2013-05-19,15.12
2013-05-20,15.1
2013-05-23,15.98
2013-05-23,11.48
2013-06-15,11.48
2013-06-27,11.48
2013-07-04,12.59
2013-08-04,11.48
2013-08-31,11.48
2013-09-16,15.02
2013-09-17,13.82
2013-09-19,14.44
2013-09-24,14.32
2013-09-25,14.58
2013-09-25,13.99
2013-10-02,13.99
2013-10-12,13.99
2013-10-30,13.99
2013-11-03,13.99
2013-11-13,13.69
2013-11-20,13.92
2013-11-22,13.99
2013-12-04,13.99
2014-01-05,13.99
2014-02-11,13.99
2014-02-13,13.99
2014-04-06,13.49
2014-04-09,13.39
2014-04-10,13.36
2014-04-11,13.35
2014-04-23,13.17
2014-04-26,13.99
2014-05-08,13.99
2014-05-10,13.62
2014-05-11,13.99
2014-05-17,13.96
2014-05-19,13.99
2014-06-15,13.99
2014-07-12,13.99
2014-07-26,13.99
2014-09-01,13.99
2014-09-09,13.99
2014-10-16,13.99
2014-10-27,13.99
2014-11-04,13.99
2014-11-05,13.99
2014-11-18,13.99
2014-11-27,10.49
2014-12-04,13.99
2014-12-25,11.48
2015-01-01,13.99
2015-02-14,11.48
2015-02-22,11.48
2015-03-16,11.48
2015-04-09,13.99
2015-06-01,13.99
2015-06-08,11.48
2015-06-15,11.48
2015-07-05,11.97
2015-07-26,11.48
2015-08-15,11.97
2015-08-28,8.99
2015-09-15,8.99
2015-10-02,9.99
2015-11-07,11.97
2015-12-15,13.99
2016-01-07,13.99
2016-02-02,13.99
2016-03-18,13.99
2016-03-21,13.99
2016-03-31,13.99
2016-04-01,13.99
2016-04-08,13.99
2016-04-14,13.99
2016-04-16,13.99
2016-05-15,13.99
2016-05-25,8.88
2016-05-27,13.99
2016-09-18,9.99
2016-10-18,10.49
2016-10-26,10.49
2016-10-26,13.99
2016-10-27,13.99
2016-10-27,13.99
2016-10-27,13.99
2016-10-28,13.99
2016-10-28,13.99
2016-10-29,13.99
2016-10-29,13.99
2016-10-30,13.99
2016-10-30,13.99
2016-10-31,13.99
2016-10-31,13.99
2016-11-01,13.99
2016-11-01,13.99
2016-11-02,13.99
2016-11-02,13.99
2016-11-02,13.99
2016-11-03,12.49
2016-11-04,12.49
2016-11-04,12.49
2016-11-04,12.49
2016-11-04,12.49
2016-11-05,11.97
2016-11-05,11.97
2016-11-05,11.97
2016-11-06,11.97
2016-11-06,11.97
2016-11-07,11.97
2016-11-07,11.97
2016-11-08,11.97
2016-11-08,11.97
