Time,Price
2015-03-21,6.57
2015-03-26,6.92
2015-03-31,7.55
2015-04-04,8.26
2015-04-04,8.88
2015-04-08,7.26
2015-04-25,6.96
2015-04-29,6.74
2015-05-02,6.52
2015-05-05,6.4
2015-05-09,6.53
2015-05-12,6.55
2015-05-12,6.71
2015-05-25,6.29
2015-05-28,6.61
2015-05-28,6.78
2015-05-31,6.62
2015-05-31,7.02
2015-06-04,8.1
2015-06-07,7.98
2015-06-10,8.17
2015-06-10,8.18
2015-06-14,7.27
2015-06-14,7.48
2015-06-17,6.85
2015-06-21,7.53
2015-06-21,7.55
2015-06-24,7.75
2015-06-28,8.1
2015-07-04,8.08
2015-07-07,7.85
2015-07-09,7.69
2015-07-14,7.61
2015-07-21,8.05
2015-07-25,7.74
2015-07-25,8.05
2015-07-29,7.88
2015-07-29,7.58
2015-08-01,7.48
2015-08-05,7.58
2015-08-08,7.59
2015-08-09,7.77
2015-08-13,7.23
2015-08-17,7.34
2015-08-21,7.23
2015-08-25,7.35
2015-08-26,7.43
2015-08-30,7.76
2015-09-03,7.06
2015-09-07,7.14
2015-09-08,7.64
2015-09-11,7.71
2015-09-12,7.71
2015-09-15,7.15
2015-09-18,7.2
2015-09-19,7.23
2015-09-22,7.09
2015-09-25,7.5
2015-09-29,7.82
2015-10-02,7.8
2015-11-03,7.73
2015-11-04,7.86
2015-11-07,7.99
2015-11-07,8.28
2015-11-07,7.15
2015-11-11,7.04
2015-11-15,7.23
2015-11-15,7.49
2015-11-18,7.66
2015-11-22,7.23
2015-11-25,7.45
2015-11-26,7.39
2015-11-29,7.54
2015-12-02,7.81
2015-12-10,7.62
2015-12-10,7.24
2015-12-14,7.7
2015-12-18,7.39
2015-12-22,7.49
2016-01-01,7.98
2016-01-07,7.61
2016-01-30,8.16
2016-02-06,7.24
2016-02-12,7.76
2016-02-14,6.8
2016-02-17,5.97
2016-02-18,5.97
2016-02-18,5.73
2016-02-23,7.77
2016-02-27,7.62
2016-03-01,7.57
2016-03-01,7.61
2016-03-15,7.78
2016-03-16,7.93
2016-03-19,7.55
2016-03-20,7.44
2016-03-23,7.54
2016-03-26,7.59
2016-03-29,7.75
2016-03-30,6.76
2016-11-25,6.76
2014-06-08,
2014-12-10,6.37
2014-12-13,6.03
2014-12-20,6.16
2014-12-31,6.32
2015-01-09,6.10
2015-01-18,6.69
2015-01-23,6.54
2015-01-28,5.89
2015-02-14,6.52
2015-02-18,6.58
2015-03-01,6.79
2015-03-09,7.08
2015-03-16,7.78
2015-04-11,7.61
2015-04-16,6.27
2015-04-18,6.58
2015-04-19,6.82
2015-04-25,6.96
2015-05-02,6.52
2015-05-12,6.71
2015-06-14,7.27
2015-06-15,7.48
2015-06-17,6.85
2015-06-19,7.53
2015-06-22,7.73
2015-06-30,8.10
2015-07-04,8.08
2015-07-13,7.61
2015-08-12,7.74
2015-08-30,7.76
2015-08-31,7.72
2015-09-01,7.04
2015-09-04,7.06
2015-09-23,7.09
2015-10-05,7.98
2015-10-06,7.19
2015-10-09,7.46
2015-10-14,7.64
2015-10-17,7.40
2015-10-20,7.50
2015-10-26,7.39
2015-10-28,7.48
2015-11-01,7.59
2015-11-06,8.07
2015-11-10,7.04
2015-11-15,7.49
2015-11-19,7.53
2015-12-16,7.45
2016-01-03,7.95
2016-01-18,7.40
2016-01-25,7.88
2016-02-15,6.80
2016-02-29,7.42
2016-03-01,7.61
2016-03-11,7.59
2016-03-13,7.44
2016-03-24,7.54
2016-04-02,7.63
2016-04-04,7.62
2016-04-09,7.46
2016-04-14,7.52
2016-04-22,7.48
2016-04-24,7.43
2016-04-28,7.35
2016-05-10,7.21
2016-05-12,7.23
2016-05-30,7.12
2016-07-21,7.30
2016-07-29,7.29
2016-08-02,7.26
2016-08-16,7.16
2016-08-28,7.15
2016-09-19,7.45
2016-09-23,7.98
2016-09-24,7.97
2016-09-27,8.02
2016-10-05,7.15
2016-10-27,8.33
2016-10-29,8.41
2016-11-06,7.68
2016-11-07,7.91
2016-11-15,6.98
2016-11-23,6.85
2016-11-25,6.75
2016-11-26,6.75
