Time,Price
2012-06-03,6.66
2012-06-04,6.66
2012-06-06,6.48
2012-06-07,6.49
2012-06-08,6.57
2012-06-09,6.55
2012-06-11,6.57
2012-06-12,6.66
2012-06-13,6.63
2012-06-14,6.64
2012-06-15,6.7
2012-06-16,6.71
2012-06-17,6.69
2012-06-18,6.75
2012-06-19,6.8
2012-06-21,6.94
2012-06-22,6.93
2012-06-22,6.92
2012-06-23,6.91
2012-06-24,6.89
2012-06-26,6.88
2012-06-30,6.83
2012-07-01,6.82
2012-07-04,6.77
2012-07-04,6.76
2012-07-08,6.77
2012-07-09,6.78
2012-07-12,6.8
2012-07-14,6.81
2012-07-15,6.82
2012-07-18,6.83
2012-07-20,6.94
2012-07-21,6.95
2012-07-22,6.93
2012-07-24,6.91
2012-07-24,6.91
2012-07-25,6.92
2012-07-26,6.96
2012-07-27,6.98
2012-07-28,6.83
2012-07-31,6.82
2012-08-07,6.83
2012-08-10,6.84
2012-08-14,6.85
2012-08-18,6.96
2012-08-19,6.95
2012-08-20,7.03
2012-08-21,7
2012-08-22,6.93
2012-08-23,7.03
2012-08-25,7.01
2012-08-26,7.02
2012-08-28,7.01
2012-08-29,7.02
2012-09-01,7.01
2012-09-02,7.04
2012-09-05,6.92
2012-09-10,6.96
2012-09-11,7
2012-09-13,7.02
2012-09-14,7.05
2012-09-15,7.09
2012-09-19,7.07
2012-09-20,7.06
2012-09-22,7.1
2012-09-22,7.08
2012-09-23,7.02
2012-09-24,7.1
2012-09-26,7.49
2012-09-28,7.42
2012-09-29,7.43
2012-10-02,7.41
2012-10-03,7.69
2012-10-05,7.47
2012-10-05,7.67
2012-10-06,7.35
2012-10-07,7.22
2012-10-08,7.25
2012-10-09,7.23
2012-10-10,7.24
2012-10-12,7.26
2012-10-16,7.65
2012-10-16,7.27
2012-10-24,7.31
2012-10-29,7.35
2012-10-31,7.34
2012-11-02,8.59
2012-11-04,7.55
2012-11-06,7.3
2012-11-07,7.29
2012-11-10,7.27
2012-11-11,7.29
2012-11-13,7.45
2012-11-16,6.64
2012-11-17,6.19
2012-11-18,6.74
2012-11-19,6.49
2012-11-20,6.5
2012-11-21,6.73
2012-11-24,6.53
2012-11-25,6.12
2012-11-27,6.03
2012-12-01,6.35
2012-12-01,7.24
2012-12-03,6.91
2012-12-04,6.89
2012-12-05,7.05
2012-12-06,6.43
2012-12-07,6.38
2012-12-08,6.32
2012-12-09,6.19
2012-12-10,6.2
2012-12-11,5.72
2012-12-15,5.82
2012-12-17,5.39
2012-12-18,6
2012-12-22,6.66
2012-12-22,6.33
2012-12-23,7.06
2012-12-24,6.15
2012-12-25,6.09
2012-12-25,6.09
2012-12-27,6.28
2012-12-30,6.32
2013-01-01,6.64
2013-01-03,5.83
2013-01-04,5.79
2013-01-06,5.81
2013-01-09,6.62
2013-01-12,6.48
2013-01-13,6.41
2013-01-14,6.18
2013-01-16,6.41
2013-01-18,6.5
2013-01-19,6.44
2013-01-20,6.63
2013-01-21,6.66
2013-01-23,6.54
2013-01-24,6.48
2013-01-25,6.57
2013-01-26,6.64
2013-01-27,6.86
2013-01-28,6.9
2013-01-29,6.57
2013-01-30,6.79
2013-02-01,6.64
2013-02-07,6.85
2013-02-08,6.06
2013-02-10,5.57
2013-02-11,5.59
2013-02-13,5.5
2013-02-15,5.92
2013-02-16,6.03
2013-02-17,6.07
2013-02-21,6.07
2013-02-21,6.43
2013-02-23,6.07
2013-02-24,6.45
2013-02-28,7.78
2013-03-01,7.65
2013-03-03,7.35
2013-03-07,7.05
2013-03-08,5.57
2013-03-10,5.8
2013-03-11,5.96
2013-03-14,6.11
2013-03-20,6.02
2013-03-21,6.02
2013-03-21,6.08
2013-03-24,6.16
2013-03-26,6.23
2013-03-27,5.84
2013-03-29,6
2013-03-30,5.59
2013-03-31,5.62
2013-04-03,5.56
2013-04-05,5.58
2013-04-06,5.61
2013-04-07,5.6
2013-04-10,6.43
2013-04-11,6.68
2013-04-14,6.59
2013-04-15,6.47
2013-04-18,6.46
2013-04-22,6.07
2013-04-23,5.94
2013-04-24,6.12
2013-04-24,6.27
2013-04-25,7.1
2013-04-26,7.06
2013-04-27,6.94
2013-04-28,6.62
2013-05-01,6.1
2013-05-02,6.04
2013-05-03,6.18
2013-05-04,6.13
2013-05-06,5.72
2013-05-06,5.54
2013-05-08,5.48
2013-05-09,5.69
2013-05-10,6.47
2013-05-12,6.14
2013-05-13,6.39
2013-05-14,6.5
2013-05-17,5.96
2013-05-18,6.34
2013-05-20,6.3
2013-05-21,6.3
2013-05-22,7
2013-05-24,6.29
2013-05-26,6.24
2013-05-28,6.19
2013-05-29,6.45
2013-06-01,6.27
2013-06-03,6.35
2013-06-05,6.62
2013-06-06,5.89
2013-06-09,6.36
2013-06-10,6.88
2013-06-12,6.88
2013-06-16,6.54
2013-06-19,6.77
2013-06-22,6.76
2013-06-24,6.8
2013-06-26,6.2
2013-06-27,6.26
2013-06-29,6.03
2013-07-02,5.63
2013-07-05,6.12
2013-07-08,6.46
2013-07-10,7.07
2013-07-11,7.1
2013-07-12,7.1
2013-07-17,6.91
2013-07-20,6.58
2013-07-23,5.93
2013-07-26,6.29
2013-07-29,7.1
2013-08-11,6.85
2013-08-16,6.66
2013-08-20,6.18
2013-08-26,6.97
2013-08-29,6.45
2013-09-08,6.53
2013-09-13,5.86
2013-09-18,6.04
2013-09-20,6.13
2013-09-21,6.22
2013-09-23,6.31
2013-09-27,6.41
2013-09-29,6.2
2013-10-01,6.29
2013-10-03,6.29
2014-04-10,7.09
2014-04-14,7.1
2014-04-23,6.46
2014-04-27,7.1
2014-05-03,6.82
2014-05-04,6.69
2014-05-05,6.72
2014-05-12,7.1
2014-05-20,7.1
2014-07-12,7.1
2014-07-27,7.1
2014-08-27,7.1
2014-09-21,7.1
2014-10-08,7.1
2014-10-14,7.1
2014-10-31,7.1
2014-11-06,7.1
2014-11-28,7.1
2014-11-30,7.1
2015-01-21,7.1
2015-02-13,7.1
2015-07-16,7.1
2016-01-06,7.1
2016-05-23,9.47
2016-11-09,12.2
2016-11-25,12.2
