Time,Price
2012-06-01,9.85
2012-06-02,9.88
2012-06-03,9.89
2012-06-04,9.88
2012-06-06,9.89
2012-06-07,9.86
2012-06-08,9.45
2012-06-08,9.86
2012-06-09,9.87
2012-06-10,9.89
2012-06-15,9.88
2012-06-17,9.9
2012-06-19,9.89
2012-06-20,9.89
2012-06-21,9.88
2012-06-23,9.87
2012-06-25,9.87
2012-06-26,9.87
2012-06-30,9.88
2012-06-30,9.87
2012-07-07,9.88
2012-07-08,9.87
2012-07-18,9.91
2012-07-20,9.93
2012-07-21,9.94
2012-07-23,9.97
2012-07-26,9.98
2012-07-27,9.62
2012-07-27,9.98
2012-07-28,9.97
2012-07-29,9.96
2012-07-30,9.97
2012-07-31,9.98
2012-08-01,10.01
2012-08-02,10.02
2012-08-03,10.04
2012-08-04,10.03
2012-08-15,9.97
2012-08-16,9.97
2012-08-18,9.96
2012-08-20,9.97
2012-08-21,9.96
2012-08-22,9.97
2012-08-23,9.97
2012-08-24,9.95
2012-08-24,9.95
2012-08-26,9.97
2012-08-27,9.95
2012-08-30,9.94
2012-08-31,9.94
2012-09-02,9.94
2012-09-03,9.9
2012-09-04,9.92
2012-09-05,9.94
2012-09-06,9.92
2012-09-10,9.89
2012-09-11,9.72
2012-09-12,9.66
2012-09-12,9.66
2012-09-12,9.58
2012-09-13,9.47
2012-09-14,9.37
2012-09-14,9.35
2012-09-15,9.29
2012-09-18,11.6
2012-09-28,11.6
2012-10-02,11.6
2012-10-04,11.6
2012-10-06,11.6
2012-10-10,11.6
2012-10-18,11.46
2012-10-24,11.6
2012-10-25,11.6
2012-10-29,11.54
2012-11-01,11.54
2012-11-13,11.54
2012-11-13,11.54
2012-12-04,10.47
2012-12-11,10.47
2012-12-18,10.17
2012-12-20,10.47
2013-01-07,8.66
2013-01-10,8.38
2013-01-11,8.36
2013-01-13,8.05
2013-01-15,8.42
2013-01-18,8.61
2013-01-19,9.41
2013-01-20,9.14
2013-01-21,8.7
2013-01-22,8.15
2013-01-24,8.69
2013-01-25,8.34
2013-01-27,8.1
2013-01-28,7.92
2013-01-29,7.82
2013-01-30,8.21
2013-01-31,8.21
2013-02-01,10.47
2013-02-08,11.15
2013-02-09,11.54
2013-02-22,11.53
2013-02-28,11.53
2013-03-21,11.53
2013-03-27,9.25
2013-03-30,9.25
2013-03-31,9.25
2013-04-02,9.88
2013-04-03,10.68
2013-04-04,10.69
2013-04-05,10.69
2013-04-06,10.88
2013-04-07,10.69
2013-04-10,10.69
2013-04-17,11.09
2013-04-21,11.54
2013-05-01,11.54
2013-06-03,11.54
2013-06-05,11.54
2013-06-06,11.54
2013-06-08,11.54
2013-06-09,11.54
2013-06-15,10.82
2013-06-20,11.02
2013-06-22,11.54
2013-06-28,11.54
2013-07-04,11.54
2013-07-05,11.54
2013-07-08,11.54
2013-07-16,11.54
2013-07-17,11.54
2013-07-20,11.51
2013-07-21,11.52
2013-07-26,11.51
2013-07-27,11.54
2013-08-01,11.19
2013-08-04,10.88
2013-08-08,10.8
2013-08-10,10.78
2013-08-22,10.99
2013-08-27,11.19
2013-08-31,11.18
2013-09-05,11.18
2013-09-15,11.17
2013-09-18,11.15
2013-09-21,11.05
2013-09-26,10.86
2013-09-27,10.82
2013-10-10,12.54
2013-10-25,12.55
2013-10-28,12.55
2013-10-30,12.55
2013-11-06,12.55
2013-12-08,10.82
2014-01-05,10.82
2014-01-09,10.82
2014-01-10,10.82
2014-01-20,10.99
2014-01-21,11.15
2014-01-30,11.36
2014-02-01,9.43
2014-02-02,11.7
2014-02-05,11.15
2014-02-10,11.36
