Time,Price
2012-06-01,12.12
2012-06-06,12.53
2012-06-07,7.97
2012-12-21,7.97
2013-04-05,7.97
2013-04-05,7.97
2013-04-06,12
2013-04-07,12.56
2013-05-08,7.97
2013-09-20,12.07
2014-05-18,9.98
2014-05-18,9.98
2014-11-26,9.72
2015-04-09,10.24
2015-06-04,9.75
2015-06-11,9.75
2015-07-15,9.75
2015-07-18,9.75
2015-07-21,11.67
2015-07-25,11.56
2015-07-29,11.05
2015-08-10,11.05
2015-09-05,13.71
2015-09-09,11.05
2015-09-19,9.5
2015-11-04,13.51
2015-11-19,9.46
2015-11-22,9.92
2015-11-24,9.75
2015-11-26,9.69
2015-11-26,9.22
2015-11-29,9.71
2016-01-09,10.12
2016-02-01,12.98
2016-03-17,13.98
2016-05-11,13.98
2016-05-18,9.96
2016-10-28,10.39
2016-11-03,10.39
2016-11-04,10.39
2016-11-06,10.39
2016-11-08,10.39
2016-11-08,10.39
