Time,Price
2012-06-23,6.78
2012-06-23,6.08
2012-06-25,6.09
2012-06-30,6.08
2012-07-01,6.03
2012-09-15,5.76
2013-01-21,5.88
2013-01-24,5.85
2013-01-25,5.64
2013-01-26,5.77
2013-01-27,6.01
2013-01-28,6.19
2013-02-07,5.57
2013-02-08,5.48
2013-02-10,5.66
2013-02-11,5.5
2013-02-12,5.49
2013-02-13,5.72
2013-02-15,5.83
2013-02-16,5.96
2013-02-17,6.16
2013-02-18,6.16
2015-07-28,10.19
2015-07-31,9.74
2015-08-04,9.74
2015-08-08,9.74
2015-08-17,10.19
2015-08-21,9.22
2015-11-24,6.47
2015-12-13,6.32
2016-01-14,6.32
2016-02-05,6.5
2016-05-13,8.69
2016-05-17,8.42
2016-05-27,8.64
2016-05-30,7.14
2016-11-08,7.14
2014-05-22,4.20
2014-05-30,4.19
2015-05-17,4.19
2015-06-24,4.87
2016-11-08,4.67
2016-11-09,4.67
