Time,Price
2012-06-03,8.9
2012-06-22,8.83
2012-06-25,8.9
2012-06-29,8.83
2012-06-30,8.9
2012-07-06,8.71
2012-07-07,8.73
2012-07-07,8.75
2012-07-08,8.78
2012-07-09,8.61
2012-07-10,8.47
2012-07-12,8.45
2012-07-13,8.43
2012-07-15,8.47
2012-07-16,8.44
2012-07-18,8.4
2012-07-20,8.39
2012-07-27,8.42
2012-07-27,8.44
2012-07-30,8.6
2012-07-30,8.62
2012-07-31,8.41
2012-08-01,8.4
2012-08-03,8.41
2012-08-06,8.47
2012-08-08,8.45
2012-08-10,8.44
2012-08-12,8.46
2012-08-13,8.44
2012-08-15,8.54
2012-08-17,8.48
2012-08-19,8.57
2012-08-23,8.55
2012-08-24,8.54
2012-08-24,8.52
2012-08-27,8.5
2012-08-28,8.47
2012-08-29,8.45
2012-08-30,8.43
2012-08-31,8.5
2012-09-01,8.49
2012-09-02,8.5
2012-09-04,8.49
2012-09-05,8.46
2012-09-11,8.53
2012-09-12,8.54
2012-09-12,8.52
2012-09-14,8.51
2012-09-18,8.48
2012-09-19,8.52
2012-09-20,8.5
2012-09-21,8.5
2012-09-23,8.42
2012-09-23,8.43
2012-09-26,8.45
2012-09-29,8.46
2012-09-30,8.47
2012-10-03,8.71
2012-10-04,8.5
2012-10-06,8.54
2012-10-08,8.55
2012-10-09,8.76
2012-10-10,8.64
2012-10-11,8.63
2012-10-12,10.07
2012-10-16,10.07
2012-10-20,10.89
2012-10-21,10.83
2012-10-23,10.79
2012-10-25,10.8
2012-10-28,11.5
2012-10-29,10.83
2012-11-01,10.84
2012-11-03,10.85
2012-11-06,10.83
2012-11-07,11.03
2012-11-09,10.79
2012-11-09,11.09
2012-11-12,10.8
2012-11-12,10.83
2012-11-13,10.81
2012-11-15,10.86
2012-11-17,10.9
2012-11-19,10.91
2012-11-20,10.89
2012-11-24,10.07
2013-01-28,10.07
2013-01-29,10.07
2013-02-21,11.15
2013-02-22,11
2013-02-23,10.81
2013-02-25,10.96
2013-02-28,10.13
2013-03-01,10.21
2013-03-02,10.43
2013-03-03,10.58
2013-03-05,10.61
2013-03-06,10.73
2013-03-08,10.6
2013-03-10,10.08
2013-03-11,10.93
2013-03-13,10.81
2013-03-14,10.8
2013-03-17,10.83
2013-03-18,10.76
2013-03-21,10.73
2013-03-22,10.5
2013-03-24,11.05
