Time,Price
2012-06-01,14.17
2012-06-02,14.35
2012-06-03,14.4
2012-06-04,14.79
2012-06-05,14.63
2012-06-07,14.35
2012-06-08,14.36
2012-06-10,14.39
2012-06-11,14.37
2012-06-12,14.39
2012-06-13,14.42
2012-06-14,14.45
2012-06-15,14.52
2012-06-16,14.57
2012-06-17,14.6
2012-06-18,14.61
2012-06-19,14.67
2012-06-20,14.68
2012-06-21,14.72
2012-06-22,14.74
2012-06-23,14.77
2012-06-24,14.82
2012-06-25,14.81
2012-06-26,14.86
2012-07-01,15.08
2012-07-02,15.01
2012-07-04,15.15
2012-07-04,15.17
2012-07-05,15.23
2012-07-06,15.17
2012-07-07,15.16
2012-07-08,15.19
2012-07-10,15.2
2012-07-11,15.22
2012-07-12,15.28
2012-07-14,15.32
2012-07-15,15.42
2012-07-17,15.49
2012-07-18,15.46
2012-07-19,15.46
2012-07-19,15.46
2012-07-20,15.51
2012-07-20,15.51
2012-07-21,15.51
2012-07-22,15.51
2012-07-23,15.65
2012-07-24,15.75
2012-07-25,15.71
2012-07-26,15.99
2012-07-27,15.73
2012-07-28,15.79
2012-07-29,15.99
2012-07-30,15.9
2012-07-31,16.2
2012-08-01,16.08
2012-08-02,15.97
2012-08-03,16.09
2012-08-04,16.04
2012-08-05,16.1
2012-08-07,16.12
2012-08-08,16.11
2012-08-09,16.05
2012-08-10,16.21
2012-08-11,16.05
2012-08-12,16.04
2012-08-13,16.17
2012-08-13,15.51
2012-08-21,16.41
2012-08-21,16.43
2012-08-22,16.26
2012-08-23,16.45
2012-08-24,16.35
2012-08-25,16.14
2012-08-26,16.18
2012-08-27,16.37
2012-08-28,15.51
2012-08-31,15.51
2012-09-02,16.62
2012-09-02,16.62
2012-09-03,16.39
2012-09-04,16.27
2012-09-10,16.48
2012-09-11,16.49
2012-09-12,16.5
2012-09-13,16.52
2012-09-14,16.5
2012-09-15,16.6
2012-09-18,15.51
2012-09-20,16.32
2012-09-21,16.17
2012-09-22,15.7
2012-09-23,15.9
2012-09-24,15.53
2012-09-25,15.75
2012-09-26,16.33
2012-09-27,17.15
2012-09-28,17.53
2012-09-29,17.78
2012-10-02,16.65
2012-10-02,15.99
2012-10-04,15.65
2012-10-04,18.15
2012-10-05,17.84
2012-10-07,17.33
2012-10-08,17.19
2012-10-09,16.7
2012-10-10,16.65
2012-10-11,16.67
2012-10-12,16.68
2012-10-14,16.87
2012-10-15,16.75
