Time,Price
2012-06-21,18.03
2012-06-23,17.97
2012-07-08,18.3
2012-07-17,18.32
2012-07-30,18.13
2012-08-04,18.13
2012-08-12,18.24
2012-08-19,18.24
2012-08-20,18.19
2012-08-26,18.19
2012-08-27,18.19
2012-09-22,18.24
2012-10-03,18.25
2012-10-17,18.24
2012-11-06,18.25
2012-11-24,17.25
2012-12-01,17.29
2012-12-03,17.32
2012-12-06,17.35
2012-12-17,17.31
2012-12-30,17.38
2013-01-17,21.35
2013-01-29,21.35
2013-01-31,17.76
2013-02-17,17.68
2013-02-23,17.7
2013-02-28,17.54
2013-03-07,21.35
2013-03-09,21.35
2013-03-13,18.23
2013-03-26,18.83
2013-04-11,19.09
2013-04-12,19.09
2013-04-28,19.53
2013-05-01,19
2013-05-05,19.05
2013-05-08,19.05
2013-05-10,19.08
2013-05-18,19.12
2013-06-10,15.67
2013-06-24,16.88
2013-06-30,15.37
2013-07-22,15.91
2013-08-21,15.45
2013-09-26,15.66
2013-10-09,15.86
2013-10-20,17.27
2013-12-04,17.23
2013-12-16,16.93
2014-01-16,16.85
2014-02-07,16.49
2015-11-10,16.66
2015-11-20,16.66
2015-12-14,16.66
2016-02-15,18.97
2016-02-18,18.97
2016-03-17,18.97
2016-03-20,19.5
2016-03-24,18.97
2016-05-12,18.97
