Time,Price
2012-06-02,23.07
2012-06-04,23.1
2012-06-07,23.13
2012-06-07,23.12
2012-06-08,23.12
2012-06-08,23.07
2012-06-08,23.07
2012-06-09,23.14
2012-06-09,23.14
2012-06-10,23.14
2012-06-11,23.27
2012-06-12,23.25
2012-06-12,23.25
2012-06-13,23.22
2012-06-14,23.22
2012-06-15,23.2
2012-06-16,23.16
2012-06-17,23.13
2012-06-18,23.12
2012-06-19,23.12
2012-06-20,23.12
2012-06-21,23.12
2012-06-23,23.11
2012-06-25,23.11
2012-06-28,23.11
2012-07-03,23.12
2012-07-04,23.13
2012-07-05,23.13
2012-07-12,23.13
2012-07-17,23.13
2012-07-20,22.61
2012-07-21,22.66
2012-07-21,22.66
2012-07-22,22.63
2012-07-22,22.63
2012-07-23,22.64
2012-07-24,22.62
2012-07-25,22.61
2012-07-26,22.66
2012-07-27,22.57
2012-08-06,22.9
2012-08-07,22.89
2012-08-09,22.87
2012-08-11,22.85
2012-08-12,22.85
2012-08-13,22.85
2012-08-14,22.86
2012-08-15,22.9
2012-08-16,22.88
2012-08-17,22.86
2012-08-18,22.87
2012-08-18,22.87
2012-08-19,22.85
2012-08-20,22.83
2012-08-21,22.81
2012-08-22,22.81
2012-08-22,22.79
2012-08-23,22.84
2012-08-24,22.91
2012-08-25,22.88
2012-08-26,22.81
2012-08-27,22.82
2012-08-28,22.83
2012-08-29,22.83
2012-08-29,22.83
2012-08-30,22.81
2012-08-31,22.82
2012-09-01,22.85
2012-09-02,22.88
2012-09-04,22.84
2012-09-05,22.87
2012-09-11,22.92
2012-09-12,22.93
2012-09-14,22.98
2012-09-15,22.94
2012-09-18,22.95
2012-09-19,22.87
2012-09-27,23.64
2012-09-28,23.46
2012-09-29,23.7
2012-09-29,23.7
2012-09-30,23.88
2012-10-02,23.59
2012-10-03,23.78
2012-10-04,23.87
2012-10-05,23.59
2012-10-05,23.59
2012-10-06,23.59
2012-10-06,23.59
2012-10-07,23.34
2012-10-07,23.34
2012-10-08,23.35
2012-10-09,23.36
2012-10-10,23.37
2012-10-11,23.37
2012-10-11,23.39
2012-10-11,23.39
2012-10-19,23.45
2012-10-23,23.47
2012-10-25,23.5
2012-10-28,23.56
2012-10-29,23.58
2012-11-02,23.56
2012-11-03,23.51
2012-11-04,23.5
2012-11-05,23.83
2012-11-06,23.83
2012-11-06,23.42
2012-11-07,23.4
2012-11-08,23.38
2012-11-09,23.38
2012-11-09,23.38
2012-11-10,23.38
2012-11-11,23.39
2012-11-12,23.4
2012-11-13,23.48
2012-11-14,23.48
2012-11-16,22.62
2012-11-16,22.62
2012-11-17,22.62
2012-11-17,23.09
2012-11-17,23.09
2012-11-17,23.09
2012-11-18,22.67
2012-11-18,22.67
2012-11-19,22.58
2012-11-20,22.58
2012-11-20,22.02
2012-11-20,22.02
2012-11-21,23.03
2012-11-21,23.03
2012-11-22,23.03
2012-11-23,22.96
2012-11-24,22.75
2012-11-25,22.75
2012-11-25,22.82
2012-11-25,22.82
2012-11-28,23.23
2012-11-30,22.31
2012-12-01,22.31
2012-12-01,22.04
2012-12-02,22.04
2012-12-02,21.49
2012-12-03,21.89
2012-12-03,21.89
2012-12-04,23.11
2012-12-05,23.11
2012-12-05,23.11
2012-12-05,23.11
2012-12-05,23.11
2012-12-05,23.11
2012-12-06,24.17
2012-12-07,24.14
2012-12-07,24.14
2012-12-07,24.14
2012-12-09,23.71
2012-12-10,23.71
2012-12-10,24.4
2012-12-10,24.4
2012-12-12,23.52
2012-12-14,24.05
2012-12-15,24.05
2012-12-17,23.25
2012-12-17,23.09
2012-12-18,23.09
2012-12-21,23.05
2012-12-22,23.05
2012-12-22,24.33
2012-12-23,24.33
2012-12-23,24.45
2012-12-24,24.45
2012-12-24,24.69
2012-12-25,24
2012-12-25,24
2012-12-26,24.45
2012-12-26,24.45
2012-12-28,24.45
2012-12-28,23.44
2012-12-29,24.45
2012-12-31,23.76
2013-01-01,24.26
2013-01-02,23.68
2013-01-04,23.31
2013-01-05,23.47
2013-01-06,23.65
2013-01-07,23.36
2013-01-09,24.83
2013-01-10,24.83
2013-01-11,24.33
2013-01-12,23.75
2013-01-12,23.75
2013-01-13,23.75
2013-01-18,24.63
2013-01-19,24.52
2013-01-20,24.78
2013-01-21,25.07
2013-01-21,25.07
2013-01-22,25.07
2013-01-22,25.71
2013-01-23,25.71
2013-01-23,25.71
2013-01-24,24.97
2013-01-25,24.97
2013-01-25,25.08
2013-01-26,25.08
2013-01-26,25.79
2013-01-27,25.79
2013-01-27,25.71
2013-01-28,25.9
2013-01-28,25.9
2013-01-29,25.9
2013-01-29,25.75
2013-01-30,25.3
2013-01-30,25.3
2013-01-31,25.3
2013-02-01,25.3
2013-02-02,25.17
2013-02-02,25.17
2013-02-07,24.97
2013-02-07,25.16
2013-02-09,25.16
2013-02-09,25.1
2013-02-10,26.79
2013-02-11,26.79
2013-02-12,26.79
2013-02-12,26.46
2013-02-13,26.62
2013-02-14,26.62
2013-02-14,26.62
2013-02-15,26.43
2013-02-16,25.87
2013-02-17,25.28
2013-02-18,25.28
2013-02-18,25.28
2013-02-19,25.28
2013-02-21,24.63
2013-02-22,24.5
2013-02-22,24.5
2013-02-23,24.38
2013-02-24,24.84
2013-02-25,24.19
2013-02-25,24.19
2013-02-27,23.96
2013-02-28,23.96
2013-02-28,23.96
2013-03-01,23.8
2013-03-02,23.49
2013-03-03,23.23
2013-03-03,22.98
2013-03-04,21.91
2013-03-05,21.12
2013-03-06,19.81
2013-03-06,19.81
2013-03-07,19.81
2013-03-08,22.5
2013-03-08,22.5
2013-03-08,22.5
2013-03-09,22.5
2013-03-11,22.5
2013-03-12,22.5
2013-03-13,22.5
2013-03-14,22.5
2013-03-17,22.5
2013-03-18,22.5
2013-03-19,23.45
2013-03-20,23.45
2013-03-20,24.27
2013-03-21,24.27
2013-03-22,24.51
2013-03-23,25.47
2013-03-23,25.47
2013-03-23,25.47
2013-03-25,25.47
2013-03-25,25.23
2013-03-25,25.23
2013-03-26,24.88
2013-03-27,25.22
2013-03-27,25.22
2013-03-28,25.22
2013-03-29,25.22
2013-03-29,24.39
2013-03-30,24.39
2013-03-30,25.45
2013-03-31,25.45
2013-03-31,25.14
2013-03-31,25.14
2013-04-01,25.31
2013-04-01,25.31
2013-04-02,25.31
2013-04-03,25.1
2013-04-04,24.61
2013-04-05,24.61
2013-04-05,24.61
2013-04-06,22.85
2013-04-07,22.85
2013-04-08,22.85
2013-04-12,22.85
2013-04-13,22.85
2013-04-16,23.48
2013-04-17,23.12
2013-04-17,23.12
2013-04-18,23.34
2013-04-22,24.27
2013-04-23,24.27
2013-04-24,23.91
2013-04-24,23.91
2013-04-25,23.9
2013-04-25,24.29
2013-04-25,24.29
2013-04-26,24.29
2013-04-26,24.46
2013-04-27,23.98
2013-04-28,24.08
2013-04-28,24.08
2013-05-01,23.49
2013-05-02,22.61
2013-05-02,22.61
2013-05-03,22.43
2013-05-03,22.43
2013-05-04,22.69
2013-05-05,22.69
2013-05-06,22.68
2013-05-06,22.63
2013-05-07,22.63
2013-05-07,22.76
2013-05-08,22.83
2013-05-09,22.83
2013-05-10,22.98
2013-05-10,22.98
2013-05-10,22.98
2013-05-11,22.98
2013-05-14,23.24
2013-05-14,23.24
2013-05-14,23.24
2013-05-14,23.82
2013-05-15,23.82
2013-05-16,23.94
2013-05-17,23.94
2013-05-18,23.94
2013-05-21,23.61
2013-05-22,23.72
2013-05-22,23.72
2013-05-23,23.72
2013-05-24,22.84
2013-05-25,22.93
2013-05-26,23.09
2013-05-26,23.09
2013-05-28,22.86
2013-05-28,22.86
2013-05-28,22.88
2013-05-29,22.88
2013-05-30,22.84
2013-05-31,22.84
2013-06-01,22.54
2013-06-01,22.54
2013-06-03,23.5
2013-06-04,23.43
2013-06-06,23.34
2013-06-07,23.55
2013-06-08,24.01
2013-06-09,23.98
2013-06-11,23.98
2013-06-12,22.98
2013-06-13,22.98
2013-06-16,22.98
2013-06-19,22.98
2013-06-22,21.94
2013-06-23,21.94
2013-06-26,21.64
2013-06-29,22.3
2013-06-29,22.3
2013-06-30,22.07
2013-07-02,22.24
2013-07-05,22.61
2013-07-08,22.08
2013-07-09,21.45
2013-07-11,21.41
2013-07-12,21.41
2013-07-14,22.75
2013-07-15,22.93
2013-07-17,23.4
2013-07-18,23.4
2013-07-18,22.84
2013-07-18,22.84
2013-07-20,23.2
2013-07-21,23.59
2013-07-23,23.59
2013-07-24,23.38
2013-07-26,23.38
2013-07-29,21.78
