Time,Price
2012-06-01,30
2012-06-05,30
2012-06-08,30
2012-06-10,30
2012-06-11,30
2012-06-13,30
2012-06-16,30
2012-06-23,30
2012-07-04,28.99
2012-07-06,28.97
2012-07-06,28.97
2012-07-07,28.93
2012-07-08,28.9
2012-07-10,26.41
2012-07-11,26.41
2012-07-12,26.41
2012-07-13,26.41
2012-07-20,26.41
2012-07-20,26.41
2012-07-22,26.41
2012-07-27,26.41
2012-07-28,26.41
2012-07-30,26.41
2012-07-31,26.41
2012-08-02,26.41
2012-08-07,26.41
2012-08-07,26.41
2012-08-08,26.41
2012-08-09,30
2012-08-09,30
2012-08-09,26.09
2012-08-10,25.92
2012-08-11,25.92
2012-08-11,24.9
2012-08-12,23.88
2012-08-13,23.88
2012-08-15,23.88
2012-08-15,23.88
2012-08-16,23.88
2012-08-17,25.22
2012-08-17,25.21
2012-08-18,25.05
2012-08-19,25.07
2012-08-19,26.15
2012-08-21,25.35
2012-08-22,28.8
2012-08-22,28.09
2012-08-23,28.99
2012-08-24,29.74
2012-08-26,29.71
2012-08-27,29.7
2012-08-28,28.63
2012-08-29,29.09
2012-08-30,29.69
2012-08-30,26.13
2012-08-31,25.49
2012-09-02,25.11
2012-09-03,25.12
2012-09-03,25.12
2012-09-04,26.19
2012-09-04,26.19
2012-09-04,26.18
2012-09-05,26.18
2012-09-11,29.84
2012-09-12,29.85
2012-09-13,29.86
2012-09-14,28.5
2012-09-15,28.5
2012-09-15,29.89
2012-09-18,29.97
2012-09-20,29.9
2012-09-21,28.83
2012-09-21,25.29
2012-09-22,25.88
2012-09-23,25.78
2012-09-25,25.9
2012-09-27,26.07
2012-09-29,23.88
2012-09-30,23.88
2012-10-02,23.88
2012-10-03,25.72
2012-10-03,29.22
2012-10-04,29.32
2012-10-04,29.32
2012-10-05,30.03
2012-10-06,29.96
2012-10-06,29.96
2012-10-07,29.96
2012-10-07,26.37
2012-10-08,26.34
2012-10-08,26.34
2012-10-09,25.73
2012-10-09,25.73
2012-10-10,25.73
2012-10-11,25.89
2012-10-11,25.89
2012-10-12,25.76
2012-10-14,26.36
2012-10-17,26.31
2012-10-17,26.31
2012-10-19,26.06
2012-10-20,29.6
2012-10-20,29.68
2012-10-21,29.69
2012-10-23,25.97
2012-10-25,25.75
2012-10-28,25.81
2012-10-29,26.08
2012-10-31,26.41
2012-11-01,26.46
2012-11-02,26.33
2012-11-03,26.37
2012-11-04,26.29
2012-11-04,26.29
2012-11-06,30.08
2012-11-07,30.09
2012-11-07,26.49
2012-11-09,29.86
2012-11-09,26.1
2012-11-10,26.1
2012-11-11,25.89
2012-11-12,25.89
2012-11-14,26.21
2012-11-14,26.21
2012-11-15,26.23
2012-11-15,26.23
2012-11-16,26.13
2012-11-17,26.12
2012-11-18,26.1
2012-11-19,29.72
2012-11-19,26.16
2012-11-20,26.53
2012-11-21,26.12
2012-11-23,26.11
2012-11-24,26.26
2012-11-25,26.02
2012-11-27,26.42
2012-11-28,26.11
2012-11-28,26.11
2012-11-29,30.01
2012-11-29,26.11
2012-11-30,26.63
2012-12-01,26.68
2012-12-02,26.85
2012-12-03,26.53
2012-12-04,27
2012-12-06,27.95
2012-12-06,27.75
2012-12-07,27.34
2012-12-09,26.98
2012-12-12,25.04
2012-12-13,25.06
2012-12-14,26.04
2012-12-16,26.47
2012-12-17,25.84
2012-12-19,25.07
2012-12-20,25.93
2012-12-21,26.18
2012-12-22,27.14
2012-12-23,28.54
2012-12-23,28.54
2012-12-24,27.87
2012-12-24,27.87
2012-12-25,27.9
2012-12-26,27.84
2012-12-28,27.6
2012-12-31,27.13
2013-01-02,26.38
2013-01-03,26.38
2013-01-05,26.03
2013-01-06,25.87
2013-01-10,25.82
2013-01-10,26.08
2013-01-11,26.08
2013-01-12,29.29
2013-01-14,29.29
2013-01-17,27.56
2013-01-20,27.56
2013-01-22,27.56
2013-01-23,26.24
2013-01-24,24.68
2013-01-25,24.62
2013-01-26,24.62
2013-01-27,25.63
2013-01-27,25.63
2013-01-28,26.05
2013-01-28,27.56
2013-01-29,27.56
2013-01-29,26.08
2013-01-30,26.45
2013-01-31,26.45
2013-02-01,28.2
2013-02-02,27.89
2013-02-02,27.89
2013-02-08,25.48
2013-02-09,25.6
2013-02-09,25.6
2013-02-10,26.3
2013-02-10,26.3
2013-02-11,26.06
2013-02-12,26.09
2013-02-13,25.93
2013-02-13,25.93
2013-02-15,25.43
2013-02-16,25.78
2013-02-17,26.08
2013-02-20,26.08
2013-02-20,26.07
2013-02-21,26.2
2013-02-22,26.99
2013-02-23,27.32
2013-02-24,26.82
2013-02-24,26.57
2013-02-25,26.52
2013-02-25,26.52
2013-02-28,27.23
2013-02-28,27.23
2013-03-01,25.75
2013-03-02,25.63
2013-03-02,25.63
2013-03-03,25.64
2013-03-05,25.53
2013-03-06,26.14
2013-03-07,26.47
2013-03-08,26.47
2013-03-09,26.72
2013-03-10,26.54
2013-03-10,26.54
2013-03-11,26.64
2013-03-12,26.67
2013-03-13,26.69
2013-03-13,26.69
2013-03-14,26.69
2013-03-14,26.84
2013-03-14,26.84
2013-03-18,26.14
2013-03-20,26.16
2013-03-22,26.2
2013-03-23,25.88
2013-03-25,25.92
2013-03-26,25.86
2013-03-26,25.86
2013-03-27,26.46
2013-03-29,25.05
2013-03-30,25.57
2013-03-31,25.58
2013-04-01,25.58
2013-04-02,25.25
2013-04-04,26.03
2013-04-05,26.2
2013-04-06,26.96
2013-04-07,26.8
2013-04-08,26.67
2013-04-10,26.97
2013-04-11,26.44
2013-04-13,26.44
2013-04-14,26.45
2013-04-15,26.41
2013-04-16,26.52
2013-04-17,26.55
2013-04-18,26.12
2013-04-19,26.16
2013-04-22,24.82
2013-04-23,25.43
2013-04-24,25.15
2013-04-25,25.28
2013-04-26,25.04
2013-04-26,25.04
2013-04-26,25.04
2013-04-27,25.71
2013-04-27,25.71
2013-04-28,26.05
2013-04-29,26.1
2013-05-01,25.83
2013-05-02,25.1
2013-05-03,25.64
