Time,Price
2012-06-02,9.97
2012-06-13,8
2012-06-22,9.97
2012-06-23,9.85
2012-06-28,9.73
2012-06-29,9.62
2012-06-29,9.55
2012-06-29,9.54
2012-06-30,9.55
2012-06-30,9.97
2012-07-02,9.85
2012-07-08,9.73
2012-07-16,9.69
2012-07-19,9.85
2012-07-20,9.97
2012-07-21,9.85
2012-07-21,9.73
2012-07-22,9.85
2012-07-22,9.73
2012-07-22,9.62
2012-07-23,9.5
2012-07-23,9.85
2012-07-24,9.73
2012-07-24,9.62
2012-07-25,9.97
2012-07-26,9.85
2012-07-27,9.73
2012-07-30,9.62
2012-08-01,9.5
2012-08-07,9.97
2012-08-15,9.85
2012-08-16,9.5
2012-08-17,9.38
2012-08-23,9.26
2012-08-23,9.09
2012-08-25,9.08
2012-08-27,9.07
2012-08-29,9.06
2012-08-31,9.06
2012-08-31,9.07
2012-09-01,9.08
2012-09-03,9.09
2012-09-04,9.3
2012-09-05,9.37
2012-09-10,9.97
2012-10-21,9.97
2012-10-25,10.56
2012-10-25,9.97
2012-10-26,10.56
2012-10-26,9.97
2013-01-04,9.75
2013-01-05,9.97
2013-02-27,9.97
2013-03-20,9.97
2013-05-31,9.97
2013-06-05,9.97
2013-06-06,9.97
2013-06-07,9.97
2013-06-08,9.97
2013-06-08,9.97
2013-08-09,9.97
2013-09-17,9.97
2013-09-27,9.97
2013-10-03,9.97
2013-10-18,9.97
2013-11-06,7.97
2013-11-08,9.97
2014-01-01,10.99
2014-01-08,9.97
2014-01-16,10.99
2014-01-29,9.97
2014-02-09,10.99
2014-02-14,9.97
2014-02-17,10.99
2014-02-22,10.99
2014-03-06,8
2014-05-05,10.99
2014-05-06,8
2014-05-09,8
2014-05-10,10.99
2014-05-16,8
2014-05-17,7.2
2014-05-26,8
2014-06-07,10.99
2014-06-14,8
2014-07-25,10.99
2014-07-27,9.97
2014-10-25,9.97
2014-10-30,9.97
2014-11-28,8.99
2015-02-25,7.99
2015-03-03,7.88
2015-03-09,7.88
2015-04-17,11.99
2015-04-26,7.88
2015-05-10,11.54
2015-05-13,11.99
2015-05-16,7.88
2015-08-24,11.99
2015-08-26,7.88
2015-09-26,9.97
2016-03-26,10.78
2016-03-30,9.83
2016-04-02,9.97
2016-04-06,8.99
2016-04-27,8
2016-04-30,8
2016-05-11,8
2016-05-14,8
2016-05-25,8
2016-05-26,11.99
2016-09-20,8.99
2016-10-27,8.99
2016-10-28,8.99
2016-10-30,8.99
2016-11-01,8.99
2016-11-02,9.59
2016-11-02,8.99
2016-11-04,8.99
2016-11-06,8.99
2016-11-07,8.99
2016-11-07,8.99
2016-11-08,8.99
