Time,Price
2012-06-02,27.99
2012-09-01,27.99
2012-09-24,27.99
2012-09-24,27.99
2012-09-28,27.99
2012-11-07,27.99
2012-11-09,27.99
2012-11-10,27.99
2012-11-11,27.99
2013-04-04,22.07
2013-05-15,21.34
2013-05-18,22.07
2013-05-23,27.99
2013-06-05,27.99
2013-06-06,27.99
2013-06-07,27.99
2013-06-08,27.99
2013-06-29,27.67
2013-07-02,27.99
2013-07-04,26.69
2013-07-07,27.67
2013-07-10,27.99
2013-07-11,27.67
2013-07-15,27.99
2013-08-09,26.69
2013-08-16,26.68
2013-09-02,27.99
2013-10-06,27.99
2013-10-30,27.99
2013-11-03,27.99
2013-11-07,27.99
2014-01-16,27.99
2014-01-28,27.99
2014-01-30,27.99
2014-02-06,27.99
2014-05-21,27.99
2014-07-26,27.99
2014-08-26,28.26
2014-08-27,27.99
2014-10-24,27.99
2014-10-27,27.99
2014-11-04,27.99
2014-11-06,27.99
2014-11-09,27.99
2014-11-20,27.62
2014-11-22,27.62
2014-11-24,27.62
2014-11-25,27.62
2014-11-27,24.37
2014-12-02,27.99
2014-12-10,27.62
2015-01-05,27.99
2015-03-09,27.66
2015-03-19,27.66
2015-03-30,26.46
2015-05-12,26.46
2015-06-02,25.77
2015-06-07,22.49
2015-06-22,27.99
2015-07-07,27.99
2015-07-16,27.99
2015-07-18,27.99
2015-07-20,27.99
2015-07-21,27.99
2015-08-03,27.99
2015-08-07,27.99
2015-08-09,28.43
2015-08-20,28.43
2015-08-30,24.97
2015-09-04,28.43
2015-09-06,28.92
2015-09-13,29.69
2015-09-14,28.43
2015-09-16,28.43
2015-10-01,28.43
2015-11-05,24.97
2015-11-08,24.97
2015-11-10,28.43
2015-12-01,28.43
2015-12-11,28.43
2016-01-06,28.43
2016-01-11,28.43
2016-02-02,28.75
2016-04-14,28.75
2016-04-28,28.69
2016-05-26,26.33
2016-05-29,26.33
2016-06-02,28.77
2016-09-19,25.49
2016-10-27,25.49
2016-10-27,25.49
2016-10-28,25.49
2016-10-29,25.49
2016-10-30,25.49
2016-10-31,25.49
2016-10-31,25.49
2016-10-31,25.49
2016-11-01,25.49
2016-11-02,25.49
2016-11-02,25.49
2016-11-02,25.49
2016-11-04,25.49
2016-11-04,25.49
2016-11-05,30.21
2016-11-05,30.21
2016-11-07,31.41
2016-11-07,31.41
