Time,Price
2012-08-08,57.23
2012-08-09,57.23
2012-08-12,58.06
2013-01-23,55.75
2013-02-01,64.18
2013-03-02,64.18
2013-03-08,56.48
2013-03-09,56.48
2013-03-09,56.32
2013-03-13,56.78
2013-03-21,56.7
2013-03-23,56.7
2013-03-24,56.84
2013-03-27,58.94
2013-03-28,58.94
2013-03-29,58.94
2013-03-31,56.51
2013-04-01,64.18
2013-04-01,64.18
2013-04-04,64.18
2013-04-05,50.71
2013-04-06,50.71
2013-04-11,50.71
2013-04-12,56.75
2013-04-17,56.17
2013-04-19,56.2
2013-04-22,56.18
2013-04-23,55.86
2013-04-24,59.76
2013-04-25,56.09
2013-04-27,55.46
2013-05-02,55.98
2013-05-03,56.25
2013-05-04,55.87
2013-05-06,55.79
2013-05-09,59.21
2013-05-10,64.42
2013-05-11,64.18
2013-05-15,59.47
2013-05-16,60.58
2013-05-22,61.67
2013-05-25,62.54
2013-05-28,61.12
2013-06-04,61.12
2013-06-07,61.12
2013-06-09,61.12
2013-06-20,61.12
2013-06-23,54.1
2013-06-26,53.9
2013-06-30,53.15
2013-07-03,53.15
2013-07-06,53.1
2013-07-18,56.41
2013-08-02,55.6
2013-08-08,55.59
2013-08-11,54.49
2013-08-21,55.6
2013-08-28,55.6
2013-08-31,55.6
2013-09-06,55.6
2013-09-22,52.13
2013-09-25,53.14
2013-09-28,53.48
2013-10-02,53.85
2013-10-08,53.12
2013-10-11,57.6
2013-10-16,57.6
2013-10-19,57.6
2013-10-22,55.21
2013-10-26,55.28
2013-11-10,55.34
2013-11-13,55.28
2013-11-24,55.28
2013-11-27,55.28
2013-11-30,55.28
2013-12-03,55.28
2013-12-06,57.6
2013-12-09,57.6
2013-12-13,57.6
2013-12-16,57.6
2013-12-31,57.1
2014-01-03,57.1
2014-01-22,57.1
2014-01-31,56
2014-02-03,56
2014-02-17,55.04
2014-02-23,56
2014-02-26,55.03
2014-03-05,56
2014-03-08,54.3
2014-03-14,54.21
2014-03-17,54.47
2014-04-06,56
2014-05-13,55.94
2014-05-17,55.33
2014-05-21,53.61
2014-05-26,56
2014-06-07,56
2014-06-20,56
2014-07-14,56
2014-07-28,56
2014-09-03,53
2014-09-18,53
2014-09-26,53
2014-10-01,52.39
2014-10-06,52.92
2014-10-13,53
2014-11-03,53
2014-11-07,53
2014-11-11,53
2015-02-13,48.7
2015-02-18,51.75
2015-02-22,49.76
2015-02-26,49.51
2015-03-02,51.75
2015-03-16,47.48
2015-04-18,47.48
2015-05-02,47.48
2015-05-09,47.48
2015-05-12,47.48
2015-06-27,51.48
2015-07-07,51.48
2015-07-17,51.48
2015-07-24,51.48
2015-08-29,51.48
2015-09-03,51.48
2015-09-07,51.48
2015-10-02,51.48
2016-11-08,51.48
