Time,Price
2012-06-01,74.38
2012-06-03,74.41
2012-06-05,74.27
2012-06-06,74.18
2012-06-07,74.15
2012-06-08,74.15
2012-06-08,74.09
2012-06-10,74.05
2012-06-11,74.07
2012-06-12,74.02
2012-06-13,74
2012-06-13,74
2012-06-15,73.98
2012-06-15,73.97
2012-06-17,74.01
2012-06-17,74.01
2012-06-18,74.02
2012-06-18,74.02
2012-06-19,74.02
2012-06-19,73.98
2012-06-20,74.96
2012-06-21,74.96
2012-06-21,75.06
2012-06-22,74.96
2012-06-23,74.96
2012-06-23,74.85
2012-06-24,74.85
2012-06-24,74.79
2012-06-24,74.79
2012-06-25,74.72
2012-06-26,74.68
2012-06-27,74.68
2012-06-27,74.68
2012-06-29,74.68
2012-07-01,74.41
2012-07-02,74.37
2012-07-03,74.37
2012-07-04,74.36
2012-07-08,74.7
2012-07-09,74.38
2012-07-10,74.39
2012-07-11,74.39
2012-07-11,74.76
2012-07-12,74.74
2012-07-12,74.74
2012-07-13,74.74
2012-07-14,74.74
2012-07-14,75.05
2012-07-15,76.04
2012-07-15,76.04
2012-07-16,75.57
2012-07-16,75.57
2012-07-17,74.55
2012-07-18,74.55
2012-07-18,75.29
2012-07-18,75.29
2012-07-19,75.71
2012-07-19,75.71
2012-07-20,76.73
2012-07-20,76.73
2012-07-21,76.58
2012-07-21,76.58
2012-07-22,76.23
2012-07-22,76.23
2012-07-23,76.65
2012-07-23,76.65
2012-07-24,76.56
2012-07-24,76.56
2012-07-25,76.56
2012-07-25,76.56
2012-07-26,76.53
2012-07-26,76.12
2012-07-27,76.12
2012-07-27,76.57
2012-07-28,76.54
2012-07-28,76.49
2012-07-28,76.49
2012-07-29,76.56
2012-07-29,76.56
2012-07-30,75.19
2012-07-31,75.19
2012-07-31,75.26
2012-07-31,75.26
2012-08-01,75.28
2012-08-02,75.21
2012-08-03,75.34
2012-08-04,75.36
2012-08-05,75.38
2012-08-05,75.38
2012-08-06,75.41
2012-08-07,75.45
2012-08-07,75.45
2012-08-08,77.28
2012-08-09,75.75
2012-08-10,75.57
2012-08-10,75.57
2012-08-11,75.65
2012-08-12,75.72
2012-08-13,75.75
2012-08-14,75.79
2012-08-15,75.81
2012-08-16,75.84
2012-08-17,75.83
2012-08-17,75.83
2012-08-18,75.84
2012-08-19,75.87
2012-08-20,75.87
2012-08-20,75.9
2012-08-20,75.9
2012-08-21,75.91
2012-08-22,75.89
2012-08-23,75.65
