Time,Price
2012-12-12,8.24
2013-01-06,10.08
2013-01-22,8.21
2013-02-08,9.04
2013-02-10,8.23
2013-02-21,8.94
2013-02-28,9.11
2013-03-08,8.72
2013-03-10,8.64
2013-03-10,8.88
2013-03-13,8.55
2013-03-13,8.38
2013-03-14,8.63
2013-03-18,8.43
2013-03-20,8.98
2013-03-21,8.85
2013-03-23,9.02
2013-03-23,8.96
2013-03-24,8.94
2013-03-25,8.83
2013-03-27,8.73
2013-03-28,8.5
2013-03-28,8.94
2013-03-29,8.56
2013-03-30,8.37
2013-03-31,8.66
2013-04-01,8.62
2013-04-03,8.36
2013-04-05,8.89
2013-04-05,9.08
2013-04-07,9.15
2013-04-10,8.91
2013-04-11,7.94
2013-04-14,8.67
2013-04-15,8.62
2013-04-16,8.5
2013-04-19,8.26
2013-04-21,8.07
2013-04-22,8.42
2013-04-23,8.72
2013-04-24,8.02
2013-04-25,7.78
2013-04-27,7.75
2013-04-28,7.82
2013-04-29,7.4
2013-05-01,7.78
2013-05-02,8.92
2013-05-03,8.5
2013-05-04,8.44
2013-05-05,8.87
2013-05-06,8.67
2013-05-08,8.27
2013-05-09,7.84
2013-05-11,7.4
2013-05-13,7.75
2013-05-15,7.92
2013-05-21,8.65
2013-05-23,8.56
2013-05-24,7.89
2013-05-25,8.26
2013-05-26,8
2013-05-28,7.94
2013-05-30,8.04
2013-05-31,8.07
2013-06-03,7.85
2013-06-05,7.78
2013-06-06,8.43
2013-06-07,8.54
2013-06-08,8.54
2013-06-08,8.54
2013-06-10,8.3
2013-06-11,8.18
2013-06-12,7.84
2013-06-14,8.84
2013-06-16,8.2
2013-06-19,7.78
2013-06-22,8.4
2013-06-24,8.31
2013-06-26,8.23
2013-06-27,6.99
2013-07-07,7.95
2013-07-08,7.78
2013-07-10,8.08
2013-07-11,8.13
2013-07-13,8.21
2013-07-14,8.24
2013-07-17,8.2
2013-07-19,8.18
2013-07-20,8.44
2013-07-22,8.2
2013-07-25,8.24
2013-07-28,8.87
2013-07-29,7.18
2013-08-03,8.31
2013-08-05,8.39
2013-08-06,8.52
2013-08-08,8.01
2013-08-09,8.14
2013-08-11,8.15
2013-08-12,8.16
2013-08-22,8.38
2013-08-26,8.2
2013-08-29,8.23
2013-09-01,8.26
2013-09-02,8.3
2013-09-05,8.29
2013-09-07,8.36
2013-09-08,8.4
2013-09-14,8.31
2013-09-17,8.07
2013-09-18,7.8
2013-09-20,7.98
2013-09-21,8.09
2013-09-24,8.84
2013-09-26,8.66
2013-09-27,7.81
2013-09-29,8.69
2013-10-01,8.42
2013-10-03,8.12
2013-10-04,8.44
2013-10-06,8.28
2013-10-09,8.3
2013-10-10,8.23
2013-10-12,8.36
2013-10-15,8.09
2013-10-17,8.52
2013-10-20,7.96
2013-10-22,8.02
2013-10-23,8.27
2013-10-25,8.26
2013-10-30,8.07
2013-10-31,8.11
2013-11-02,8.4
2013-11-05,8.31
2013-11-06,8.25
2013-11-08,8.18
2013-11-09,7.82
2013-11-13,7.71
2013-11-21,7.87
2013-11-23,8.21
2013-11-26,8.39
2013-11-28,8.58
2013-12-01,8.6
2013-12-04,9.03
2013-12-07,8.24
2013-12-09,7.54
2013-12-10,7.71
2013-12-14,8.54
2013-12-17,9
2013-12-22,8.61
2013-12-28,9.36
2014-01-08,8.48
2014-01-21,8.81
2014-02-04,8.53
2014-02-11,8.51
2014-02-17,8.42
2014-02-21,8.42
2014-02-22,8.1
2014-02-24,8.66
2014-02-25,8.61
2014-03-01,7.38
2014-03-03,7.57
2014-03-04,8.48
2014-03-06,8.46
2014-03-07,9.02
2014-03-10,8.13
2014-03-12,8.24
2014-03-15,8.12
2014-03-16,8.45
2014-03-18,8.28
2014-03-19,8
2014-03-22,8.39
2014-03-23,9.11
2014-04-08,7.93
2014-04-10,8.72
2014-04-12,8.52
2014-04-14,8.29
2014-04-16,8.56
2014-04-23,8.48
2014-04-25,8.75
2014-04-27,8.47
2014-05-02,8.34
2014-05-04,8.17
2014-05-06,8.24
2014-05-08,8.75
2014-05-10,7.96
2014-05-12,8.21
2014-05-14,8.19
2014-05-16,8.03
2014-05-18,8.82
