Time,Price
2013-02-18,30.32
2013-02-19,30.3
2013-02-20,30.33
2013-02-28,30.52
2013-03-01,30.55
2013-03-04,30.54
2013-03-05,30.99
2013-03-07,30.5
2013-03-08,31
2013-03-10,32.72
2013-03-12,31.93
2013-03-21,32.02
2013-04-22,30.59
2013-04-26,30.61
2013-04-29,30.33
2013-05-06,29.88
2013-05-10,29.86
2013-05-13,29.96
2013-05-19,29.99
2013-05-28,31.6
2013-05-28,32.86
2013-06-10,30.57
2013-06-16,29.99
2013-06-19,29.99
2013-06-21,29.99
2013-06-27,27.75
2013-06-29,29.99
2013-07-26,27.49
2013-07-27,27.49
2013-07-28,28.68
2013-07-29,28.61
2013-07-31,29.99
2013-08-02,29.99
2013-08-04,28.81
2013-08-05,28.81
2013-08-06,29.99
2013-08-06,29.99
2013-08-16,27.93
2013-08-20,29.99
2013-08-22,29.99
2013-08-26,29.99
2013-09-05,29.99
2013-09-21,28.75
2013-09-22,28.85
2013-09-24,29.99
2013-09-27,29.99
2013-10-10,29.36
2013-10-13,29.88
2013-10-19,28.65
2013-10-22,29.88
2013-11-03,29.88
2013-11-16,29.88
2013-11-19,29.88
2013-11-20,29.88
2013-11-23,29.88
2013-11-24,29.88
2013-11-26,29.88
2013-11-28,29.88
2013-12-01,29.88
2013-12-02,29.88
2013-12-05,29.5
2013-12-09,29.88
2013-12-11,29.99
2013-12-12,29.99
2013-12-12,29.88
2013-12-13,29.88
2013-12-15,29.88
2013-12-17,29.88
2013-12-22,29.88
2013-12-27,29.88
2013-12-27,29.88
2014-01-01,29.88
2014-01-02,29.88
2014-01-08,29.99
2014-01-09,29.99
2014-01-13,29.99
2014-01-15,29.99
2014-01-18,29.99
2014-01-31,29.88
2014-02-27,29.99
2014-03-01,29.99
2014-03-12,29.88
2014-03-15,29.88
2014-03-19,29.88
2014-04-10,29.88
2014-04-13,29.88
2014-04-14,29.88
2014-04-23,29.88
2014-05-20,35.99
2014-06-07,29.86
2014-06-12,29.86
2014-09-09,29.86
2014-09-25,29.86
2014-09-28,29.86
2014-09-30,29.86
2014-10-04,29.86
2014-10-14,29.86
2014-10-22,29.86
2014-10-31,29.86
2014-11-04,29.86
2015-02-13,29.86
2015-02-21,29.86
2015-02-23,28.99
2015-03-12,28.99
2015-03-18,28.99
2015-03-29,28.99
2015-04-08,28.99
2015-04-09,28.99
2015-04-22,28.99
2015-04-30,28.99
2015-05-01,28.99
2015-05-01,28.99
2015-05-03,28.99
2015-05-04,28.99
2015-05-05,28.99
2015-05-07,28.99
2015-05-08,28.99
2015-05-10,28.99
2015-05-11,28.99
2015-05-13,28.99
2015-05-14,28.99
2015-05-16,28.99
2015-05-16,28.99
2015-05-20,28.99
2015-05-27,28.99
2015-05-29,28.99
2015-06-01,28.99
2015-06-09,28.99
2015-06-11,35.98
2015-06-26,35.99
2015-07-05,35.99
2015-07-09,34.98
2015-07-10,34.99
2015-07-12,34.99
2015-07-15,28.99
2015-07-18,28.47
2015-07-20,28.45
2015-07-22,28.36
2015-07-23,28.23
2015-07-24,27.94
2015-07-24,27.49
2015-07-27,27.51
2015-07-29,27.49
2015-08-07,27.49
2015-08-08,27.49
2015-08-10,27.49
2015-08-12,27.49
2015-08-12,27.49
2015-08-14,27.49
2015-08-14,27.49
2015-08-16,27.49
2015-08-17,27.49
2015-08-19,27.29
2015-08-23,27.27
2015-08-24,27.22
2015-08-27,27
2015-08-31,27
2015-09-02,27
2015-09-10,26.99
2015-09-23,26.99
2015-09-23,26.99
2015-10-05,26.99
2015-11-02,26.01
2015-11-04,25.99
2015-11-15,26
2015-11-17,25.99
2015-11-24,25.96
2015-11-26,25.95
2016-01-06,25.95
2016-01-20,25.95
2016-01-29,25.95
2016-02-17,25.95
2016-02-19,25.95
2016-02-21,25.95
2016-02-26,25.95
2016-03-20,25.95
2016-04-02,25.95
2016-04-13,25.95
2016-04-27,25.95
2016-05-11,25.95
2016-11-08,25.95
