Time,Price
2013-03-19,259
2013-05-26,253.99
2013-07-01,233.99
2013-07-08,259
2013-08-24,246.99
2013-08-25,233.99
2013-09-13,239
2013-09-30,239
2013-10-02,259
2013-10-03,217.14
2013-10-08,239
2013-10-09,235.99
2013-10-17,246.99
2013-10-19,237.99
2013-10-24,237.99
2013-10-26,236.99
2013-10-30,236.99
2013-11-01,236.99
2013-11-02,236.99
2013-11-05,259
2013-11-07,259
2013-11-08,248.01
2013-11-10,236.99
2013-11-11,236.99
2013-11-13,236.99
2013-11-19,236.99
2014-01-17,235.09
2014-01-20,259
2014-01-29,233.99
2014-02-01,235.99
2014-02-05,233.99
2014-02-08,235.99
2014-02-11,233.99
2014-02-13,233.99
2014-02-14,259
2014-02-16,259
2014-02-17,259
2014-02-18,229.84
2014-02-23,229.84
2014-03-06,229.84
2014-03-15,229.83
2014-03-17,236.98
2014-03-18,236.98
2014-03-21,233.99
2014-04-05,233.99
2014-04-09,233.99
2014-04-16,233.99
2014-04-26,211.16
2014-05-03,211.02
2014-05-07,211.02
2014-05-10,211.02
2014-05-14,211.02
2014-05-18,215.35
2014-05-23,233.99
2014-06-04,209.9
2014-06-27,200.8
2014-07-15,239.99
2014-07-19,239.99
2014-07-21,239.99
2014-07-25,239.99
2014-07-26,239.99
2014-07-28,239.99
2014-08-05,239.99
2014-09-12,233.72
2014-09-20,204.16
2014-09-24,204.14
2014-09-28,204.15
2014-10-15,204.14
2014-10-26,204.14
2014-11-04,249.95
2014-11-06,233.99
2014-11-10,233.99
2014-11-11,233.99
2014-11-12,233.99
2014-11-12,246.99
2014-11-18,246.99
2014-11-18,246.99
2014-11-19,246.99
2014-11-19,246.99
2014-11-21,233.99
2014-11-23,233.99
2014-11-23,233.99
2014-11-24,233.99
2014-11-25,233.99
2014-11-26,233.99
2014-12-02,199.99
2014-12-05,249.99
2015-01-19,232.99
2015-01-30,233.99
2015-02-01,233.99
2015-02-02,233.99
2015-02-02,236.3
2015-02-03,236.58
2015-02-04,236.3
2015-02-05,236.3
2015-02-05,236.3
2015-02-06,233.99
2015-02-17,229.99
2015-02-19,229.99
2015-02-19,229.99
2015-02-20,228.99
2015-02-22,229.98
2015-02-25,229.98
2015-02-26,229.98
2015-03-04,229.98
2015-03-09,239.99
2015-03-09,258.99
2015-03-10,258.99
2015-03-12,258.99
2015-03-18,233.99
2015-03-20,233.99
2015-04-01,233.99
2015-04-05,233.99
2015-04-06,239.99
2015-04-19,211.31
2015-06-02,229.99
2015-06-02,229.99
2015-06-03,229.99
2015-06-07,249
2015-06-09,220.99
2015-06-10,249
2015-06-11,249
2015-06-12,249
2015-06-13,258.99
2015-06-14,258.99
2015-06-16,259
2015-06-17,259
2015-06-23,233.99
2015-06-26,258.33
2015-06-27,233.99
2015-06-28,258.33
2015-06-29,229.99
2015-07-05,233.99
2015-07-06,259
2015-07-06,259
2015-07-07,259
2015-07-09,259
2015-07-10,233.99
2015-08-06,259
2015-08-10,233.99
2015-08-11,259
2015-08-18,204.08
2015-08-20,204.08
2015-08-21,204.08
2015-08-22,204.08
2015-08-22,229.99
2015-08-23,233.99
2015-08-23,233.99
2015-08-24,259
2015-08-25,259
2015-08-26,259
2015-08-27,241.18
2015-09-12,229.99
2015-09-13,229.99
2015-09-13,239.99
2015-09-15,239.99
2015-09-18,233.99
2015-09-19,233.99
2015-09-20,233.99
2015-09-29,203.61
2015-09-30,203.61
2015-10-02,233.99
2015-10-03,233.99
2015-10-04,233.99
2015-10-04,233.99
2015-10-05,245.41
2015-11-03,229.99
2015-11-07,207.99
2015-11-08,207.99
2015-11-08,207.99
2015-11-10,207.99
2015-11-12,207.99
2015-11-14,187.06
2015-11-14,207.99
2015-11-17,207.99
2015-11-17,207.99
2015-11-19,207.99
2015-11-19,207.99
2015-11-21,207.99
2015-11-22,209.44
2015-11-26,233.99
2015-11-29,229.99
2015-11-30,207.99
2015-12-02,229.99
2015-12-04,229.99
2015-12-05,209.44
2015-12-07,229.99
2015-12-09,229.99
2015-12-09,229.99
2015-12-18,229.99
2015-12-21,229.99
2015-12-24,229.99
2016-01-02,220.99
2016-01-03,229.99
2016-02-03,209.44
2016-02-11,209.44
2016-02-13,224.77
2016-02-17,204.06
2016-02-26,234
2016-02-29,259
2016-03-01,220.99
2016-03-03,259
2016-03-17,229.99
2016-03-26,220.02
2016-03-30,208.39
2016-04-05,227.99
2016-04-07,229.99
2016-04-16,220.99
2016-04-26,220.02
2016-04-30,218.96
2016-05-10,218.96
2016-05-14,218.96
2016-05-15,218.96
2016-05-17,218.96
2016-05-24,199.8
2016-05-26,199.8
2016-05-27,199.78
2016-05-29,199
2016-06-02,209.35
2016-06-03,209.35
2016-09-18,192.52
2016-09-21,192.52
2016-11-04,197.82
2016-11-14,189.99
2016-11-17,189.99
2016-11-23,180.87
2016-11-25,180.87
