Time,Price
2013-04-24,114.21
2013-05-08,113.97
2013-08-22,111.8
2013-10-05,113.44
2013-11-22,116.16
2013-12-12,116.95
2014-02-03,114.5
2014-03-20,114.45
2014-05-07,114.99
2014-06-21,115.03
2014-07-11,115.64
2014-07-30,115.83
2014-08-06,130.44
2014-09-18,136.29
2014-10-26,136.03
2014-11-30,135.28
2015-02-15,139.49
2015-03-20,139.99
2015-05-15,123.65
2015-06-03,125.07
2015-06-25,124.58
2015-07-05,141.57
2015-07-24,140.79
2015-08-19,138.51
2015-11-04,149.99
2016-01-09,133.43
2016-02-01,131.74
2016-02-19,131.93
2016-02-28,132.07
2016-03-17,132.1
2016-03-27,132.11
2016-03-31,132.34
2016-04-27,130.94
2016-05-11,128.48
2016-09-20,104.69
2016-10-29,108.55
2016-11-11,116.08
2016-11-19,110.24
2016-11-25,110.24
