Time,Price
2012-06-01,18.99
2012-06-03,18.99
2012-06-07,17.81
2012-06-07,17.81
2012-06-08,18.99
2012-06-15,18.99
2012-06-15,18.99
2012-06-16,18.99
2012-06-17,18.99
2012-06-21,17.81
2012-06-22,17.81
2012-06-22,18.99
2012-06-29,18.99
2012-07-02,18.99
2012-07-02,18.99
2012-07-10,18.99
2012-07-18,18.99
2012-07-19,18.99
2012-07-19,18.84
2012-07-20,18.84
2012-07-20,18.84
2012-07-23,18.84
2012-07-23,18.99
2012-07-24,18.58
2012-07-25,18.99
2012-07-25,18.99
2012-07-30,18.99
2012-08-15,18.33
2012-08-15,18.99
2012-08-24,18.99
2012-08-30,18.99
2012-08-30,18.76
2012-09-01,18.76
2012-09-03,18.76
2012-09-04,18.99
2012-09-10,18.99
2012-09-18,18.99
2012-09-21,24.99
2012-09-22,24.99
2012-09-22,24.99
2012-09-22,18.99
2012-09-25,24.99
2012-09-25,24.99
2012-09-26,18.99
2012-09-26,18.99
2012-09-26,18.99
2012-09-28,18.99
2012-09-28,17.77
2012-09-29,17.77
2012-09-29,18.99
2012-09-29,18.99
2012-10-18,18.32
2012-10-18,18.99
2012-11-02,18.99
2012-11-02,18.57
2012-11-03,18.99
2012-11-03,18.99
2012-11-04,18.99
2012-11-06,18.57
2012-11-06,18.99
2012-11-06,18.99
2012-11-07,15
2012-11-08,15
2012-11-13,15
2012-11-14,15
2012-11-15,15
2012-11-16,19.96
2012-11-16,19.96
2012-11-17,19.96
2012-11-19,19.96
2012-11-20,19.96
2012-11-20,15
2012-11-20,15
2012-11-20,15
2012-11-25,15
2012-11-27,14
2012-12-04,14
2012-12-06,14
2012-12-09,14
2012-12-10,14
2012-12-10,14
2012-12-10,14
2012-12-14,14
2012-12-16,14
2012-12-16,14
2012-12-17,14
2012-12-18,14
2012-12-19,14
2012-12-22,14
2012-12-25,14
2012-12-27,14
2012-12-28,14
2012-12-31,19.96
2013-01-02,19.96
2013-01-04,19.96
2013-01-05,19.96
2013-01-11,19.96
2013-01-13,19.36
2013-01-14,19.96
2013-02-07,19.96
2013-02-09,19.96
2013-02-10,19.96
2013-02-11,19.96
2013-03-19,19.99
2013-03-19,19.99
2013-03-22,24.99
2013-03-22,24.99
2013-03-23,19.99
2013-03-24,19.96
2013-03-30,19.96
2013-04-10,16
2013-04-11,16
2013-04-17,16
2013-04-17,16
2013-04-19,16
2013-04-19,16
2013-05-31,16
2013-06-04,16
2013-06-05,16
2013-06-05,16
2013-06-05,16
2013-06-07,16
2013-06-07,16
2013-06-08,16
2013-06-08,16
2013-06-10,16
2013-06-15,16
2013-06-20,16
2013-07-11,19.96
2013-07-18,19.96
2013-07-21,19.96
2013-07-22,19.96
2013-07-22,19.96
2013-07-27,19.96
2013-07-29,19.96
2013-07-31,19.99
2013-07-31,19.99
2013-08-03,18.15
2013-08-06,19.99
2013-08-06,18.19
2013-08-10,18.19
2013-08-10,17.71
2013-08-21,17.79
2013-08-22,17.79
2013-08-25,24.45
2013-08-27,17.79
2013-08-29,17.79
2013-09-13,17.79
2013-09-14,17.79
2013-09-16,17.79
2013-09-17,19.96
2013-09-23,19.96
2013-10-03,19.96
2013-10-06,19.91
2013-10-08,19.96
2013-10-09,19.96
2013-10-12,19.96
2013-10-17,19.96
2013-10-18,19.96
2013-10-18,19.96
2013-10-20,19.96
2013-10-23,19.96
2013-10-24,19.96
2013-10-30,19.96
2013-11-01,19.96
2013-11-02,19.96
2013-11-03,19.96
2013-11-05,19.96
2013-11-06,19.96
2013-11-07,19.96
2013-11-12,19.96
2013-11-19,19.96
2013-11-24,19.96
2013-11-25,19.96
2013-11-30,19.96
2013-12-01,19.96
2013-12-01,19.96
2013-12-09,19.96
2013-12-11,19.96
2013-12-11,19.96
2013-12-11,19.96
2013-12-11,19.96
2013-12-12,19.96
2013-12-15,19.96
2013-12-16,19.96
2013-12-18,19.96
2013-12-20,19.96
2013-12-20,19.96
2013-12-22,19.96
2013-12-25,19.99
2013-12-30,19.99
2013-12-31,19.99
2014-01-01,19.99
2014-01-03,19.99
2014-01-04,19.99
2014-01-07,19.99
2014-01-09,19.99
2014-01-10,19.99
2014-01-16,18.23
2014-01-20,18.23
2014-01-21,18.23
2014-01-25,17.96
2014-01-28,17.96
2014-02-14,17.96
2014-02-23,17.96
2014-02-26,17.96
2014-03-02,17.96
2014-03-03,17.96
2014-03-09,17.96
2014-03-10,17.96
2014-03-12,17.96
2014-03-14,17.96
2014-03-15,17.96
2014-03-17,17.96
2014-03-18,17.96
2014-03-18,17.96
2014-03-20,17.96
2014-03-22,17.96
2014-03-23,17.96
2014-03-23,17.96
2014-03-27,17.96
2014-03-30,17.96
2014-04-19,17.96
2014-04-22,17.96
2014-04-25,17.96
2014-05-01,17.96
2014-05-07,17.96
2014-05-17,17.96
2014-05-19,17.96
2014-05-21,17.99
2014-06-02,17.99
2014-06-27,17.99
2014-06-30,17.99
2014-07-09,17.99
2014-07-18,17.99
2014-07-24,17.99
2014-08-05,17.99
2014-08-07,19.96
2014-08-20,19.96
2014-08-25,19.96
2014-08-31,19.96
2014-09-04,19.96
2014-09-08,19.96
2014-09-16,19.96
2014-09-17,19.96
2014-09-20,19.96
2014-09-23,19.96
2014-09-24,19.96
2014-09-27,19.96
2014-09-28,19.96
2014-09-29,19.96
2014-10-02,19.96
2014-10-03,19.96
2014-10-06,19.96
2014-10-07,19.96
2014-10-14,19.96
2014-10-15,19.96
2014-10-16,19.96
2014-10-16,19.96
2014-10-24,18.99
2014-10-26,18.99
2014-10-30,19.96
2014-10-30,19.96
2014-10-31,18.99
2014-10-31,18.99
2014-11-06,18.99
2014-11-06,18.99
2014-11-07,18.99
2014-11-08,18.99
2014-11-09,18.99
2014-11-11,18.99
2014-11-17,15
2014-11-19,15
2014-11-19,15
2014-11-21,15
2014-11-23,15
2014-11-24,15
2014-11-24,15
2014-11-25,15
2014-11-26,15
2014-11-26,15
2014-11-28,15
2014-12-01,15
2014-12-01,15
2014-12-05,15
2014-12-06,15
2014-12-07,15
2014-12-08,15
2014-12-08,15
2014-12-11,15
2014-12-12,15
2014-12-12,15
2014-12-14,15
2014-12-15,15
2014-12-26,24.49
2014-12-31,24.03
2015-01-03,24.49
2015-01-05,26.99
2015-01-06,26.99
2015-01-11,15
2015-01-17,15
2015-01-18,15
2015-02-11,15
2015-02-14,14.99
2015-02-15,14.99
2015-02-15,14.99
2015-02-16,14.98
2015-02-18,14.97
2015-02-19,14.96
2015-02-22,14.95
2015-02-23,14.94
2015-02-24,14.93
2015-02-25,14.92
2015-02-26,14.91
2015-02-27,14.9
2015-02-28,14.9
2015-02-28,14.89
2015-03-01,14.89
2015-03-03,14.88
2015-03-04,14.88
2015-03-04,14.87
2015-03-08,14.86
2015-03-09,14.85
2015-03-11,24.04
2015-03-11,24.35
2015-03-12,15.19
2015-03-13,21.29
2015-03-14,24.49
2015-03-14,24.49
2015-03-15,24.49
2015-03-18,24.99
2015-03-18,24.99
2015-03-22,24.23
2015-03-23,24.25
2015-03-26,24.01
2015-03-26,24.22
2015-03-27,19.96
2015-03-29,24.2
2015-03-29,24.21
2015-03-31,24.18
2015-04-01,24.11
2015-04-02,23.39
2015-04-04,22.18
2015-04-05,22.19
2015-04-06,22.19
2015-04-08,19.96
2015-04-09,19.96
2015-04-09,22.2
2015-04-11,19.96
2015-04-12,19.99
2015-04-16,19.96
2015-04-18,19.7
2015-04-20,19.74
2015-04-22,19.7
2015-04-23,19.74
2015-04-23,19.7
2015-04-24,19.99
2015-04-25,19.96
2015-04-30,19.99
2015-04-30,19.69
2015-05-02,19.96
2015-05-03,19.99
2015-05-03,19.96
2015-05-04,19.99
2015-05-05,19.96
2015-05-06,19.99
2015-05-07,19.99
2015-05-08,19.96
2015-05-09,19.2
2015-05-09,19.19
2015-05-13,19.16
2015-05-14,19.19
2015-05-16,19.49
2015-05-17,19.49
2015-05-19,19.66
2015-05-20,19.51
2015-05-22,19.51
2015-05-25,19.99
2015-05-28,19.99
2015-05-31,19.99
2015-06-04,19.99
2015-06-07,16.99
2015-06-10,16.99
2015-06-11,16.99
2015-06-12,16.99
2015-06-14,19.99
2015-06-18,19.99
2015-06-21,19.99
2015-06-24,19.95
2015-06-25,19.95
2015-06-26,19.23
2015-06-26,19.23
2015-06-28,19.22
2015-06-28,19.21
2015-06-29,19.2
2015-07-04,17.53
2015-07-05,17.52
2015-07-07,17.5
2015-07-09,17.48
2015-07-10,19.02
2015-07-11,17.47
2015-07-14,17.45
2015-07-15,17.45
2015-07-15,15
2015-07-15,15
2015-07-18,14.99
2015-07-19,14.98
2015-07-21,14.97
2015-07-22,14.96
2015-07-25,14.95
2015-07-25,14.94
2015-07-26,14.94
2015-07-28,14.92
2015-07-29,14.91
2015-07-30,14.9
2015-08-01,14.89
2015-08-05,14.87
2015-08-06,14.86
2015-08-06,14.85
2015-08-09,14.83
2015-08-10,14.83
2015-08-10,14.82
2015-08-11,14.82
2015-08-11,14.81
2015-08-13,14.79
2015-08-14,14.79
2015-08-15,26.82
2015-08-15,26.82
2015-08-18,14.77
2015-08-19,14.77
2015-08-19,14.77
2015-08-22,14.77
2015-08-23,14.77
2015-08-26,26.82
2015-08-27,14.77
2015-08-30,23.31
2015-08-31,14.77
2015-09-12,14.77
2015-09-13,14.77
2015-09-19,14.77
2015-09-20,14.77
2015-09-22,14.77
2015-09-23,14.77
2015-09-23,14.77
2015-09-26,14.77
2015-09-27,14.77
2015-09-29,14.77
2015-09-30,14.77
2016-11-25,14.77
