Time,Price
2012-06-05,39.99
2014-06-20,24.99
2014-08-03,24.99
2014-08-19,24.99
2014-08-28,24.99
2014-09-14,24.99
2014-09-26,24.99
2014-09-26,24.99
2014-10-01,24.99
2014-10-04,24.99
2014-10-05,24.99
2014-10-06,24.99
2014-10-08,24.99
2014-10-09,24.99
2014-10-13,24.99
2014-10-23,24.99
2014-10-27,24.99
2014-11-01,24.99
2014-11-18,24.99
2014-11-22,24.99
2014-11-23,24.99
2014-11-24,24.99
2014-11-26,24.99
2014-11-27,24.99
2014-11-29,24.99
2014-11-30,24.99
2014-12-03,24.99
2014-12-04,24.99
2014-12-09,24.99
2014-12-22,24.99
2015-01-04,24.99
2015-01-21,24.99
2015-02-13,22.34
2015-02-13,24.99
2015-02-18,24.99
2015-02-22,24.99
2015-02-26,24.99
2015-03-09,24.96
2015-03-10,24.94
2015-03-12,24.93
2015-03-14,24.91
2015-03-15,24.9
2015-03-19,24.88
2015-03-25,24.85
2015-03-31,24.99
2015-04-07,24.98
2015-04-10,24.98
2015-04-13,24.98
2015-04-14,24.97
2015-04-17,24.95
2015-04-18,24.94
2015-04-21,24.92
2015-04-24,24.89
2015-05-02,24.84
2015-05-03,24.83
2015-05-05,24.99
2015-05-08,24.99
2015-05-11,24.99
2015-05-22,24.99
2015-06-03,24.99
2015-06-10,24.98
2015-06-13,24.96
2015-06-17,24.94
2015-06-17,24.93
2015-06-20,24.92
2015-06-24,24.89
2015-06-27,24.87
2015-06-30,24.85
2015-07-03,24.84
2015-07-03,24.84
2015-07-06,24.82
2015-07-09,24.81
2015-07-09,24.8
2015-07-13,24.78
2015-07-17,24.75
2015-07-17,24.75
2015-07-18,24.73
2015-07-20,24.71
2015-07-21,24.71
2015-07-24,24.68
2015-07-24,24.67
2015-07-28,24.64
2015-07-28,24.63
2015-08-01,24.57
2015-08-04,24.54
2015-08-04,24.53
2015-08-08,24.17
2015-08-08,24.17
2015-08-12,24.14
2015-08-13,24.13
2015-08-17,24.09
2015-08-21,24.07
2015-08-25,24.99
2015-08-29,24.99
2015-09-07,24.99
2015-09-11,24.97
2015-09-11,24.96
2015-09-12,24.96
2015-09-15,24.93
2015-09-18,24.9
2015-09-19,24.89
2015-09-21,24.87
2015-09-22,24.86
2015-09-26,21.48
2015-11-04,24.99
2015-11-07,24.98
2015-11-11,24.96
2015-11-11,24.98
2015-11-14,24.93
2015-11-15,24.92
2015-11-18,24.98
2015-11-22,21.08
2015-11-26,21.02
2015-11-29,20.97
2015-12-10,20.86
2015-12-14,20.82
2015-12-18,20.81
2015-12-22,20.78
2016-01-02,20.7
2016-01-06,24.97
2016-01-08,24.96
2016-01-14,24.9
2016-01-20,24.4
2016-01-29,24.99
2016-02-06,24.94
2016-02-11,24.89
2016-02-15,24.85
2016-02-18,24.81
2016-02-27,24.71
2016-03-01,24.67
2016-03-14,21.97
2016-03-15,21.97
2016-03-20,21.97
2016-03-23,21.97
2016-03-30,21.97
2016-04-01,24.99
2016-04-02,21.96
2016-04-04,21.94
2016-04-05,21.92
2016-04-08,21.89
2016-04-09,21.87
2016-04-12,21.86
2016-04-16,21.86
2016-04-17,19.99
2016-04-25,19.96
2016-04-26,19.95
2016-04-29,19.93
2016-04-30,19.92
2016-05-02,19.9
2016-05-09,20.75
2016-05-11,20.74
2016-05-13,20.73
2016-05-17,20.71
2016-05-18,20.7
2016-05-23,20.65
2016-05-24,20.64
2016-05-27,20.62
2016-05-28,20.61
2016-05-30,20.59
2016-05-31,20.58
2016-06-03,24.68
2016-06-04,24.19
2016-09-18,23.52
2016-10-27,23.5
2016-10-29,23.5
2016-10-29,23.5
2016-11-02,23.5
