Time,Price
2012-06-01,19.34
2012-06-02,18
2012-06-04,18
2012-06-06,18
2012-06-07,18
2012-06-09,18
2012-06-09,18
2012-06-10,18
2012-06-11,18
2012-06-12,20.03
2012-06-12,20.03
2012-06-12,20.1
2012-06-13,20.07
2012-06-13,19.29
2012-06-13,19.29
2012-06-14,19.28
2012-06-15,20.5
2012-06-16,20.3
2012-06-17,20.3
2012-06-17,19.71
2012-06-18,19.66
2012-06-19,20.42
2012-06-19,19.27
2012-06-19,19.27
2012-06-20,19.75
2012-06-21,19.75
2012-06-21,19.55
2012-06-22,19.87
2012-06-22,19.87
2012-06-22,19.25
2012-06-23,20.03
2012-06-23,19.59
2012-06-25,20.46
2012-06-25,20.46
2012-06-25,20.13
2012-06-26,19.72
2012-06-26,20.41
2012-06-27,20.11
2012-06-27,20.11
2012-06-28,19.99
2012-06-28,20.06
2012-06-29,20.02
2012-06-29,19.85
2012-06-29,20.14
2012-06-30,20.14
2012-06-30,19.53
2012-07-01,20.42
2012-07-01,20.42
2012-07-02,20.42
2012-07-02,19.84
2012-07-03,20.24
2012-07-04,20.24
2012-07-04,19.97
2012-07-05,19.93
2012-07-05,19.54
2012-07-06,19.88
2012-07-07,19.93
2012-07-08,19.93
2012-07-08,19.96
2012-07-09,19.96
2012-07-09,20.3
2012-07-10,20.38
2012-07-11,20.48
2012-07-12,19.7
2012-07-12,19.97
2012-07-13,19.83
2012-07-13,19.85
2012-07-13,19.85
2012-07-13,20.48
2012-07-13,20.29
2012-07-14,19.83
2012-07-14,19.97
2012-07-14,20.01
2012-07-14,19.94
2012-07-14,19.85
2012-07-15,20.05
2012-07-15,20.45
2012-07-16,19.67
2012-07-16,19.99
2012-07-16,19.92
2012-07-17,20.25
2012-07-17,19.12
2012-07-17,19.76
2012-07-18,20.45
2012-07-18,20.45
2012-07-18,19.61
2012-07-18,19.62
2012-07-19,19.51
2012-07-19,19.55
2012-07-19,19.6
2012-07-19,20.04
2012-07-20,20.22
2012-07-20,19.64
2012-07-20,19.57
2012-07-20,19.74
2012-07-21,19.85
2012-07-21,19.76
2012-07-21,19.79
2012-07-21,20.41
2012-07-22,20.48
2012-07-22,19.84
2012-07-22,19.9
2012-07-22,19.85
2012-07-23,19.88
2012-07-23,20.44
2012-07-23,19.56
2012-07-24,20.18
2012-07-24,20.45
2012-07-24,19.79
2012-07-25,19.65
2012-07-25,19.71
2012-07-25,19.78
2012-07-25,19.73
2012-07-26,19.65
2012-07-26,19.65
2012-07-26,20.02
2012-07-26,19.89
2012-07-27,19.69
2012-07-27,20.33
2012-07-27,20.02
2012-07-27,20.41
2012-07-28,20.23
2012-07-28,20.23
2012-07-28,19.99
2012-07-28,20.41
2012-07-29,20.21
2012-07-30,20.5
2012-07-30,19.59
2012-07-31,19.5
2012-08-01,19.5
2012-08-01,20.05
2012-08-02,19.1
2012-08-03,19.98
2012-08-04,19.74
2012-08-04,19.56
2012-08-05,19.71
2012-08-05,20.08
2012-08-05,20.3
2012-08-06,18
2012-08-07,18
2012-08-16,18
2012-08-16,18
2012-08-23,18
2012-08-24,18
2012-08-25,18
2012-08-31,18
2012-09-02,18
2012-09-10,18
2012-09-10,18
2012-09-11,18
2012-09-14,18
2012-09-15,18
2012-09-20,18
2012-09-21,18
2012-09-23,18
2012-09-24,18
2012-09-25,18
2012-09-26,18
2012-10-02,18
2012-10-06,18
2012-10-07,18
2012-10-24,28.99
2012-10-25,28.99
2012-10-26,28.99
2012-10-26,28.99
2012-10-29,28.99
2012-10-31,28.99
2012-11-01,28.99
2012-11-01,28.99
2012-11-02,28.99
2012-11-02,25.93
2012-11-03,28.99
2012-11-04,28.99
2012-11-06,28.99
2012-11-07,28.99
2012-11-09,28.99
2012-11-10,28.99
2012-11-11,28.99
2012-11-13,28.99
2012-11-13,28.99
2012-11-14,28.99
2012-11-15,28.99
2012-11-16,28.99
2012-11-16,28.99
2012-11-18,25.49
2012-11-19,28.99
2012-11-20,20.32
2012-11-20,24.08
2012-11-20,19.84
2012-11-21,25.69
2012-11-21,22.57
2012-11-22,25.69
2012-11-22,21.67
