Time,Price
2012-06-03,13
2012-06-10,13
2012-06-14,13
2012-06-15,12.74
2012-06-18,11.99
2012-06-19,12.74
2012-06-29,12.74
2012-07-01,13
2012-07-02,13
2012-07-07,13
2012-07-09,12.74
2012-07-10,13
2012-07-16,13
2012-07-26,13
2012-07-30,11.24
2012-07-31,13
2012-08-01,13
2012-08-17,13
2012-08-21,13
2012-08-22,13
2012-08-30,13
2012-09-03,11.99
2012-09-05,13
2012-09-12,13
2012-09-24,13
2012-09-25,13
2012-09-26,12.51
2012-10-02,13
2012-10-05,13
2012-10-06,13
2012-10-24,10.47
2012-11-04,11.82
2012-11-04,11.82
2012-11-09,9.52
2012-11-10,11.82
2012-11-12,12.14
2012-11-13,13
2012-11-16,13
2012-11-18,13
2012-11-24,11.24
2012-11-25,11.24
2012-11-25,12.99
2012-11-27,12.35
2012-11-27,12.14
2012-11-27,11.94
2012-11-27,11.93
2012-12-14,11.99
2012-12-16,12.3
2012-12-17,12.29
2012-12-19,12.61
2013-01-07,12.95
2013-01-09,12.85
2013-01-09,13
2013-01-20,11.99
2013-01-23,13
2013-01-28,12.57
2013-01-28,12.36
2013-01-29,12.52
2013-02-12,11.05
2013-02-14,12.52
2013-02-18,12.64
2013-02-19,12.42
2013-02-19,12.39
2013-02-22,11.99
2013-02-28,11.99
2013-03-02,11.99
2013-03-17,12.99
2013-03-19,13
2013-04-03,11.05
2013-04-03,12.99
2013-04-10,12.74
2013-04-11,12.99
2013-04-14,12.74
2013-04-16,11.05
2013-05-05,11.05
2013-05-06,11.05
2013-05-07,11.05
2013-05-08,11.05
2013-05-16,11.05
2013-05-16,11.05
2013-05-18,11.05
2013-05-20,11.05
2013-05-20,11.05
2013-05-24,11.05
2013-05-25,11.05
2013-06-04,11.05
2013-06-04,11.05
2013-06-05,11.05
2013-06-05,11.05
2013-06-05,11.05
2013-06-05,11.05
2013-06-06,11.05
2013-06-07,11.05
2013-06-07,11.05
2013-06-07,11.05
2013-06-07,11.05
2013-06-07,11.05
2013-06-08,11.05
2013-06-08,11.05
2013-06-08,11.05
2013-06-09,11.05
2013-06-10,11.05
2013-06-10,11.05
2013-06-10,11.05
2013-06-15,11.05
2013-06-21,12.99
2013-06-22,12.99
2013-06-26,12.99
2013-06-27,12.99
2013-07-03,10.39
2013-07-05,10.39
2013-07-06,10.39
2013-07-09,10.39
2013-07-13,13
2013-07-19,13
2013-08-01,13
2013-08-02,13
2013-08-03,13
2013-08-12,11.99
2013-08-20,12.99
2013-08-21,11.59
2013-08-23,12.99
2013-08-25,11.05
2013-08-28,11.05
2013-08-29,10.39
2013-08-29,10.39
2013-09-08,11.05
2013-09-23,11.05
2013-10-06,9.25
2013-10-06,11.05
2013-10-06,11.05
2013-10-06,11.05
2013-10-07,11.05
2013-10-08,11.05
2013-10-26,11.05
2013-10-26,11.05
2013-10-26,11.05
2013-10-27,11.05
2013-10-30,11.05
2013-11-07,11.05
2013-11-09,12.99
2013-11-10,10.4
2013-11-12,11.05
2013-11-13,12.99
2013-11-19,12.99
2013-11-30,11.99
2013-12-01,11.99
2013-12-03,12.99
2013-12-04,12.99
2013-12-07,12.99
2013-12-08,12.99
2013-12-09,12.99
2013-12-10,12.99
2013-12-10,12.99
2013-12-11,12.99
2013-12-12,12.99
2013-12-13,12.99
2013-12-13,12.99
2013-12-15,12.99
2013-12-15,12.99
2013-12-18,12.99
2013-12-21,12.99
2013-12-25,12.99
2013-12-27,12.99
2013-12-28,12.99
2013-12-30,12.99
2014-01-01,12.99
2014-01-03,12.99
2014-01-06,12.99
2014-01-07,12.99
2014-01-07,12.99
2014-01-08,12.99
2014-01-10,12.99
2014-02-15,12.99
2014-02-16,11.99
2014-02-18,11.99
2014-02-19,12.99
2014-02-20,12.99
2014-02-20,12.99
2014-02-22,12.99
2014-02-25,12.99
2014-02-28,12.99
2014-03-04,12.99
2014-03-11,12.99
2014-03-17,12.99
2014-03-18,12.99
2014-03-20,12.99
2014-03-27,12.99
2014-04-04,12.99
2014-04-06,12.99
2014-04-07,11.99
2014-04-08,12.99
2014-04-13,11.04
2014-04-20,12.99
2014-04-26,12.99
2014-04-27,12.99
2014-04-28,12.99
2014-05-06,12.99
2014-05-06,12.99
2014-05-29,12.99
2014-06-06,12.84
2014-06-07,12.89
2014-06-08,12.99
2014-06-09,12.99
2014-06-12,12.99
2014-06-15,12.99
2014-06-18,12.99
2014-07-02,12.99
