Time,Price
2014-10-27,227.23
2015-11-11,218.68
2015-12-13,210.64
2015-12-15,210.64
2015-12-15,212.11
2015-12-16,210.05
2015-12-18,210.05
2015-12-18,210.05
2015-12-19,210.05
2015-12-20,210.05
2015-12-21,210.05
2016-01-31,207.35
2016-02-01,207.35
2016-02-02,269.95
2016-02-04,269.95
2016-02-04,269.95
2016-02-05,269.99
2016-02-06,269.99
2016-02-07,269.99
2016-02-11,269.99
2016-02-15,269.99
2016-02-20,252.59
2016-02-23,269.99
2016-02-29,224.99
2016-02-29,224.99
2016-03-01,224.99
2016-03-03,224.99
2016-03-15,211.36
2016-03-16,210
2016-03-16,208.49
2016-03-17,205
2016-03-18,205
2016-03-20,205
2016-03-20,205
2016-03-21,204.97
2016-03-22,205
2016-03-23,201.54
2016-03-23,205
2016-03-24,205
2016-03-25,204.99
2016-03-25,204.99
2016-03-26,205
2016-03-26,205
2016-03-26,204.99
2016-03-27,204.99
2016-03-28,204.99
2016-03-29,204.99
2016-03-30,203.62
2016-03-31,205
2016-04-01,204.99
2016-04-03,204.99
2016-04-03,204.99
2016-04-06,205
2016-04-06,204.99
2016-04-07,205
2016-04-07,204.12
2016-04-08,205
2016-04-08,204.76
2016-04-09,188.63
2016-04-09,204.99
2016-04-10,204.99
2016-04-12,204.99
2016-04-13,204.99
2016-04-13,205
2016-04-13,204.99
2016-04-14,205
2016-04-15,209.36
2016-04-15,229
2016-04-16,224.42
2016-04-16,223.98
2016-04-16,209.63
2016-04-16,206.28
2016-04-16,218.73
2016-04-17,206.2
2016-04-25,213.63
2016-04-26,213.63
2016-04-27,204.99
2016-04-27,213.63
2016-04-29,213.63
2016-04-30,204.99
2016-05-01,207.63
2016-05-01,207.63
2016-05-01,207.63
2016-05-02,207.63
2016-05-09,202.97
2016-05-11,199.99
2016-05-12,198.99
2016-05-13,196.99
2016-05-14,196.99
2016-05-14,196.99
2016-05-14,189.64
2016-05-15,196.99
2016-05-15,196.99
2016-05-17,196.99
2016-05-23,194.99
2016-05-24,194.97
2016-05-25,191.14
2016-05-27,192.97
2016-05-27,185.85
2016-05-30,194.97
2016-05-31,196
2016-05-31,194.97
2016-06-01,193.65
2016-06-01,194.97
2016-06-01,195
2016-06-02,204.99
2016-06-02,204.99
2016-06-02,207.06
2016-06-03,205
2016-06-03,204.99
2016-06-04,228.98
2016-06-05,224.42
2016-06-05,206.63
2016-06-05,206.63
2016-06-06,186.66
2016-06-07,228.98
2016-06-08,228.98
2016-06-09,228.95
2016-06-09,195.83
2016-06-10,228.87
2016-06-11,228.93
2016-06-11,228.98
2016-06-13,228.98
2016-06-14,203.99
2016-06-16,196.32
2016-06-16,228.98
2016-06-16,201.13
2016-06-17,228.98
2016-06-18,229
2016-06-19,200
2016-06-20,228.98
2016-06-20,189.99
2016-06-20,189.99
2016-06-21,197.33
2016-06-21,194.34
2016-06-21,191.57
2016-06-21,194.57
2016-06-22,206.28
2016-06-23,204.99
2016-06-23,203.19
2016-06-24,203.93
2016-06-24,199.99
2016-06-25,201.13
2016-06-28,193.49
2016-06-29,201.13
2016-06-29,193.49
2016-06-30,193.49
2016-07-01,197.33
2016-07-01,197.33
2016-07-02,197.33
2016-07-02,201.87
2016-07-02,201.87
2016-07-03,201.89
2016-07-04,201.89
2016-07-05,201.89
2016-07-05,201.89
2016-07-06,201.89
2016-07-06,199.97
2016-07-08,199.99
2016-07-11,199.99
2016-07-13,199.99
2016-07-15,198.78
2016-07-15,199.99
2016-07-17,199.01
2016-07-18,199.99
2016-07-18,191.65
2016-07-18,188.65
2016-07-19,199.97
2016-07-19,199.99
2016-07-22,189.99
2016-07-22,190
2016-07-23,189.99
2016-07-23,199.97
2016-07-24,199.97
2016-07-24,199.99
2016-07-25,190.14
2016-07-26,188.54
2016-07-26,195.01
2016-07-27,195.01
2016-07-28,193.19
2016-07-28,195.01
2016-07-28,187.99
2016-07-28,199.97
2016-07-29,187.99
2016-07-29,187.99
2016-08-08,199.99
2016-08-09,197.33
2016-08-10,194.83
2016-08-10,198.97
2016-08-11,194.83
2016-08-11,194.83
2016-08-11,195.01
2016-08-12,192.01
2016-08-12,191.82
2016-08-14,182.84
2016-08-14,191.82
2016-08-14,181.94
2016-08-15,189.35
2016-08-15,182.84
2016-08-15,164.99
2016-08-15,182.84
2016-08-16,197
2016-08-16,182.84
2016-08-16,182.84
2016-08-17,182.84
2016-08-17,198.97
2016-08-18,198.97
2016-08-19,198.97
2016-08-19,179.99
2016-08-19,198.97
2016-08-20,198.99
2016-08-21,198.99
2016-08-22,196.13
2016-08-22,196.13
2016-08-23,198.99
2016-08-23,180
2016-08-23,198.99
2016-08-24,198.97
2016-08-25,198.97
2016-08-31,198.99
2016-09-18,189.99
2016-09-19,201
2016-09-20,197.99
2016-09-21,197.99
2016-10-18,210
2016-10-19,217.62
2016-10-19,224.61
2016-10-19,235.79
2016-10-19,204.98
2016-10-20,209.99
2016-10-21,228.19
2016-10-22,187.54
2016-10-22,199.29
2016-10-24,197.99
2016-10-30,195.54
2016-11-01,193.54
2016-11-02,187.55
2016-11-02,187.55
2016-11-03,186.31
2016-11-04,183.86
2016-11-06,186.54
2016-11-09,184.73
2016-11-12,184.41
2016-11-13,183.86
2016-11-13,183.86
2016-11-13,183.86
2016-11-14,197.99
2016-11-15,198
2016-11-16,198
2016-11-18,198
2016-11-20,198
2016-11-21,198
2016-11-21,198
2016-11-22,198
2016-11-23,198
