Time,Price
2012-06-13,6.95
2012-11-02,6.95
2012-11-02,6.78
2012-11-12,6.95
2013-03-10,6.95
2013-03-17,6.95
2013-03-18,6.95
2013-03-27,6.95
2013-04-15,6.79
2013-04-18,6.79
2013-04-29,6.83
2013-05-03,6.95
2013-06-06,6.95
2013-06-08,6.95
2013-09-05,6.95
2013-10-14,6.95
2013-11-23,6.95
2013-12-02,6.95
2013-12-05,6.95
2013-12-07,6.95
2013-12-12,6.73
2013-12-12,6.95
2013-12-21,7.18
2013-12-26,7.99
2014-01-18,12.86
2014-02-06,14.99
2014-02-12,14.95
2014-02-15,14.95
2014-02-19,14.43
2014-02-22,14.42
2014-03-01,7.73
2014-03-04,8.19
2014-03-07,7.15
2014-03-19,7.87
2014-03-23,9.86
2014-04-09,10.49
2014-04-23,10.39
2014-04-27,8.99
2014-05-04,8.79
2014-05-08,8.78
2014-05-12,8.49
2014-05-15,8.28
2014-05-19,17.42
2014-05-25,8.28
2014-06-04,7.98
2014-06-05,7.99
2014-06-14,7.88
2014-07-12,8.22
2014-07-27,8.05
2014-08-01,8.22
2014-09-09,8.45
2014-09-13,8.41
2014-09-30,8.45
2014-10-04,8.41
2014-10-08,8.45
2015-02-16,5.78
2015-03-01,7.22
2015-04-02,7.22
2015-04-10,7.22
2015-04-20,7.22
2015-04-24,7.22
2015-05-10,7.22
2015-05-29,7.41
2015-05-30,7.22
2015-06-06,7.34
2015-06-16,7.41
2015-06-19,7.41
2015-06-19,7
2015-06-23,7.41
2015-07-18,7.38
2015-08-12,6.98
2015-09-09,6.91
2015-10-01,6.49
2016-11-03,7.54
2016-11-22,6.54
2016-11-25,6.54
2014-06-08,
2015-03-10,7.22
2015-10-13,6.49
2016-03-08,6.46
2016-04-03,6.77
2016-04-29,7.07
2016-08-30,7.58
2016-10-26,7.54
2016-11-23,6.54
2016-11-25,7.54
2016-11-26,7.54
