Time,Price
2013-05-29,10.75
2015-07-16,12
2015-07-23,12
2015-07-30,12
2015-08-02,12
2015-08-03,11.12
2015-08-04,12
2015-08-06,11.34
2015-08-07,12
2015-08-08,11.67
2015-08-08,11.12
2015-08-10,10.96
2015-08-11,12
2015-08-19,12
2015-08-22,11.98
2015-09-04,12
2015-09-07,12
2015-09-12,12
2015-09-13,12
2015-09-15,10.76
2015-09-15,10.86
2015-09-16,10.82
2015-09-17,12
2015-09-24,12
2015-11-03,10.62
2015-11-04,10.49
2015-11-11,8.4
2015-11-23,10.49
2015-11-27,10.48
2015-11-30,10.41
2015-12-01,10.48
2015-12-09,10.39
2015-12-15,10.39
2015-12-18,8.69
2015-12-30,10.39
2016-01-07,10.39
2016-01-08,10.39
2016-01-15,10.48
2016-01-29,11.94
2016-02-06,10.39
2016-02-11,10.39
2016-02-17,10.48
2016-02-20,11.94
2016-02-28,11.92
2016-03-15,12
2016-03-20,12
2016-03-21,12
2016-03-28,12
2016-03-29,12
2016-03-31,11.76
2016-04-01,11.27
2016-04-02,12
2016-04-11,10.62
2016-04-12,11
2016-04-13,10.5
2016-04-14,12
2016-04-16,12
2016-04-25,12
2016-05-09,9.99
2016-05-12,8.79
2016-05-15,10.02
2016-05-17,9.99
2016-05-23,9.29
2016-05-25,9.2
2016-05-27,11.95
2016-05-30,12
2016-06-02,11.95
2016-06-03,12
2016-09-18,9.26
2016-09-20,9.26
2016-10-27,9.34
2016-10-28,9.34
2016-10-30,9.44
2016-10-30,9.26
2016-10-31,9.28
2016-11-01,9.34
2016-11-01,9.28
2016-11-01,9.28
2016-11-02,9.37
2016-11-02,9.28
2016-11-04,10.97
2016-11-04,10.9
2016-11-05,9.51
2016-11-06,9.74
2016-11-06,9.74
2016-11-06,9.69
2016-11-07,9.43
2016-11-07,9.62
2014-05-22,11.99
2014-07-09,12.00
2014-11-19,10.31
2014-12-10,12.00
2014-12-19,10.90
2014-12-20,10.16
2015-01-15,12.00
2015-10-07,11.95
2015-11-11,8.40
2015-12-14,10.39
2016-01-12,10.46
2016-02-14,10.39
2016-03-07,11.94
2016-04-05,12.00
2016-05-10,9.99
2016-07-01,12.00
2016-08-17,11.94
2016-09-02,12.00
2016-09-13,10.79
2016-09-20,9.26
2016-10-30,9.26
2016-11-02,9.33
2016-11-08,9.26
2016-11-09,9.26
