Time,Price
2012-12-13,24.99
2013-02-10,18
2013-02-22,19.36
2013-03-03,24.99
2013-03-04,19.36
2013-03-21,24.99
2013-03-29,24.99
2013-04-01,24.99
2013-04-02,24.99
2013-04-28,24.99
2013-05-02,24.99
2013-05-11,24.99
2013-05-17,24.99
2013-05-18,24.99
2013-05-19,24.99
2013-05-24,24.99
2013-05-25,24.99
2013-05-26,24.99
2013-05-30,24.99
2013-06-06,24.99
2013-06-09,24.99
2013-06-12,24.99
2013-06-16,24.99
2013-06-19,24.99
2013-06-29,23.55
2013-07-02,24.99
2013-07-03,20.74
2013-07-05,20.18
2013-07-14,18.34
2013-07-17,18.34
2013-07-27,24.99
2013-07-27,24.99
2013-07-30,24.99
2013-08-05,24.99
2013-08-30,24.99
2013-09-02,24.99
2013-09-15,18.34
2013-09-18,18.45
2013-09-21,18.34
2013-09-27,18.45
2013-10-01,18.41
2013-10-04,19.15
2013-10-05,19.27
2013-10-07,17.48
2013-10-11,24.98
2013-10-19,24.98
2013-10-25,24.98
2013-10-28,24.98
2013-10-31,24.98
2013-11-03,24.98
2013-11-06,24.98
2013-11-08,24.98
2013-11-13,24.98
2013-11-23,24.98
2013-11-26,24.98
2013-11-29,24.98
2013-12-02,24.98
2013-12-12,24.98
2013-12-18,24.98
2013-12-27,24.98
2014-01-31,24.98
2014-02-06,24.98
2014-02-13,24.99
2014-02-19,24.99
2014-03-01,22.49
2014-03-04,24.98
2014-03-08,19.99
2014-04-24,19.99
2014-05-04,19.99
2014-05-08,19.99
2014-05-16,19.99
2014-06-24,19.99
2014-07-09,19.99
2014-07-24,19.99
2014-08-18,19.99
2014-08-27,19.99
2014-08-29,19.99
2014-09-04,19.27
2014-09-10,19.99
2014-09-11,19.99
2014-09-14,19.99
2014-09-21,19.71
2014-09-23,19.75
2014-09-26,19.99
2014-09-27,19.99
2014-09-28,19.99
2014-09-30,19.99
2014-10-05,19.99
2014-10-09,19.99
2014-10-22,19.99
2014-10-25,19.99
2014-11-06,19.99
2014-11-11,19.99
2014-11-20,19.99
2014-11-24,19.99
2014-11-26,19.99
2014-11-30,19.99
2014-12-01,19.99
2014-12-10,19.99
2014-12-22,18.74
2014-12-25,17.75
2014-12-31,19.99
2015-01-16,19.99
2015-02-17,19.99
2015-02-21,19.99
2015-02-25,19.99
2015-02-27,19.99
2015-03-01,19.99
2015-03-03,19.99
2015-03-04,19.99
2015-03-09,19.99
2015-03-11,19.99
2015-03-20,24.99
2015-03-24,20
2015-03-29,21.24
2015-03-30,21.24
2015-04-07,24.99
2015-04-10,19.99
2015-04-13,19.99
2015-04-17,24.99
2015-04-21,24.99
2015-04-21,24.99
2015-04-24,24.99
2015-04-30,24.99
2015-05-01,24.99
2015-05-07,24.98
2015-05-15,19.99
2015-05-19,19.99
2015-05-21,19.99
2015-05-28,19.99
2015-05-30,19.99
2015-06-02,19.99
2015-06-04,19.99
2015-06-09,19.99
2015-06-10,19.99
2015-06-13,19.99
2015-06-16,19.99
2015-06-16,19.99
2015-06-17,19.99
2015-06-19,19.99
2015-06-21,19.99
2015-06-23,19.99
2015-06-24,19.99
2015-06-26,19.99
2015-06-28,19.99
2015-06-30,19.99
2015-07-04,19.99
2015-07-12,19.99
2015-07-18,19.99
2015-07-24,19.99
2015-07-27,19.99
2015-07-29,19.99
2015-07-31,19.99
2015-08-03,19.99
2015-08-05,19.97
2015-08-08,19.97
2015-08-12,19.97
2015-08-13,19.97
2015-08-16,19.97
2015-08-18,19.97
2015-08-20,18.51
2015-08-22,18.51
2015-08-24,18.51
2015-08-26,18.51
2015-08-28,18.51
2015-08-30,18.51
2015-09-02,18.51
2015-09-04,19.99
2015-09-05,19.99
2015-09-10,19.99
2015-09-13,14.99
2015-09-14,19.99
2015-09-17,19.99
2015-09-17,19.99
2015-09-18,19.99
2015-09-19,19.99
2015-09-20,19.99
2015-09-21,19.99
2015-09-23,19.89
2015-09-24,19.99
2015-09-25,19.89
2015-09-26,19.89
2015-09-26,19.89
2015-09-27,19.89
2015-09-28,19.91
2015-09-28,19.91
2015-09-29,19.89
2015-09-30,19.89
2015-10-01,19.89
2015-10-01,19.89
2015-10-02,19.89
2015-10-04,19.89
2015-10-04,19.89
2015-10-05,19.89
2015-11-02,19.41
2015-11-03,19.99
2015-11-05,19.99
2015-11-06,17.95
2015-11-06,17.95
2015-11-08,17.95
2015-11-08,18.85
2015-11-09,18.85
2015-11-09,18.85
2015-11-10,18.85
2015-11-10,18.85
2015-11-11,18.85
2015-11-11,18.85
2015-11-11,18.85
2015-11-12,18.85
2015-11-13,18.85
2015-11-13,18.85
2015-11-14,18.85
2015-11-14,18.85
2015-11-15,18.85
2015-11-16,19.99
2015-11-17,18.85
2015-11-24,18.85
2015-11-24,18.85
2015-11-25,18.85
2015-11-29,18.85
2015-12-01,19.61
2015-12-01,19.61
2015-12-01,18.85
2015-12-02,19.99
2015-12-06,19.61
2015-12-10,19.99
2015-12-12,19.99
2015-12-14,19.99
2015-12-15,19.99
2015-12-16,19.99
2015-12-16,19.99
2015-12-18,19.99
2015-12-18,19.75
2015-12-20,18.99
2015-12-20,19.49
2015-12-21,17.99
2015-12-22,19.49
2015-12-22,18.99
2015-12-22,18.24
2015-12-23,18.49
2015-12-23,18.49
2015-12-25,17.49
2015-12-30,17.39
2016-01-01,17.39
2016-01-02,17.39
2016-01-03,17.39
2016-01-04,19.99
2016-01-05,19.13
2016-01-07,19.13
2016-01-10,19.99
2016-01-13,19.99
2016-01-29,19.99
2016-01-30,19.99
2016-01-30,19.99
2016-01-31,19.99
2016-02-01,19.99
2016-02-02,19.99
2016-02-02,19.99
2016-02-03,19.99
2016-02-04,19.99
2016-02-05,19.99
2016-02-06,19.99
2016-02-10,19.99
2016-02-10,19.99
2016-02-13,19.99
2016-02-14,19.99
2016-02-17,19.99
2016-02-20,19.81
2016-02-20,19.99
2016-02-20,19.99
2016-02-21,19.03
2016-02-21,19.03
2016-02-26,19.99
2016-02-27,19.99
2016-02-28,19.99
2016-02-29,19.99
2016-02-29,18.95
2016-03-01,18.95
2016-03-02,18.95
2016-03-02,18.95
2016-03-03,18.95
2016-03-14,18.95
2016-03-16,18.95
2016-03-16,18.95
2016-03-17,18.95
2016-03-19,18.95
2016-03-20,18.95
2016-03-20,18.95
2016-03-22,18.95
2016-03-26,19.99
2016-03-27,18.99
2016-03-28,18.75
2016-03-29,18.5
2016-03-30,18.49
2016-03-30,18.29
2016-04-01,18.29
2016-04-01,17.95
2016-04-02,17.96
2016-04-02,19.99
2016-04-03,18.72
2016-04-04,18.72
2016-04-04,19.99
2016-04-05,19.81
2016-04-05,19
2016-04-06,19
2016-04-06,19
2016-04-07,19
2016-04-07,19.99
2016-04-07,19.99
2016-04-08,19.99
2016-04-09,19.99
2016-04-11,19.99
2016-04-11,19.99
2016-04-14,19.99
2016-04-15,19.99
2016-04-16,19.99
2016-04-17,19.99
2016-04-25,19.99
2016-04-26,19.99
2016-04-27,19.99
2016-04-27,19.99
2016-04-28,19.99
2016-04-29,19.99
2016-04-29,19.99
2016-04-30,19.99
2016-04-30,19.99
2016-05-02,19.99
2016-05-09,19.93
2016-05-10,19.91
2016-05-13,19.91
2016-05-15,19.9
2016-05-15,19.9
2016-05-16,19.9
2016-05-16,19.9
2016-05-17,19.25
2016-05-18,19.25
2016-05-23,19.24
2016-05-24,19.24
2016-05-25,19.24
2016-05-25,19.24
2016-05-28,19.24
2016-05-28,19.24
2016-05-29,19.24
2016-05-30,19.23
2016-05-31,19.23
2016-06-01,19.23
2016-06-01,19.23
2016-06-02,19.23
2016-06-04,19.23
2016-06-04,19.23
2016-06-05,19.23
2016-06-06,19.23
2016-06-07,19.23
2016-06-07,19.23
2016-06-09,19.21
2016-06-10,18.59
2016-06-11,18.59
2016-06-11,17.67
2016-06-12,18.98
2016-06-13,19.21
2016-06-13,19.21
2016-06-14,18.95
2016-06-16,18.95
2016-06-17,18.95
2016-06-17,18.95
2016-06-18,18.95
2016-06-19,18.95
2016-06-20,18.95
2016-06-21,19.23
2016-06-24,19.23
2016-06-25,18.47
2016-06-26,18.46
2016-06-26,18.45
2016-06-27,18.45
2016-06-28,18.45
2016-06-28,18.42
2016-07-02,18.42
2016-07-03,18.42
2016-07-06,18.42
2016-07-06,18.42
2016-07-07,18.4
2016-07-07,18.4
2016-07-08,18.4
2016-07-09,18.4
2016-07-10,18.4
2016-07-10,18.42
2016-07-13,18.42
2016-07-14,18.42
2016-07-15,18.4
2016-07-16,18.4
2016-07-17,18.42
2016-07-19,18.42
2016-07-21,18.4
2016-07-22,18.4
2016-07-23,18.4
2016-07-25,18.4
2016-07-26,18.4
2016-07-27,18.4
2016-07-27,18.42
2016-07-28,19.19
2016-07-29,19.21
2016-08-01,19.15
2016-08-08,19.13
2016-08-08,19.1
2016-08-09,19.1
2016-08-10,19.1
2016-08-12,18.63
2016-08-13,18.02
2016-08-13,18.02
2016-08-15,18.02
2016-08-15,18.25
2016-08-16,19.21
2016-08-16,19.21
2016-08-18,19.99
2016-08-19,19.99
2016-08-19,19.99
2016-08-20,19.99
2016-08-21,15.97
2016-08-23,15.97
2016-08-23,15.97
2016-08-24,16.95
2016-08-24,19.99
2016-08-25,19.99
2016-08-28,19.99
2016-08-30,19.99
2016-08-31,19.99
2016-09-18,23.6
2016-09-19,23.65
2016-09-20,22.93
2016-10-19,19.99
2016-10-19,19.99
2016-10-20,19.99
2016-10-20,19.99
2016-10-20,19.99
2016-10-21,19.99
2016-10-21,19.99
2016-10-22,19.99
2016-10-22,19.99
2016-10-23,19.99
2016-10-23,19.97
2016-10-24,19.99
2016-10-24,19.99
2016-10-24,19.99
2016-10-25,19.97
2016-10-26,19.51
2016-10-26,19.51
2016-10-26,19.97
2016-10-27,19.97
2016-10-27,19.97
2016-10-27,19.51
2016-10-27,19.51
2016-10-27,19.51
2016-10-27,19.51
2016-10-28,19.51
2016-10-28,19.51
2016-10-28,19.51
2016-10-28,19.51
2016-10-28,19.51
2016-10-28,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-29,19.51
2016-10-30,19.51
2016-10-30,19.24
2016-10-30,19.24
2016-10-31,19.24
2016-10-31,19.24
2016-10-31,19.24
2016-10-31,19.24
2016-11-01,19.24
2016-11-01,19.24
2016-11-01,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-02,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-03,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-04,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
2016-11-05,19.24
