Time,Price
2015-06-06,6.49
2015-07-06,6.25
2015-07-12,6.49
2015-07-31,6.89
2015-08-11,6.89
2015-08-28,6.99
2015-09-02,6.49
2015-09-06,6.99
2015-09-14,6.99
2015-09-20,6.99
2015-11-05,6.49
2015-12-20,6.42
2015-12-24,6.3
2016-01-05,6.24
2016-01-12,6.24
2016-02-03,5.99
2016-02-21,5.96
2016-02-29,5.96
2016-05-26,5.88
2016-05-29,5.88
2016-09-21,5.99
2016-10-27,5.99
2016-10-30,5.99
2016-11-02,5.99
2016-11-07,5.99
2016-11-11,5.99
2016-11-12,5.99
2016-11-15,5.99
2016-11-19,5.99
2016-11-20,5.99
2016-11-22,5.09
