Time,Price
2012-06-10,34.99
2012-06-16,34.99
2012-07-12,34.99
2012-07-17,34.99
2012-08-10,34.99
2012-08-25,34.99
2012-09-04,35.67
2012-09-13,29.99
2012-09-20,30.57
2012-11-12,30.57
2012-11-15,30.57
2012-12-07,29.04
2012-12-22,34.99
2013-01-18,34.99
2013-02-20,31.58
2013-03-13,26.47
2013-05-01,29.74
2013-05-02,29.74
2013-05-07,34.99
2013-05-25,34.99
2013-06-12,34.99
2013-06-22,34.99
2013-08-14,34.31
2013-08-26,25.87
2013-08-30,31.98
2013-09-01,28.91
2013-09-02,27.96
2013-09-05,25.97
2013-09-08,34.99
2014-06-08,
2016-11-23,42.12
2016-11-25,35.59
2016-11-26,35.59
