Time,Price
2012-05-31,17.84
2012-06-07,17.84
2012-06-09,17.84
2012-06-10,20.15
2012-06-25,20
2012-07-04,20
2012-07-07,20
2012-07-14,21.95
2012-07-30,18.39
2012-08-09,21.95
2012-08-11,21.95
2012-08-12,21.95
2012-08-31,21.95
2012-09-01,21.95
2012-09-02,21.95
2012-09-04,18.39
2012-09-05,21.95
2012-09-10,18.69
2012-09-14,18.69
2012-09-18,21.99
2012-09-20,21.99
2012-09-21,20
2012-11-03,18
2012-11-04,20
2013-01-20,21.99
2013-12-25,21.99
2016-11-25,21.99
2014-06-08,23.36
2014-12-17,21.36
2016-11-23,19.29
2016-11-26,19.29
