Time,Price
2012-05-31,9.99
2012-06-05,12.07
2012-06-07,12.06
2012-06-08,11.99
2012-06-12,11.96
2012-06-14,12.17
2012-06-15,12.22
2012-06-17,13.99
2012-06-22,13.99
2012-06-28,10.91
2012-06-29,11.09
2012-06-30,11.74
2012-06-30,9.94
2012-07-01,11.74
2012-07-02,11.54
2012-07-03,11.29
2012-07-04,11.17
2012-07-05,13.99
2012-07-10,11.2
2012-07-12,11.99
2012-07-13,11.12
2012-07-14,11.15
2012-07-15,11.17
2012-07-18,11.19
2012-07-20,11.13
2012-07-22,11.72
2012-07-25,11.85
2012-07-26,11.72
2012-07-27,11.96
2012-07-28,11.99
2012-08-16,11.99
2012-08-17,12.15
2012-08-18,11.99
2012-08-20,11.99
2012-08-21,11.99
2012-08-22,11.99
2012-08-23,11.99
2012-08-23,11.99
2012-08-30,11.11
2012-09-02,11.1
2012-09-04,11.12
2012-09-05,11.39
2012-09-11,11.99
2012-09-12,11.99
2012-09-14,11.96
2012-09-15,11.95
2012-09-18,11.99
2012-09-19,11.99
2012-09-22,11.99
2012-09-24,13.23
2012-09-25,11.99
2012-09-28,11.99
2012-10-04,12.16
2012-10-05,12.01
2012-10-06,11.69
2012-10-07,11.55
2012-10-08,11.51
2012-10-09,10.89
2012-10-10,10.99
2012-10-11,11.14
2012-10-12,11.23
2012-10-15,11.65
2012-10-17,11.68
2012-10-18,11.45
2012-10-19,11.29
2012-10-20,11.35
2012-10-21,11.39
2012-10-23,11.29
2012-10-25,11.64
2012-10-28,11.99
2012-11-09,9.59
2012-11-09,11.28
2012-11-10,11.25
2012-11-11,11.63
2012-11-12,11.44
2012-11-14,11.58
2012-11-15,11.39
2012-11-16,11.68
2012-11-17,11.56
2012-11-18,11.44
2012-11-19,11.42
2012-11-20,11.06
2012-11-21,11.99
2012-11-29,11.99
2012-11-29,11.61
2012-11-29,11.99
2012-12-03,10.78
2012-12-03,11.99
2012-12-12,9.99
2012-12-14,8.99
2012-12-15,9.99
2013-01-03,9.99
2013-01-19,9.99
2013-01-19,9.99
2013-01-23,9.99
2013-01-28,9.99
2013-02-08,9.99
2013-04-19,9.62
2013-05-01,9.62
2013-05-10,9.62
2013-05-28,9.62
2013-06-03,9.62
2013-06-22,9.62
2013-06-28,9.62
2013-07-08,9.62
2013-09-02,8.66
2013-09-04,9.69
2013-09-05,9.69
2013-09-05,8.18
2013-09-08,8.71
2013-09-21,8.66
2013-09-23,8.71
2013-09-30,8.67
2013-10-07,8.23
2013-10-25,8.23
2013-10-27,8.23
2013-10-29,8.23
2013-11-20,8.23
2013-12-02,6.4
2013-12-05,8.23
2013-12-18,8.23
2013-12-23,8.23
2014-01-02,8.23
2014-01-09,8.23
2014-01-13,8.23
2014-02-25,8.23
2014-03-12,8.23
2015-05-20,14.99
2015-08-28,9.59
2015-11-24,9.62
2015-11-30,8.23
2015-11-30,7
2015-12-01,8.23
2015-12-11,9.62
2015-12-12,9.69
2015-12-14,9.69
2015-12-19,9.89
2016-01-06,9.89
2016-01-11,9.89
2016-02-03,9.62
2016-11-25,9.62
