Time,Price
2012-05-31,16.62
2012-06-01,15.16
2012-06-03,15.89
2012-06-04,16.01
2012-06-04,16.01
2012-06-05,15.59
2012-06-06,16.19
2012-06-07,16.54
2012-06-07,16.54
2012-06-08,16.54
2012-06-12,16.61
2012-06-14,15.99
2012-06-14,16.52
2012-06-15,16.28
2012-06-15,15.99
2012-06-20,15.91
2012-06-21,13.98
2012-06-22,15.97
2012-06-23,13.98
2012-06-23,15.97
2012-06-24,13.98
2012-06-24,15.97
2012-06-25,14.95
2012-06-25,11.84
2012-06-26,14.99
2012-06-27,12.72
2012-06-27,15.04
2012-06-28,15.15
2012-06-29,16.03
2012-06-30,16.1
2012-07-01,13.56
2012-07-01,16.1
2012-07-02,16.01
2012-07-03,15.59
2012-07-04,15.76
2012-07-05,15.75
2012-07-06,15.59
2012-07-07,15.92
2012-07-08,16.07
2012-07-10,16.11
2012-07-12,16.87
2012-07-13,16
2012-07-13,16
2012-07-14,15.96
2012-07-15,16.07
2012-07-18,16.12
2012-07-19,16.11
2012-07-20,16.05
2012-07-22,15.72
2012-07-23,15.84
2012-07-25,15.76
2012-07-26,15.72
2012-07-27,15.73
2012-07-29,15.93
2012-08-01,16.18
2012-08-03,16.34
2012-08-03,16.34
2012-08-04,16.38
2012-08-05,16.36
2012-08-06,16.41
2012-08-06,16.41
2012-08-07,16.37
2012-08-08,16.46
2012-08-10,16.63
2012-08-11,16.45
2012-08-12,16.4
2012-08-13,16.4
2012-08-15,16.41
2012-08-16,16.55
2012-08-17,16.65
2012-08-18,16.29
2012-08-19,16.37
2012-08-20,16.37
2012-08-21,16.32
2012-08-24,15.83
2012-08-25,15.79
2012-08-26,15.81
2012-08-29,15.74
2012-09-01,15.55
2012-09-02,15.64
2012-09-04,15.67
2012-09-13,16.09
2012-09-14,16.11
2012-09-18,16.05
2012-09-19,16.54
2012-09-21,16.44
2012-09-22,16.44
2012-09-22,16.4
2012-09-23,16.34
2012-09-24,16.45
2012-09-25,16.36
2012-09-26,16.5
2012-09-26,16.5
2012-09-27,16.41
2012-09-29,16.34
2012-10-02,16.18
2012-10-03,15.91
2012-10-04,16.17
2012-10-05,15.84
2012-10-05,15.84
2012-10-06,15.98
2012-10-07,15.43
2012-10-08,14.9
2012-10-09,14.46
2012-10-10,14.95
2012-10-11,14.91
2012-10-12,15.04
2012-10-14,15.56
2012-10-16,15.56
2012-10-18,14.92
2012-10-19,14.94
2012-10-20,14.23
2012-10-21,14.09
2012-10-26,14.5
2012-10-28,14.09
2012-10-29,14.16
2012-11-08,14.96
2012-11-11,14.89
2012-11-14,15.02
2012-11-15,14.93
2012-11-16,15.07
2012-11-17,14.96
2012-11-18,14.87
2012-11-21,14.85
2012-11-25,14.79
2012-11-27,14.64
2012-11-29,14.65
2012-11-30,14.59
2012-12-01,14.56
2012-12-08,14.47
2012-12-11,14.37
2012-12-22,15.69
2012-12-23,15.54
2012-12-25,15.51
2012-12-26,15.77
2012-12-28,15.52
2012-12-29,15.72
2012-12-30,15.7
2012-12-31,15.7
2013-01-01,15.43
2013-01-04,15.47
2013-01-05,16.12
2013-01-06,17.09
2013-01-09,16.66
2013-01-11,16.5
2013-01-12,15.43
2013-01-15,15.41
2013-01-16,15.41
2013-01-18,15.37
2013-01-18,15.37
2013-01-19,16.2
2013-01-20,15.64
2013-01-21,15.2
2013-01-22,15.06
2013-01-24,14.56
2013-01-26,14.43
2013-01-27,14.44
2013-01-28,14.45
2013-01-29,14.51
2013-01-30,14.42
2013-02-01,14.68
2013-02-02,14.73
2013-02-07,14.9
2013-02-09,15.07
2013-02-10,15.12
2013-02-11,15.38
2013-02-12,15.12
2013-02-15,15.11
2013-02-16,15.07
2013-02-17,15.19
2013-02-20,15.21
2013-02-21,15.16
2013-02-22,14.58
2013-02-23,14.43
2013-02-24,14.52
2013-02-25,14.69
2013-02-27,13.99
2013-02-28,15.13
2013-03-01,14.95
2013-03-02,14.89
2013-03-03,14.87
2013-03-04,15.08
2013-03-05,15.05
2013-03-06,14.9
2013-03-07,14.98
2013-03-08,14.98
2013-03-09,14.99
2013-03-10,14.6
2013-03-11,14.49
2013-03-12,14.36
2013-03-13,14.33
2013-03-13,14.33
2013-03-13,14.33
2013-03-14,14.29
2013-03-18,14.29
2013-03-18,14.22
2013-03-19,14.22
2013-03-19,14.22
2013-03-20,14.48
2013-03-20,14.48
2013-03-20,14.48
2013-03-20,14.48
2013-03-20,14.48
2013-03-21,14.48
2013-03-21,14.48
2013-03-22,14.14
2013-03-22,14.14
2013-03-22,14.14
2013-03-23,14.15
2013-03-23,14.15
2013-03-25,14.28
2013-03-25,14.28
2013-03-25,14.28
2013-03-25,14.28
2013-03-26,14.29
2013-03-26,14.29
2013-03-26,14.29
2013-03-27,13.97
2013-03-27,13.97
2013-03-29,14.63
2013-03-30,14.43
2013-03-30,14.43
2013-03-31,14.44
2013-04-02,14.36
2013-04-03,14.49
2013-04-04,14.47
2013-04-05,14.51
2013-04-06,14.67
2013-04-07,14.76
2013-04-09,14.79
2013-04-10,14.77
2013-04-11,14.88
2013-04-14,14.58
2013-04-15,14.55
2013-04-17,14.42
2013-04-17,14.42
2013-04-18,14.3
2013-04-18,14.3
2013-04-19,14.33
2013-04-21,13.94
2013-04-22,14.25
2013-04-22,14.25
2013-04-23,14.26
2013-04-24,14.14
2013-04-25,14.15
2013-04-26,14.08
2013-04-26,14.08
2013-04-26,14.08
2013-04-27,14.27
2013-04-28,14.44
2013-04-29,14.42
2013-05-01,14.35
2013-05-02,14.29
2013-05-03,14.27
2013-05-04,14.19
2013-05-05,14.23
2013-05-06,14.21
2013-05-07,14.09
2013-05-08,13.99
2013-05-09,14.25
2013-05-09,14.25
2013-10-20,15.01
2014-03-06,17.72
2014-03-07,17.72
2014-03-07,17.72
2014-03-09,22
2014-03-12,22
2014-03-13,22
2014-03-13,22
2014-03-14,22
2014-03-18,21.9
2014-03-20,21.9
2014-03-22,21.7
2014-03-22,21.7
2014-03-23,21.49
2014-03-25,21.34
2014-03-27,21.13
2014-03-28,20.74
2014-03-30,20.18
2014-04-01,20.18
2014-04-04,20.16
2014-04-06,19.86
2014-04-08,19.81
2014-04-09,19.85
2014-04-09,19.85
2014-04-10,19.85
2014-04-10,19.85
2014-04-11,19.92
2014-04-12,19.89
2014-04-14,19.82
2014-04-16,19.82
2014-04-19,19.88
2014-04-22,19.94
2014-04-23,19.94
2014-04-24,19.94
2014-04-25,20.13
2014-04-26,20.17
2014-04-27,20.14
2014-04-28,20.14
2014-05-01,20.13
2014-05-03,20.1
2014-05-04,19.99
2014-05-06,19.91
2014-05-07,19.87
2014-05-08,19.87
2014-05-08,19.87
2014-05-09,19.86
2014-05-09,19.86
2014-05-10,19.88
2014-05-11,19.85
2014-05-12,19.94
2014-05-15,19.82
2014-05-17,19.75
2014-05-18,19.73
2014-05-19,19.73
2014-05-25,19.73
2014-05-25,19.73
2014-05-27,19.72
2014-05-30,19.72
2014-06-04,19.72
2014-06-05,19.72
2014-06-06,19.72
2014-06-06,19.72
2014-06-10,19.72
2014-06-12,20.07
2014-07-12,16.92
2014-08-21,15.69
2014-08-25,15.61
2014-08-27,15.57
2014-08-30,15.94
2014-08-31,15.98
2014-09-02,16.08
2014-09-03,16.13
2014-09-08,16.12
2014-09-09,16.14
2014-10-16,15.85
2014-10-22,16.04
2014-10-23,16.09
2014-10-24,16.11
2014-10-25,16.11
2014-10-26,16.27
2014-10-28,16.14
2014-10-30,16.13
2014-10-31,16.01
2014-11-04,16.12
2014-11-05,16.11
2014-11-07,16.16
2014-11-08,15.98
2014-11-09,15.96
2014-11-10,15.88
2014-11-12,15.98
2014-11-17,15.85
2014-11-21,15.86
2014-11-22,16.04
2014-11-26,15.89
2014-11-29,15.91
2014-12-03,15.87
2014-12-06,15.8
2014-12-07,15.82
2014-12-15,15.99
2014-12-17,16.01
2014-12-29,15.97
2015-01-14,15.9
2015-01-17,10.51
2015-01-19,10.62
2015-01-21,10.64
2015-01-22,10.71
2015-01-30,11.31
2015-02-04,11.26
2015-02-06,11.27
2015-02-07,11.7
2015-02-07,11
2015-02-10,11.78
2015-02-10,10.86
2015-02-15,10.3
2015-02-18,10.16
2015-02-20,10.06
2015-02-22,10.4
2015-02-23,10.05
2015-02-25,9.98
2015-02-27,11.59
2015-02-28,10.3
2015-03-01,10.33
2015-03-04,10.91
2015-03-04,12.04
2015-03-04,11.7
2015-03-11,10.91
2015-03-15,11.29
2015-03-15,10.91
2015-03-19,12.09
2015-03-19,11.09
2015-03-20,10.89
2015-03-20,12.15
2015-03-22,11.09
2015-03-22,12.15
2015-03-24,11.7
2015-03-24,11.09
2015-03-25,10.88
2015-03-25,11.09
2015-03-26,11.33
2015-03-26,11.15
2015-03-26,11.13
2015-03-28,11.7
2015-03-29,11.13
2015-03-30,11.12
2015-04-03,11.34
2015-04-03,10.79
2015-04-04,10.65
2015-04-04,10.79
2015-04-05,10.63
2015-04-05,10.63
2015-04-05,10.63
2015-04-06,12.15
2015-04-06,12.05
2015-04-06,10.6
2015-04-07,10.79
2015-04-07,10.68
2015-04-07,10.79
2015-04-09,11.06
2015-04-09,11.03
2015-04-10,11.7
2015-04-10,11.08
2015-04-10,11.7
2015-04-11,12.04
2015-04-12,12.04
2015-04-13,11.7
2015-04-13,11.92
2015-04-13,11.79
2015-04-13,12.04
2015-04-14,11.96
2015-04-14,11.88
2015-04-14,11.97
2015-04-15,10.91
2015-04-16,11.21
2015-04-21,11.04
2015-04-23,11.99
2015-04-26,11.03
2015-04-29,10.99
2015-04-30,11.81
2015-05-02,11.18
2015-05-03,11.7
2015-05-03,11.08
2015-05-04,11.18
2015-05-04,11.23
2015-05-04,12.02
2015-05-05,11.16
2015-05-05,11.04
2015-05-05,11.11
2015-05-08,10.88
2015-05-08,11.11
2015-05-08,10.88
2015-05-09,11.11
2015-05-10,11.08
2015-05-11,11.11
2015-05-11,10.88
2015-05-11,11.11
2015-05-12,10.88
2015-05-12,11.16
2015-05-13,10.89
2015-05-14,11.09
2015-05-15,10.89
2015-05-15,10.87
2015-05-16,11.78
2015-05-21,10.87
2015-05-25,10.78
2015-05-27,10.93
2015-05-27,10.93
2015-05-29,10.9
2015-05-30,10.71
2015-05-30,10.9
2015-06-01,11.51
2015-06-01,10.52
2015-06-02,10.52
2015-06-02,10.88
2015-06-02,10.69
2015-06-03,10.84
2015-06-06,10.84
2015-06-15,10.78
2015-06-17,11.6
2015-06-25,11.79
2015-06-26,11.7
2015-06-26,11.47
2015-06-27,11.7
2015-06-28,10.84
2015-06-29,11.36
2015-06-29,10.84
2015-07-06,10.65
2015-07-09,10.39
2015-07-10,10.17
2015-07-12,11.69
2015-07-12,10.56
2015-07-16,11.72
2015-07-18,10.38
2015-07-19,10.55
2015-07-20,10.5
2015-07-23,10.86
2015-07-24,10.66
2015-07-24,11.7
2015-07-25,10.36
2015-07-27,10.17
2015-07-29,10.63
2015-08-02,10.39
2015-08-04,10.88
2015-08-05,11.37
2015-08-06,11.58
2015-08-07,11.32
2015-08-07,11.5
2015-08-09,10.94
2015-08-10,10.96
2015-08-12,10.9
2015-08-14,10.05
2015-08-14,10.89
2015-08-20,10.89
2015-08-23,10.89
2015-09-13,10.81
2015-09-25,10.8
2015-09-26,10.7
2015-09-27,10.89
2015-09-28,11.13
2015-09-30,11.51
2015-09-30,11.6
2015-10-01,11.66
2015-10-04,11.18
2015-10-04,11.61
2015-10-05,11.47
2015-11-03,10.72
2015-11-04,10.77
2015-11-05,10.77
2015-11-08,10.72
2015-11-08,10.67
2015-11-08,10.72
2015-11-09,10.66
2015-11-09,10.72
2015-11-10,10.73
2015-11-11,10.77
2015-11-12,10.77
2015-11-13,10.72
2015-11-13,10.66
2015-11-14,10.62
2015-11-15,10.65
2015-11-16,10.65
2015-11-17,10.65
2015-11-17,10.68
2015-11-19,10.76
2015-11-20,11.27
2015-11-22,11.31
2015-11-23,11.25
2015-11-24,11.26
2015-11-25,11.02
2015-11-26,10.9
2015-11-27,10.88
2015-11-27,10.5
2015-12-10,10.5
2015-12-17,10.5
2015-12-22,10.5
2015-12-31,11.7
2016-01-02,12.62
2016-01-03,12.75
2016-01-05,12.68
2016-01-06,12.71
2016-01-07,13.05
2016-01-08,13.32
2016-01-09,12.89
2016-01-12,12.83
2016-01-13,13.02
2016-01-30,11.58
2016-01-31,11.08
2016-02-01,11.38
2016-02-03,11.38
2016-02-05,11.35
2016-02-05,11.03
2016-02-13,10.99
2016-02-18,11.02
2016-02-19,11
2016-02-21,11.02
2016-02-23,11.45
2016-02-27,11.23
2016-02-29,11.25
2016-03-02,11.42
2016-03-03,11.33
2016-03-16,11.34
2016-03-17,11.14
2016-03-18,11.21
2016-03-19,11.28
2016-03-20,11.19
2016-03-20,11.19
2016-03-21,11.16
2016-03-21,11.16
2016-03-24,11.29
2016-03-25,11.3
2016-03-26,11.44
2016-03-27,11.5
2016-03-28,11.28
2016-03-30,12.05
2016-03-31,11.35
2016-04-03,13.01
2016-04-06,12.24
2016-04-07,12.59
2016-04-09,11.95
2016-04-10,11.92
2016-04-11,11.8
2016-04-12,11.74
2016-04-13,11.52
2016-04-14,12.03
2016-04-15,11.85
2016-04-17,11.27
2016-04-30,12.71
2016-05-01,11.43
2016-05-10,12.23
2016-05-11,11.87
2016-05-14,11.39
2016-05-16,12.87
2016-05-18,11.34
2016-05-24,11.36
2016-05-25,11.58
2016-05-26,11.46
2016-05-28,10.96
2016-05-29,10.95
2016-06-01,11.09
2016-06-02,11.08
2016-09-18,11.95
2016-09-20,11.1
2016-10-27,11.85
2016-10-27,11.85
2016-10-29,11.45
2016-10-29,11.45
2016-10-31,11.51
2016-11-01,11.59
2016-11-02,11.66
2016-11-02,11.7
2016-11-03,11.83
2016-11-04,11.42
2016-11-05,11.42
2016-11-06,11.42
2016-11-07,11.42
2016-11-07,11.42
2016-11-09,11.52
2016-11-10,11.47
2016-11-10,11.47
2016-11-11,11.43
2016-11-11,11.47
2016-11-12,11.3
2016-11-13,11.1
2016-11-13,11.03
2016-11-14,11.14
2016-11-14,11.14
2016-11-14,11.14
2016-11-15,11.14
2016-11-15,11.14
2016-11-16,11.17
2016-11-17,11.46
2016-11-18,11.2
2016-11-18,11.2
2016-11-19,11.2
2016-11-19,11.46
2016-11-20,11.46
2016-11-21,11.46
2016-11-21,11.2
2016-11-22,11.2
2016-11-22,11.2
2016-11-22,11.2
2016-11-23,8.84
2016-11-24,8.84
2016-11-24,8.84
