Time,Price
2012-06-02,12.4
2012-06-13,11.97
2012-06-16,11.97
2012-06-16,12.48
2012-06-18,12.6
2012-06-21,12.72
2012-06-22,12.84
2012-06-23,12.96
2012-06-24,13.09
2012-06-25,13.22
2012-06-27,13.35
2012-06-28,13.45
2012-06-28,13.45
2012-06-30,13.59
2012-07-01,13.72
2012-07-05,13.71
2012-07-06,13.6
2012-07-07,13.72
2012-07-09,13.61
2012-07-10,13.5
2012-07-11,13.45
2012-07-25,13.51
2012-07-30,13.7
2012-07-31,13.65
2012-08-01,13.51
2012-08-03,13.51
2012-08-07,13.51
2012-08-08,13.51
2012-08-27,13.7
2012-08-28,13.75
2012-08-29,13.51
2012-09-02,13.63
2012-09-03,13.56
2012-09-04,13.51
2012-09-19,13.51
2012-09-19,13.51
2012-10-02,13.51
2012-10-05,13.51
2012-10-09,13.68
2012-10-10,13.93
2012-10-11,14.13
2012-10-12,14.33
2012-10-16,14.43
2012-10-26,14.01
2012-10-29,13.71
2012-10-31,13.9
2012-11-02,14.1
2012-11-03,14.22
2012-11-04,13.87
2012-11-06,13.51
2012-11-25,13.7
2012-11-27,13.93
2012-11-29,13.86
2012-11-29,13.52
2012-11-30,13.51
2012-12-04,13.7
2012-12-05,13.89
2012-12-06,14.09
2012-12-07,14.02
2012-12-08,13.98
2012-12-09,13.77
2012-12-10,13.51
2012-12-18,13.7
2012-12-20,13.89
2012-12-20,14.09
2012-12-21,14.29
2012-12-22,14.43
2013-01-03,14.28
2013-01-04,14.07
2013-01-06,13.71
2013-01-09,13.73
2013-01-10,13.59
2013-01-12,13.51
2013-01-17,13.99
2013-01-18,13.68
2013-01-19,13.42
2013-01-24,14.11
2013-01-25,14.31
2013-01-26,14.52
2013-01-27,14.42
2013-01-29,14.33
2013-02-01,13.79
2013-02-07,13.95
2013-02-12,13.89
2013-02-19,12.05
2013-03-28,13.89
2013-04-03,13.89
2013-04-05,13.68
2013-05-23,13.23
2013-06-06,13.23
2013-06-13,13.23
2013-06-16,14.37
2013-06-20,13.23
2013-07-02,13.01
2013-07-05,13
2013-07-07,13.06
2013-07-08,13.14
2013-07-11,13.09
2013-07-14,13
2013-07-21,13.22
2013-08-02,12.2
2013-08-08,11.69
2013-08-09,11.7
2013-08-28,11.95
2013-08-31,11.7
2013-09-16,11.96
2013-09-19,12.39
2013-09-20,12.8
2013-09-25,12.43
2013-09-28,12.85
2013-10-05,12.93
2013-10-07,12.96
2013-10-11,12.33
2013-10-11,12.97
2013-10-15,12.97
2013-10-22,12.97
2013-10-25,12.65
2013-10-28,12.35
2013-11-02,11.81
2013-11-13,11.81
2013-11-28,11.81
2013-12-18,12.68
2013-12-21,12.94
2014-01-11,17.34
2014-02-09,14.14
2014-03-03,14.62
2014-03-24,14.3
2014-04-23,14.19
2014-05-16,13.98
2014-05-20,14.19
2014-05-25,13.98
2014-06-04,13.49
2014-06-18,13.52
2014-07-13,13.35
2014-07-27,13.03
2014-07-28,12.96
2014-08-03,14.19
2014-08-18,14.19
2014-08-27,12.43
2014-08-31,12.43
2014-09-01,12.54
2014-09-09,12.92
2014-09-14,13.09
2014-09-16,13.09
2014-09-18,13.13
2014-09-21,13.09
2014-09-26,13.13
2014-10-01,13.09
2014-10-04,13.09
2014-10-08,11.96
2014-10-08,11.81
2014-10-31,13.01
2014-11-07,13.03
2014-11-11,12.96
2014-11-23,12.96
2014-11-30,13.03
2014-12-04,12.96
2014-12-23,13.03
2015-01-01,12.96
2015-02-17,16.94
2015-02-21,14.12
2015-02-26,13.86
2015-03-02,16.76
2015-03-10,17.23
2015-03-15,16.76
2015-03-20,13.86
2015-03-31,13.87
2015-04-03,17.84
2015-04-07,16.15
2015-05-31,16.15
2015-06-06,13.86
2015-06-10,14.61
2015-06-19,13.87
2015-06-24,14.62
2015-07-13,13.87
2015-07-17,14.62
2015-07-24,13.87
2015-07-31,14.71
2015-08-04,15.5
2015-08-11,14.71
2015-08-21,15.51
2015-08-25,14.71
2015-08-29,14.25
2015-09-03,14.24
2015-11-06,13.87
2015-11-10,13.87
2015-11-17,14.34
2015-11-21,14.31
2015-11-22,13.87
2015-12-21,13.89
2016-02-05,13.89
2016-02-22,13.87
2016-03-19,16.75
2016-03-22,17.96
2016-04-12,15.99
2016-04-17,17.96
2016-10-31,15.5
2016-11-04,15.5
2016-11-12,17.3
2016-11-20,17.96
2016-11-25,17.96
2014-06-08,
2016-11-23,17.96
2016-11-26,17.96
