Time,Price
2012-06-21,16.76
2012-06-22,16.96
2012-06-22,16.96
2012-06-29,16.1
2012-07-05,12.1
2012-07-06,16.96
2012-07-07,16.2
2012-07-10,12.44
2012-07-10,16.27
2012-07-12,16.25
2012-07-14,15.96
2012-07-14,13.26
2012-07-14,13.26
2012-07-15,13.37
2012-07-16,13.37
2012-07-17,13.37
2012-07-18,13.37
2012-07-25,13.37
2012-07-26,13.37
2012-07-27,13.37
2012-07-28,13.37
2012-07-29,13.37
2012-07-31,13.37
2012-08-03,13.37
2012-08-04,13.37
2012-08-05,13.37
2012-08-06,13.37
2012-08-12,13.37
2012-08-15,13.37
2012-08-15,13.37
2012-08-15,13.37
2012-08-18,13.37
2012-08-19,13.37
2012-08-20,13.37
2012-08-20,13.37
2012-08-21,13.37
2012-08-21,13.37
2012-08-22,17.08
2012-08-22,16.66
2012-08-22,16.66
2012-08-23,16.66
2012-08-24,17.08
2012-08-24,17.08
2012-08-25,16.37
2012-08-26,16.2
2012-08-27,16.32
2012-08-27,15.27
2012-08-29,13.73
2012-08-29,15.27
2012-08-30,13.73
2012-09-10,13.37
2012-09-11,13.37
2012-09-14,13.37
2012-09-18,13.73
2012-09-19,13.73
2012-09-20,15.26
2012-09-24,15.26
2012-09-25,15.26
2012-09-26,15.26
2012-09-29,14.25
2012-10-02,13.75
2012-10-02,13.24
2012-10-06,12.2
2012-10-06,12.35
2012-10-07,12.39
2012-10-08,12.36
2012-10-09,12.2
2012-10-09,12.29
2012-10-10,12.19
2012-10-11,12.28
2012-10-14,12.67
2012-10-15,12.09
2012-10-16,12.02
2012-10-17,12.2
2012-10-17,12.2
2012-10-18,12.66
2012-10-19,12.62
2012-10-20,12.45
2012-10-21,15.27
2012-10-23,13.23
2012-10-25,12.72
2012-10-26,11.72
2012-10-27,11.72
2012-10-28,11.7
2012-10-30,11.91
2012-10-30,11.91
2012-11-01,12.01
2012-11-02,13.23
2012-11-02,11.81
2012-11-03,13.25
2012-11-03,13.87
2012-11-06,13.87
2012-11-06,13.62
2012-11-06,13.23
2012-11-07,13.23
2012-11-07,12.96
2012-11-09,13.23
2012-11-09,13.13
2012-11-13,11.59
2012-11-13,11.59
2012-11-25,15.18
2012-11-25,15.18
2012-11-27,15.76
2012-11-28,15.22
2012-11-29,15.76
2012-12-01,15.41
2012-12-01,14.02
2012-12-01,13.87
2012-12-03,13.26
2012-12-04,13.26
2012-12-04,13.26
2012-12-06,13.26
2012-12-06,13.26
2012-12-08,11.76
2012-12-08,11.56
2012-12-09,11.62
2012-12-09,11.62
2012-12-10,11.42
2012-12-11,11.42
2012-12-14,14.97
2012-12-16,14.97
2012-12-17,15.59
2012-12-18,15.59
2012-12-21,15.59
2012-12-23,15.59
2012-12-28,13.56
2012-12-29,13.72
2012-12-30,13.56
2012-12-31,11.68
2013-01-01,11.68
2013-01-02,11.68
2013-01-04,12.01
2013-01-05,11.83
2013-01-06,11.68
2013-01-09,11.75
2013-01-11,12.27
2013-01-12,11.84
2013-01-13,15.59
2013-01-17,15.76
2013-01-17,15.76
2013-01-18,15.76
2013-01-19,15.76
2013-01-19,15.76
2013-01-20,15.76
2013-01-21,12.23
2013-01-22,12.23
2013-01-25,12.23
2013-01-25,12.23
2013-01-27,12.22
2013-02-01,12.22
2013-02-02,13.22
2013-02-07,14.27
2013-02-08,13.22
2013-02-08,15.79
2013-02-09,15.34
2013-02-10,14.8
2013-02-11,13.06
2013-02-12,15.79
2013-02-12,14.27
2013-02-13,13.65
2013-02-14,12.74
2013-02-15,14.22
2013-02-16,12.74
2013-02-19,14.22
2013-02-20,12.74
2013-02-21,12.68
2013-02-22,12.68
2013-02-23,11.99
2013-02-24,13.06
2013-02-25,11.99
2013-02-27,13.06
2013-02-28,14.22
2013-03-01,11.99
2013-03-01,14.22
2013-03-03,11.99
2013-03-03,14.22
2013-03-04,14.22
2013-03-08,12.2
2013-03-08,14.22
2013-03-09,14.22
2013-03-09,12.2
2013-03-10,12.3
2013-03-14,12.3
2013-03-17,12.3
2013-03-18,12.52
2013-03-19,14.27
2013-03-20,14.27
2013-03-20,14.24
2013-03-21,14.27
2013-03-22,14.27
2013-03-22,11.59
2013-03-23,11.64
2013-03-24,13.5
2013-03-26,13.49
2013-03-27,13.49
2013-03-29,13.49
2013-03-31,13.49
2013-03-31,13.49
2013-04-01,13.49
2013-04-02,13.49
2013-04-03,13.49
2013-04-04,11.68
2013-04-05,13.49
2013-04-18,14.27
2013-04-22,13.49
2013-04-26,13.53
2013-04-28,13.49
2013-05-06,10.87
2013-06-06,13.49
2013-06-06,13.49
2013-06-09,13.22
2013-06-09,13.22
2013-06-12,13.53
2013-06-13,14.44
2013-06-16,12.22
2013-06-19,12.22
2013-06-20,12.05
2013-06-23,12.22
2013-06-26,11.77
2013-06-26,11.72
2013-06-29,11.72
2013-07-02,11.72
2013-07-08,11.63
2013-07-11,10.22
2013-07-29,12.33
2013-08-02,12.33
2013-08-05,14.99
2013-08-08,15.49
2013-08-08,15.49
