Time,Price
2012-06-01,9.02
2012-06-04,9.02
2012-06-08,9.06
2012-06-10,9.1
2012-06-16,9.1
2012-07-14,9.32
2012-08-06,9.57
2012-08-15,9.8
2012-08-16,9.8
2012-09-11,9.58
2012-10-08,9.58
2012-10-10,9.77
2012-10-11,9.72
2012-10-11,9.88
2012-10-12,9.98
2012-10-23,9.77
2012-10-25,9.77
2012-10-28,9.58
2012-10-29,9.58
2012-10-31,9.77
2012-11-03,9.95
2012-11-04,9.98
2012-11-06,9.72
2012-11-06,9.95
2012-11-07,9.98
2012-12-05,9.58
2012-12-06,9.77
2012-12-07,9.88
2012-12-07,10
2012-12-09,10.1
2012-12-15,10.1
2012-12-18,10.22
2012-12-19,10.16
2012-12-20,10.1
2012-12-21,10.22
2012-12-21,10.47
2012-12-22,10.49
2012-12-25,10.49
2013-01-02,10.15
2013-01-02,10.27
2013-01-03,10.15
2013-01-05,10.49
2013-01-07,9.58
2013-01-15,9.58
2013-01-18,9.77
2013-01-18,9.58
2013-01-20,9.77
2013-01-21,9.58
2013-04-18,9.57
2013-04-22,9.57
2013-04-25,8.8
2013-04-26,9.57
2013-05-30,9.57
2013-06-02,9.77
2013-06-03,9.57
2013-06-06,9.57
2013-06-08,9.98
2013-07-02,9.57
2013-07-05,9.77
2013-07-11,9.57
2013-07-11,9.77
2013-07-17,9.98
2013-07-26,9.98
2013-07-29,9.98
2013-08-01,9.98
2013-08-14,9.98
2013-08-25,9.99
2013-09-05,9.99
2013-09-15,9.57
2013-09-15,9.57
2013-09-21,9.75
2013-09-27,9.75
2013-10-01,9.75
2013-10-04,9.82
2013-10-07,9.78
2013-10-25,9.76
2013-10-28,9.77
2013-10-28,9.73
2013-11-03,9.73
2013-11-09,9.77
2013-11-09,9.77
2013-11-12,9.73
2013-11-23,9.73
2013-12-02,9.63
2013-12-05,9.63
2013-12-06,9.73
2013-12-08,9.45
2013-12-10,10.34
2013-12-23,9.98
2013-12-26,9.99
2013-12-30,9.99
2014-01-09,9.78
2014-01-30,9.59
2014-02-06,9.78
2014-02-19,9.82
2014-02-22,9.78
2014-03-01,9.78
2014-03-07,9.59
2014-03-12,9.78
2014-03-19,9.78
2014-04-09,8.9
2014-04-10,9.78
2014-04-23,9.27
2014-04-27,9.27
2014-05-04,9.78
2014-05-04,8.65
2014-05-08,9.59
2014-05-11,9.59
2014-05-15,9.59
2014-05-24,9.59
2014-06-13,7.99
2014-06-15,9.59
2014-07-12,9.59
2014-07-27,9.59
2014-08-08,8.99
2014-08-26,8.99
2014-10-27,8.99
2014-11-06,8.99
2014-11-26,8.99
2014-12-22,9.59
2014-12-31,8.99
2015-03-17,9.59
2015-03-19,9.71
2015-03-24,9.59
2015-04-02,8.99
2015-04-13,9.59
2015-05-01,9.59
2015-05-13,9.59
2015-05-16,8.99
2015-05-19,8.99
2015-05-21,8.99
2015-05-25,8.99
2015-05-29,8.99
2015-05-30,8.99
2015-06-01,8.99
2015-06-02,8.99
2015-07-10,8.99
2015-07-14,9.59
2015-07-18,9.59
2015-07-22,8.99
2015-07-27,8.99
2015-07-29,8.99
2015-08-05,9.37
2015-08-14,8.63
2015-08-16,9.12
2015-08-18,7.95
2015-08-20,8.41
2015-08-22,9.37
2015-08-24,7.75
2015-08-26,8.41
2015-08-28,8.85
2015-08-31,8.09
2015-09-04,7.46
2015-09-08,8.64
2015-09-10,7.99
2015-09-12,7.36
2015-09-16,8.06
2015-09-17,8.06
2015-09-19,9.37
2015-09-23,9.37
2015-11-04,9.59
2015-11-05,9.56
2015-11-08,9.59
2015-11-09,9.75
2015-11-12,9.6
2015-11-13,9.98
2015-11-16,9.59
2015-11-22,9.98
2015-11-26,11.92
2015-11-29,8.39
2015-12-10,9.98
2015-12-14,9.59
2015-12-22,11.11
2016-01-02,11.32
2016-01-08,9.99
2016-01-31,9.99
2016-02-21,8.42
2016-02-29,8.45
2016-03-18,10.46
2016-03-25,9.89
2016-04-07,10.09
2016-04-11,10.48
2016-04-15,10.3
2016-04-28,9.98
2016-05-12,8.5
2016-05-16,8.28
2016-05-26,8.98
2016-06-02,8.09
2016-09-21,6.09
2016-10-31,8.99
2016-11-04,8.99
2016-11-05,8.99
2016-11-10,8.98
2016-11-14,6.3
2016-11-14,6.3
2016-11-17,6.3
2016-11-21,6.3
2016-11-24,6.3
2016-11-25,6.3
