Time,Price
2012-05-31,16.79
2012-06-03,18.32
2012-06-04,17.91
2012-06-07,17.19
2012-06-08,17.19
2012-06-10,17.19
2012-06-12,17.19
2012-06-14,17.19
2012-06-15,16.3
2012-06-16,16.3
2012-06-17,16.33
2012-06-18,16.33
2012-06-19,16.32
2012-06-20,16.37
2012-06-21,14.72
2012-06-22,16.24
2012-06-24,16.24
2012-06-25,15.94
2012-06-26,15.9
2012-06-27,15.91
2012-06-28,15.96
2012-06-29,15.98
2012-06-30,16.03
2012-06-30,13.75
2012-07-01,16.15
2012-07-16,15.17
2012-07-17,15.16
2012-07-18,15.17
2012-07-18,15.17
2012-07-19,15.21
2012-07-20,15.61
2012-07-21,15.62
2012-07-21,15.62
2012-07-22,15.78
2012-07-23,15.75
2012-07-25,15.88
2012-07-26,15.78
2012-07-26,15.78
2012-07-27,15.76
2012-07-28,15.92
2012-07-28,15.92
2012-07-29,17.19
2012-07-29,17.89
2012-07-30,16.79
2012-08-02,16.79
2012-08-05,16.79
2012-08-05,16.79
2012-08-07,17.56
2012-08-08,17.57
2012-08-09,17.66
2012-08-10,17.79
2012-08-11,17.82
2012-08-13,17.82
2012-08-13,18.09
2012-08-15,18.59
2012-08-15,18.59
2012-08-17,18.56
2012-08-18,18.53
2012-08-19,18.52
2012-08-20,17.99
2012-08-23,17.99
2012-08-24,17.99
2012-08-27,18.6
2012-08-28,18.59
2012-08-29,18.68
2012-08-30,18.6
2012-09-02,18.47
2012-09-03,18.05
2012-09-05,17.99
2012-09-11,18.61
2012-09-12,18.71
2012-09-13,18.75
2012-09-14,18.54
2012-09-18,18.28
2012-09-19,18.3
2012-09-20,18.27
2012-09-20,18.27
2012-09-22,18.33
2012-09-23,18.18
2012-09-25,18.18
2012-09-26,18.15
2012-09-27,18.13
2012-09-28,18.18
2012-09-29,18.24
2012-09-30,18.26
2012-10-02,17.99
2012-10-04,17.99
2012-10-05,17.99
2012-10-06,17.99
2012-10-07,17.99
2012-10-07,17.99
2012-10-10,14.8
2012-10-11,17.1
2012-10-12,18.65
2012-10-15,17.6
2012-10-16,17.59
2012-10-17,18.69
2012-10-18,18.69
2012-10-20,16.42
2012-10-21,17.53
2012-10-23,17.44
2012-10-25,16.53
2012-10-27,16.53
2012-10-28,16.99
2012-10-29,17.06
2012-10-30,17.03
2012-11-01,16.87
2012-11-02,16.92
2012-11-03,16.94
2012-11-04,16.92
2012-11-06,16.87
2012-11-07,16.89
2012-11-09,17.03
2012-11-10,17
2012-11-12,16.91
2012-11-13,16.92
2012-11-15,16.92
2012-11-15,16.91
2012-11-16,17
2012-11-18,16.8
2012-11-19,16.69
2012-11-20,16.31
2012-11-21,16.4
2012-11-21,16.4
2012-11-24,16.36
2012-11-28,16.34
2012-11-29,16.62
2012-11-30,16.62
2012-12-01,16.63
2012-12-02,16.63
2012-12-02,16.7
2012-12-03,16.23
2012-12-04,16.28
2012-12-05,16.34
2012-12-05,16.34
2012-12-06,16.53
2012-12-07,16.45
2012-12-07,16.45
2012-12-09,16.45
2012-12-10,16.9
2012-12-10,16.74
2012-12-11,16.5
2012-12-12,16.52
2012-12-15,16.66
2012-12-15,16.66
2012-12-16,16.08
2012-12-17,16.08
2012-12-18,16.25
2012-12-21,16.65
2012-12-22,17.4
2012-12-23,17.52
2012-12-24,17.5
2012-12-25,17.57
2012-12-26,17.55
2012-12-28,17.53
2012-12-29,17.5
2012-12-29,17.5
2012-12-30,16.48
2012-12-31,16.46
2013-01-02,17.7
2013-01-05,17.71
2013-01-06,17.76
2013-01-07,17.61
2013-01-10,16.79
2013-01-12,16.79
2013-01-15,17.6
2013-01-16,17.64
2013-01-18,16.27
2013-01-19,16.32
2013-01-21,16.51
2013-01-22,16.55
2013-01-22,16.23
2013-01-24,16.23
2013-01-25,15.95
2013-01-26,15.79
2013-01-27,15.85
2013-01-28,17.58
2013-01-29,17.38
2013-01-30,17.12
2013-01-30,17.12
2013-02-01,17.21
2013-02-02,17.22
2013-02-08,17.06
2013-02-09,16.95
2013-02-10,17.43
2013-02-11,17.47
2013-02-13,17.36
2013-02-14,17.46
2013-02-15,17.4
2013-02-16,17.28
2013-02-17,17.06
2013-02-20,17.05
2013-02-21,17.04
2013-02-21,17.04
2013-02-22,17.01
2013-02-23,17.15
2013-02-24,17.23
2013-02-25,17.22
2013-02-28,17.48
2013-03-01,17.62
2013-03-02,17.65
2013-03-03,17.81
2013-03-05,17.83
2013-03-06,17.73
2013-03-08,17.54
2013-03-09,17.54
2013-03-10,17.52
2013-03-11,17.55
2013-03-13,17.55
2013-03-13,17.61
2013-03-14,17.66
2013-03-17,17.49
2013-03-18,17.51
2013-03-20,17.74
2013-03-22,17.74
2013-03-23,17.92
2013-03-25,18.03
2013-03-26,18.12
2013-03-28,18.12
2013-03-30,18.33
2013-03-31,18.3
2013-04-01,18.72
2013-04-01,18.72
2013-04-02,18.67
2013-04-03,18.67
2013-04-04,18.61
2013-04-05,18.61
2013-04-06,18.61
2013-04-07,18.44
2013-04-08,18.44
2013-04-10,18.28
2013-04-11,18.17
2013-04-14,18.13
2013-04-15,18.14
2013-04-17,18.22
2013-04-19,18.32
2013-04-22,18.29
2013-04-24,17.31
2013-04-25,17.38
2013-04-27,17.32
2013-04-29,17.29
2013-05-01,17.34
2013-05-02,17.41
2013-05-03,17.33
2013-05-04,17.46
2013-05-05,17.36
2013-05-06,17.32
2013-05-07,17.11
2013-05-08,17.1
2013-05-09,17.05
2013-05-10,17.05
2013-05-10,16.91
2013-05-11,17
2013-05-12,16.99
2013-05-13,16.87
2013-05-13,16.87
2013-05-14,16.44
2013-05-15,16.43
2013-05-16,16.34
2013-05-18,16.83
2013-05-19,16.84
2013-05-20,16.9
2013-05-21,17.15
2013-05-22,16.83
2013-05-23,16.86
2013-05-24,16.81
2013-05-25,16.64
2013-05-26,16.63
2013-05-27,16.83
2013-05-30,17.33
2013-05-31,17.33
2013-06-02,17.29
2013-06-06,17
2013-06-08,16.82
2013-06-12,16.76
2013-06-16,17.07
2013-06-19,16.74
2013-06-21,16.52
2013-06-22,16.68
2013-06-23,16.66
2013-06-27,16.72
2013-06-28,16.64
2013-07-02,17.88
2013-07-05,17.72
2013-07-08,17.62
2013-07-10,17.45
2013-07-14,17.44
2013-07-17,17.47
2013-07-18,17.48
2013-07-20,17.46
2013-07-21,17.41
2013-07-23,17.31
2013-07-23,17.28
2013-07-26,17.29
2013-07-29,17.31
2013-07-31,17.31
2013-08-01,17.35
2013-08-04,17.53
2013-08-10,17.26
2013-08-11,17.43
2013-08-15,17.07
2013-08-26,17.07
2013-08-30,16.45
2013-09-02,17.11
2013-09-03,17.1
2013-09-05,17.2
2013-09-08,16.93
2013-09-18,17.06
2013-09-18,17.06
2013-09-21,17.12
2013-09-22,17.47
2013-09-27,17.12
2013-10-01,17.24
2013-10-04,17.08
2013-10-07,16.97
2013-10-09,16.96
2013-10-10,16.88
2013-10-13,15.99
2013-10-14,15.99
2013-10-18,15.99
2013-10-21,15.99
2013-10-24,15.99
2013-10-28,15.99
2013-10-31,15.99
2013-11-04,16.48
2013-11-06,16.05
2013-11-09,16.49
2013-11-12,15.99
2013-11-23,15.99
2013-11-26,15.99
2013-11-30,15.99
2013-12-07,18.35
2013-12-08,17.69
2013-12-09,17.99
