Time,Price
2012-06-02,6.94
2012-06-11,6.94
2012-06-24,6.94
2012-08-03,6.94
2012-08-04,6.94
2012-08-10,6.94
2012-08-11,7.94
2012-09-11,7.49
2012-09-11,7.94
2012-10-05,7.94
2012-10-23,7.94
2012-10-28,7.94
2012-10-29,7.94
2012-10-31,7.94
2012-11-01,7.94
2012-11-12,7.49
2012-11-14,7.49
2012-11-27,7.94
2012-12-06,7.94
2012-12-10,7.94
2012-12-15,7.82
2012-12-16,7.94
2012-12-28,7.82
2012-12-29,7.7
2012-12-29,7.46
2012-12-29,7.07
2012-12-31,7.94
2013-01-05,7.94
2013-05-19,7.94
2013-05-19,7.82
2013-05-21,7.82
2013-05-23,7.94
2013-05-23,7.94
2013-06-08,7.94
2013-06-19,7.94
2013-06-19,7.94
2013-06-26,7.94
2013-06-28,7.94
2013-07-08,7.6
2013-07-11,7.94
2013-07-16,7.94
2013-07-29,7.62
2013-07-29,7.94
2013-08-08,7.94
2013-08-10,7.94
2013-08-30,7.99
2013-08-30,7.94
2013-09-05,7.99
2013-09-07,7.94
2013-09-08,7.6
2013-09-15,7.94
2013-09-17,7.94
2013-09-27,7.94
2013-09-30,7.94
2013-10-01,7.94
2013-10-06,7.6
2013-10-09,7.6
2013-10-14,7.94
2013-10-18,7.94
2013-10-21,7.94
2013-11-02,7.94
2013-11-05,7.94
2013-11-09,7.99
2013-11-09,7.94
2013-11-28,7.99
2013-12-02,7.94
2013-12-05,7.99
2013-12-06,7.94
2013-12-08,7.99
2013-12-14,7.94
2013-12-17,7.94
2013-12-18,7.86
2013-12-23,7.94
2013-12-29,7.94
2014-01-05,7.94
2014-01-30,7.6
2014-02-02,7.94
2014-02-06,7.19
2014-02-08,7.94
2014-02-13,7.49
2014-02-18,7.94
2014-02-19,7.59
2014-02-21,7.94
2014-02-22,7.94
2014-03-12,7.94
2014-03-23,7.94
2014-03-24,7.59
2014-04-09,7.49
2014-04-10,7.49
2014-04-13,7.94
2014-04-14,5.39
2014-05-03,7.94
2014-05-11,7.94
2014-05-19,7.94
2014-05-20,7.99
2014-05-24,7.94
2014-06-05,7.94
2014-06-12,7.94
2014-06-15,7.59
2014-07-26,7.94
2014-07-31,5.69
2014-08-18,7.94
2014-08-31,7.94
2014-09-09,7.99
2014-09-09,7.94
2014-09-25,7.94
2014-09-25,6
2014-09-29,7.94
2014-09-30,7.94
2014-10-04,7.94
2014-10-08,7.99
2014-10-16,6.99
2014-11-25,6.99
2015-03-04,6.99
2015-03-09,6.99
2015-03-19,6.99
2015-03-24,6.99
2015-03-26,6.99
2015-03-30,6.99
2015-04-02,6.99
2015-04-13,5.39
2015-04-20,6.99
2015-05-10,6.99
2015-05-14,6.99
2015-06-19,6.99
2015-06-22,6.99
2015-06-26,6.99
2015-07-06,6.99
2015-07-30,6.29
2015-08-15,6.6
2015-08-23,6.6
2015-08-27,6.6
2015-08-28,6.6
2015-09-01,6.6
2015-09-02,6.6
2015-09-06,6.6
2015-09-28,6.99
2015-10-01,6.6
2015-11-05,6.73
2015-11-09,6.86
2015-11-13,6.99
2015-11-16,6.64
2015-11-23,6.99
2015-11-30,7.94
2015-12-01,6.29
2015-12-11,7.94
2015-12-23,6.99
2016-01-11,7.94
2016-02-20,7.99
2016-02-21,7.49
2016-02-28,7.99
2016-03-31,7.99
2016-04-01,7.99
2016-04-03,7.49
2016-04-11,7.54
2016-04-14,7.59
2016-05-15,7.59
2016-05-26,7.99
2016-11-25,7.99
