Time,Price
2012-05-31,8.82
2012-06-03,9.02
2012-06-04,8.85
2012-06-07,8.82
2012-06-07,9.02
2012-06-08,8.85
2012-06-10,8.96
2012-06-16,8.82
2012-06-20,8.79
2012-06-23,8.82
2012-07-03,8.64
2012-07-04,8.74
2012-07-05,8.82
2012-07-05,8.79
2012-07-13,7.49
2012-07-17,7.62
2012-07-18,7.81
2012-07-18,7.89
2012-07-18,7.97
2012-07-18,7.49
2012-07-23,7.81
2012-07-24,7.89
2012-07-24,7.79
2012-07-26,7.86
2012-07-26,7.94
2012-07-27,8.02
2012-07-27,8.1
2012-07-27,8.18
2012-07-28,8.26
2012-07-28,8.43
2012-07-28,8.52
2012-07-29,7.79
2012-08-03,7.79
2012-08-22,7.1
2012-08-23,7.69
2012-08-23,7.76
2012-08-24,7.79
2012-08-25,7.1
2012-08-27,7.62
2012-08-27,7.69
2012-08-27,7.79
2012-08-28,7.56
2012-08-29,7.59
2012-09-05,7.49
2012-09-11,7.59
2012-09-19,7.56
2012-09-21,7.59
2012-09-24,7.56
2012-09-25,7.59
2012-09-26,7.56
2012-09-27,7.77
2012-10-03,7.56
2012-10-04,7.56
2012-10-04,7.77
2012-10-06,7.62
2012-10-06,7.76
2012-10-06,7.83
2012-10-07,7.91
2012-10-07,8.07
2012-10-07,8.15
2012-10-07,8.23
2012-10-08,8.4
2012-10-08,8.49
2012-10-08,8.58
2012-10-08,8.76
2012-10-09,8.84
2012-10-09,8.94
2012-10-10,9.24
2012-10-10,9.29
2012-10-16,9.39
2012-10-19,9.49
2012-10-23,7.77
2012-10-30,7.54
2012-11-06,7.54
2012-11-21,7.54
2012-11-23,7.54
2012-11-27,7.26
2012-11-28,7.54
2012-12-06,7.54
2013-04-17,6.99
2013-09-02,6.99
2013-09-05,7.77
2013-09-08,7.55
2013-09-18,7.77
2013-09-20,7.79
2013-09-23,9.8
2013-09-24,9.68
2013-09-26,9.82
2013-09-27,9.66
2013-09-29,9
2013-10-03,8.94
2013-10-06,8.77
2013-10-07,8.72
2013-10-09,8.77
2013-10-10,7.61
2013-10-12,7.65
2013-10-18,9.98
2013-10-26,9.98
2013-11-03,9.61
2013-11-04,9.51
2013-11-06,9.4
2013-11-08,9.2
2013-11-09,9.27
2013-11-11,9.82
2013-11-12,9.98
2013-11-23,9.33
2013-11-24,9.29
2013-11-28,9.74
2013-12-01,9.64
2013-12-04,9.47
2013-12-05,9.37
2013-12-07,9.02
2013-12-08,9.27
2013-12-10,9.09
2013-12-22,9.09
2014-01-09,7.78
2014-01-12,7.82
2014-01-16,7.78
2014-01-18,7.79
2014-01-29,7.79
2014-01-30,7.59
2014-02-17,7.59
2014-02-22,7.52
2014-02-22,7.59
2014-03-06,7.57
2014-03-14,7.59
2014-03-19,7.59
2014-03-22,7.59
2014-04-07,7.59
2014-04-09,7.82
2014-04-16,7.59
2014-04-23,7.59
2014-05-04,7.59
2014-05-08,7.59
2014-05-10,7.59
2014-05-19,7.59
2014-05-22,7.59
2014-06-05,7.59
2014-06-09,7.59
2014-09-09,9.1
2014-09-12,7.5
2014-09-13,9.1
2014-11-04,7.99
2014-11-29,7.49
2014-12-03,7.49
2014-12-09,9.1
2014-12-28,7.59
2014-12-31,7.49
2015-01-05,7.49
2015-03-01,7.49
2015-03-12,7.59
2015-03-22,7.59
2015-03-26,7.59
2015-03-28,7.59
2015-03-30,7.49
2015-04-13,7.59
2015-04-26,7.59
2015-05-01,7.59
2015-05-17,7.59
2015-05-21,7.59
2015-06-04,7.59
2015-06-11,7.59
2015-07-29,7.59
2015-07-31,7.59
2015-08-05,7.25
2015-08-07,7.39
2015-08-10,7.59
2015-08-11,7.39
2015-08-14,6.81
2015-08-16,7.39
2015-08-20,6.81
2015-08-22,7.39
2015-08-24,6.28
2015-08-26,5.79
2015-08-28,6.29
2015-08-31,5.8
2015-09-04,5.35
2015-09-08,6.29
2015-09-10,5.8
2015-09-12,5.89
2015-11-04,5.89
2016-01-02,5.89
2016-01-05,5.89
2016-01-31,5.89
2016-03-17,8.48
2016-03-20,8.49
2016-04-13,8.47
2016-04-15,8.47
2016-04-17,7.75
2016-04-27,6.67
2016-04-30,5.99
2016-09-19,7.59
2016-10-31,6.99
2016-11-05,6.99
2016-11-10,6.99
2016-11-14,6.99
2016-11-17,6.99
2016-11-21,6.99
2016-11-24,6.99
2016-11-25,6.99
2014-06-08,
2016-11-23,9.99
2016-11-25,6.99
2016-11-26,6.99
