Time,Price
2012-06-01,7.99
2012-06-07,7.99
2012-06-12,8.49
2012-06-19,8.97
2012-06-20,8.49
2012-06-22,8.49
2012-06-23,8.49
2012-06-24,8.97
2012-06-25,7.99
2012-06-28,7.99
2012-06-29,7.99
2012-07-01,7.99
2012-07-11,7.99
2012-07-13,7.49
2012-07-17,7.99
2012-07-18,7.49
2012-07-23,7.99
2012-07-30,6.99
2012-08-06,7.99
2012-08-11,8.97
2012-08-14,8.97
2012-08-15,8.22
2012-08-15,8.97
2012-08-20,7.99
2012-09-04,7.49
2012-09-10,7.99
2012-09-12,7.99
2012-09-21,7.99
2012-10-02,7.49
2012-10-02,7.49
2012-10-09,7.99
2012-10-10,7.99
2012-10-12,7.99
2012-10-14,7.99
2012-10-16,7.71
2012-10-17,8.97
2012-10-17,8.97
2012-10-18,7.99
2012-10-18,7.99
2012-10-18,7.99
2012-10-19,7.99
2012-10-26,7.99
2012-11-06,7.99
2012-11-12,7.49
2012-11-20,7.49
2012-11-20,7.49
2012-11-21,7.49
2012-11-27,7.99
2012-12-10,8.97
2012-12-18,7.99
2012-12-21,7.99
2012-12-24,7.99
2012-12-26,7.99
2012-12-26,7.99
2012-12-28,7.99
2012-12-29,8.97
2012-12-30,8.49
2013-01-07,6.99
2013-01-10,7.99
2013-04-18,8.97
2013-04-19,8.77
2013-04-19,8.97
2013-04-22,8.49
2013-04-28,8.49
2013-05-01,8.49
2013-05-01,7.99
2013-05-02,7.99
2013-05-05,7.99
2013-05-06,7.99
2013-05-10,7.99
2014-01-31,10.79
2014-02-03,8.49
2014-02-04,8.97
2014-02-11,8.49
2014-02-21,8.49
2014-03-03,8.49
2014-03-10,8.49
2014-03-19,8.49
2014-03-20,8.49
2014-04-08,8.49
2014-04-10,8.49
2014-04-23,8.49
2014-05-04,6.49
2014-05-10,8.49
2014-05-18,8.49
2014-06-25,8.49
2014-07-10,8.49
2014-07-13,8.49
2014-07-25,8.49
2015-01-12,5.99
2015-02-01,5.49
2015-06-25,7.23
2015-07-04,7.23
2015-07-10,7.23
2015-07-21,7.23
2015-09-11,6.99
2015-11-25,7.87
2015-11-27,7.99
2015-12-10,8.97
2016-01-08,8.97
2016-01-31,8.97
2016-02-27,8.49
2016-03-17,8.49
2016-03-26,8.52
2016-04-27,7.99
2016-05-12,8.07
2016-09-21,8.07
2016-11-01,8.07
2016-11-01,8.07
2016-11-05,8.07
2016-11-06,8.07
2016-11-08,8.07
2016-11-09,8.07
2016-11-09,8.07
2016-11-10,8.07
2016-11-11,8.07
2016-11-11,8.07
2016-11-13,8.07
2016-11-14,8.07
2016-11-15,8.07
2016-11-15,8.07
2016-11-17,8.07
2016-11-18,8.07
2016-11-18,8.07
2016-11-19,7.99
2016-11-19,7.99
2016-11-21,7.99
2016-11-21,7.99
2016-11-23,7.99
2016-11-24,7.99
2016-11-25,7.99
2014-06-08,8.49
2014-08-22,8.97
2014-11-18,7.99
2014-12-09,7.49
2015-01-10,5.49
2015-01-14,5.99
2015-01-30,5.49
2015-02-15,6.99
2015-04-02,7.99
2015-05-05,7.24
2015-05-28,7.23
2015-10-21,6.99
2016-05-04,7.99
2016-10-06,8.07
2016-11-19,7.99
2016-11-26,7.99
