Time,Price
2012-06-16,14.87
2012-06-22,14.87
2012-07-01,12.74
2012-07-06,12.74
2012-07-12,12.74
2012-07-19,12.74
2012-07-20,12.56
2012-07-20,12.74
2012-07-27,12.95
2012-08-08,14.49
2012-08-11,14.49
2012-08-12,13.5
2012-08-19,13.5
2012-08-19,14.49
2012-08-26,14.49
2012-08-27,14.75
2012-09-04,13.87
2012-09-19,14.75
2012-10-03,13.87
2012-10-09,14.87
2012-10-10,14.75
2012-10-16,12.94
2012-10-17,14.75
2012-10-18,14.87
2012-10-24,13.5
2012-10-26,13.5
2012-10-29,14.87
2012-11-09,14.87
2012-11-10,14.59
2012-11-20,13.87
2012-11-30,14.87
2012-12-26,14.87
2012-12-28,14.75
2013-01-04,13.99
2013-01-06,13.38
2013-01-07,13.03
2013-01-09,12.97
2013-01-10,12.82
2013-01-12,12.97
2013-01-16,14.75
2013-01-23,14.87
2013-02-18,13.59
2013-03-01,14.87
2013-03-04,14.79
2013-03-08,14.79
2013-03-19,13.59
2013-03-25,14.79
2013-03-26,14.79
2013-03-30,14.79
2013-04-01,14.87
2013-04-03,14.87
2013-04-03,14.87
2013-04-03,14.55
2013-04-07,12.75
2013-04-09,12.75
2013-04-10,12.75
2013-04-15,14.87
2013-04-17,13.33
2013-04-18,14.87
2013-04-18,13.59
2013-04-28,13.59
2013-05-05,13.59
2013-05-06,13.59
2013-05-06,13.59
2013-05-08,13.59
2013-05-12,12.74
2013-05-12,12.74
2013-05-24,12.74
2013-05-24,12.74
2013-05-30,12.74
2013-05-30,12.74
2013-05-31,12.74
2013-06-02,13.12
2013-06-03,12.73
2013-06-05,12.89
2013-06-06,13.01
2013-06-07,12.64
2013-06-09,12.5
2013-06-10,12.5
2013-06-11,12.84
2013-06-13,13.24
2013-06-14,13.35
2013-06-16,13.16
2013-06-18,13.1
2013-06-20,13.59
2013-06-27,13.26
2013-06-29,13.46
2013-06-30,13.23
2013-07-03,13.14
2013-07-05,13.14
2013-07-05,13.23
2013-07-19,13.23
2013-07-20,13.59
2013-07-24,13.23
2013-07-26,13.1
2013-07-27,13.26
2013-07-28,13.59
2013-07-29,11.9
2013-08-03,11.9
2013-08-06,13.59
2013-08-16,13.59
2013-08-26,13.59
2013-08-29,13.59
2013-09-01,13.59
2013-09-07,13.59
2013-09-08,13.59
2013-09-18,13.59
2013-09-24,13.59
2013-10-01,13.59
2013-10-03,13.59
2013-10-07,12.6
2013-10-12,12.6
2013-10-13,13.59
2013-10-15,13.59
2013-10-16,13.36
2013-10-17,13.59
2013-10-18,13.59
2013-10-26,13.59
2013-10-31,13.59
2013-10-31,13.59
2013-11-03,12.74
2013-11-09,12.74
2013-11-24,13.59
2013-12-12,12.74
2013-12-15,13.59
2013-12-18,13.59
2013-12-21,13.59
2013-12-23,13.59
2013-12-25,13.59
2013-12-28,13.59
2013-12-30,12.6
2014-01-03,12.6
2014-01-06,13.59
2014-01-07,12.79
2014-01-30,12.79
2014-02-03,12.79
2014-02-06,12.79
2014-02-07,12.79
2014-02-09,12.79
2014-02-11,13.59
2014-02-12,13.59
2014-02-15,13.59
2014-02-18,13.59
2014-02-21,13.59
2014-02-23,13.49
2014-02-25,13.49
2014-02-25,13.49
2014-03-01,13.49
2014-03-03,13.49
2014-03-05,13.42
2014-03-05,13.49
2014-03-06,13.49
2014-03-11,13.49
2014-03-12,13.49
2014-03-16,13.59
2014-03-19,13.59
2014-03-20,13.59
2014-03-23,14.87
2014-03-30,13.59
2014-04-07,13.87
2014-04-08,13.87
2014-04-10,13.99
2014-04-14,13.59
2014-04-15,13.59
2014-04-16,13.59
