Time,Price
2013-10-03,10.49
2013-10-07,10.49
2013-10-10,10.49
2013-10-23,10.49
2013-10-25,11.68
2013-11-02,11.68
2013-11-06,10.49
2013-11-21,9.96
2013-12-07,9.96
2013-12-10,9.44
2013-12-17,9.96
2014-01-03,9.59
2014-01-04,11.68
2014-01-06,9.96
2014-03-01,9.96
2014-04-15,9.59
2014-04-25,9.92
2014-05-25,9.96
2014-06-03,9.96
2014-07-12,9.96
2014-08-01,9.96
2014-08-21,9.96
2014-09-01,9.96
2014-09-05,9.59
2014-09-09,9.96
2014-09-17,9.59
2014-09-21,9.96
2014-09-22,9.96
2014-09-25,9.96
2014-09-29,9.59
2014-10-06,9.96
2014-10-15,9.59
2014-10-25,9.96
2014-11-10,8.99
2014-11-18,9.96
2014-11-21,9.96
2014-11-22,9.96
2014-11-22,9.96
2014-11-24,9.96
2014-11-26,9.96
2014-11-28,8.99
2014-11-30,9.96
2014-12-01,8.99
2014-12-03,8.99
2014-12-22,9.59
2014-12-28,9.96
2014-12-30,9.96
2015-01-04,9.96
2015-01-05,9.59
2015-01-16,8.99
2015-03-08,9.59
2015-03-17,9.96
2015-03-19,9.96
2015-03-22,9.96
2015-03-24,9.96
2015-04-05,9.49
2015-04-12,9.59
2015-04-15,9.59
2015-04-19,9.96
2015-04-23,9.59
2015-05-07,8.09
2015-05-26,8.09
2015-05-26,8.09
2015-06-05,8.09
2015-06-07,8.09
2015-06-12,8.09
2015-06-12,8.09
2015-06-16,8.09
2015-06-17,8.09
2015-06-18,8.09
2015-06-19,8.09
2015-06-26,8.09
2015-06-28,8.09
2015-06-29,7.28
2015-07-04,7.28
2015-07-18,7.28
2015-07-22,7.28
2015-07-25,7.28
2015-09-12,7.28
2015-11-04,7.39
2015-11-12,7.39
2015-11-15,7.39
2015-11-19,10.43
2015-11-26,10.19
2015-11-29,10.19
2015-12-10,9.53
2015-12-14,10.43
2015-12-18,9.99
2015-12-22,8.19
2016-01-02,10.43
2016-01-08,10.19
2016-02-01,9.99
2016-02-19,10.19
2016-02-27,10
2016-03-02,9.99
2016-03-17,9.59
2016-03-20,9.5
2016-03-30,9.5
2016-04-02,9.59
2016-04-10,8.99
2016-04-27,9.39
2016-05-11,9.39
2016-05-25,10.19
2016-05-28,9.39
2016-06-01,10.19
2016-06-04,9.39
2016-09-20,7.39
2016-10-30,7.39
2016-10-31,7.39
2016-10-31,7.39
2016-11-04,7.39
2016-11-05,7.39
2016-11-10,7.39
2016-11-11,7.39
2016-11-13,7.39
2016-11-15,7.39
2016-11-17,7.39
2016-11-18,7.39
2016-11-19,7.39
2016-11-20,7.39
2016-11-20,7.39
2016-11-24,7.82
2016-11-25,7.82
