Time,Price
2015-06-28,5.97
2015-07-04,5.97
2015-07-10,5.97
2015-07-29,5.61
2015-08-10,5.23
2015-09-23,5.23
2015-11-04,5.66
2015-11-12,5.85
2015-11-15,5.09
2015-11-26,5.99
2015-11-29,5.99
2015-12-10,6.26
2016-03-30,5.95
2016-05-14,5.95
2016-05-18,5.95
2016-05-25,6.26
2016-09-18,6.26
2016-09-20,6.26
2016-11-25,6.26
2014-06-08,6.15
2014-09-16,6.26
2014-11-24,6.26
2014-12-05,5.09
2014-12-20,6.26
2014-12-22,6.15
2015-01-15,6.26
2015-03-02,6.15
2015-03-06,6.15
2015-03-29,6.26
2015-04-05,4.99
2015-07-04,5.97
2015-11-27,5.99
2016-01-25,4.99
2016-09-27,5.77
2016-10-31,5.69
2016-11-05,4.99
2016-11-22,3.74
2016-11-26,3.74
