Time,Price
2013-06-18,7.78
2013-07-17,7.99
2013-11-24,7.99
2013-12-07,8.47
2014-02-27,7.73
2014-05-04,7.64
2014-05-07,7.99
2014-06-08,7.49
2014-07-29,7.47
2014-08-05,7.47
2014-09-17,7.47
2014-10-16,6.49
2014-10-25,6.49
2014-11-27,6.49
2015-02-14,7.49
2015-03-19,6.49
2015-05-12,6.4
2015-05-31,6.4
2015-06-22,6.4
2015-06-25,6.4
2015-07-10,6.4
2015-07-21,6.4
2015-07-23,6.4
2015-08-15,6.49
2015-09-08,7.49
2015-09-11,7.49
2015-10-04,7.49
2015-11-04,7.49
2015-11-25,7.49
2015-12-10,7.49
2016-01-08,7.11
2016-01-31,7.49
2016-02-18,6.28
2016-02-19,7.49
2016-02-27,7.47
2016-03-17,6.49
2016-03-26,6.49
2016-03-30,6.32
2016-04-27,7.1
2016-05-24,7.1
2016-09-19,7.99
2016-11-05,7.99
2016-11-15,7.84
2016-11-20,7.64
2016-11-23,6.2
2016-11-25,6.2
