Time,Price
2013-10-18,13.59
2013-10-24,13.59
2013-10-27,13.59
2013-10-30,13.59
2013-11-02,13.59
2013-11-04,12.56
2013-11-12,12.56
2014-02-09,12.26
2014-02-12,11.59
2014-02-15,11.53
2014-02-18,13.7
2014-02-28,13.66
2014-03-06,10.54
2014-03-07,13.42
2014-03-12,13.42
2015-02-24,13.99
2015-02-28,13.99
2015-03-04,13.19
2015-03-13,13.19
2015-03-19,13.84
2015-03-29,13.19
2015-04-16,13.19
2015-04-26,13.19
2015-05-07,13.19
2015-05-20,12.37
2014-06-08,13.19
2015-01-17,13.19
2015-02-01,13.99
2015-07-20,12.99
2015-09-26,15.99
2016-05-29,11.49
2016-09-05,7.49
2016-11-14,10.49
2016-11-26,10.49
