Time,Price
2014-02-27,7.99
2014-03-18,7.99
2014-04-07,7.99
2014-04-14,7.81
2014-04-25,7.99
2014-05-04,7.99
2014-05-18,7.99
2014-05-24,7.99
2014-06-25,7.99
2014-09-12,7.99
2014-09-29,7.99
2014-10-02,7.99
2014-10-07,7.99
2014-10-15,7.99
2014-11-06,6.39
2015-01-03,5.99
2015-02-15,7.99
2015-03-12,6.39
2015-03-19,7.19
2015-03-30,7.19
2015-04-05,5.99
2015-07-04,5.99
2015-07-25,5.99
2015-10-03,5.99
2015-11-04,5.99
2015-11-29,5.59
2016-01-08,7.94
2016-01-31,7.94
2016-10-28,7.09
2016-11-10,6.89
2016-11-25,6.89
