Time,Price
2012-06-02,40.26
2012-06-07,40.01
2012-06-08,43.83
2012-06-08,43.83
2012-06-09,43.83
2012-06-11,41.28
2012-06-13,41.79
2012-06-14,41.59
2012-06-15,43.83
2012-06-15,43.83
2012-06-18,49.99
2012-06-18,49.99
2012-06-19,49.99
2012-06-19,49.99
2012-06-20,44.84
2012-06-21,44.84
2012-06-21,44.84
2012-06-25,44.84
2012-06-26,47.91
2012-06-26,45.86
2012-06-27,45.77
2012-06-27,45.77
2012-06-28,44.84
2012-06-29,46.22
2012-06-29,44.84
2012-07-01,44.34
2012-07-03,44.34
2012-07-05,40.99
2012-07-06,40.76
2012-07-06,40.76
2012-07-06,44.85
2012-07-07,44.99
2012-07-08,44.99
2012-07-10,44.99
2012-07-11,44.99
2012-07-11,44.99
2012-07-12,44.99
2012-07-13,44.99
2012-07-17,44.55
2012-07-17,44.99
2012-07-19,44.99
2012-07-26,39.99
2012-07-28,39.99
2012-07-28,39.99
2012-08-02,39.99
2012-08-03,39.99
2012-08-06,39.99
2012-08-11,39.99
2012-08-13,39.99
2012-08-15,39.99
2012-08-16,39.99
2012-08-17,39.99
2012-08-24,39.99
2012-08-29,39.99
2012-08-30,39.99
2012-09-02,39.99
2012-09-13,39.99
2012-09-14,39.99
2012-09-15,39.99
2012-09-15,39.99
2012-09-18,39.99
2012-09-20,39.99
2012-09-22,39.99
2012-09-23,39.99
2012-09-23,39.99
2012-09-24,39.99
2012-09-26,39.99
2012-10-03,39.99
2012-10-04,39.99
2012-10-04,39.99
2012-10-05,39.99
2012-10-06,39.99
2012-10-07,39.99
2012-10-08,39.99
2012-10-17,39.99
2012-10-18,39.99
2012-10-20,39.99
2012-10-23,43.94
2012-10-26,41.79
2012-10-28,43.94
2012-10-29,43.94
2012-10-31,43.92
2012-10-31,43.94
2012-11-01,43.94
2012-11-06,43.94
2012-11-13,43.94
2012-11-13,43.94
2012-11-15,43.94
2014-05-25,
2014-05-27,
2014-06-11,
2014-06-11,99.99
2014-06-12,99.99
2014-06-14,99.99
2014-06-17,99.99
2014-06-20,79.99
2014-07-06,79.99
2014-07-23,79.99
2014-08-16,77.00
2014-08-16,77.00
2014-09-09,77.00
2014-09-15,77.00
2014-09-15,77.00
2014-09-18,99.99
2014-09-20,99.99
2014-09-21,99.99
2014-09-22,99.99
2014-09-25,77.00
2014-09-25,77.00
2014-09-27,99.99
2014-09-30,99.99
2014-10-03,99.99
2014-10-06,99.99
2014-10-08,99.99
2014-11-15,59.99
2014-12-03,59.99
2015-01-13,89.95
2015-01-17,89.95
2015-02-27,74.99
2015-03-24,65.00
2015-03-25,74.99
2015-04-13,54.99
2015-04-18,74.99
2015-04-19,54.99
2015-04-22,62.99
2015-04-22,62.98
2015-04-23,59.99
2015-04-27,56.24
2015-04-28,52.99
2015-05-12,59.99
2015-05-12,59.99
2015-05-12,52.99
2015-05-12,59.99
2015-05-12,52.99
2015-05-12,59.99
2015-05-12,52.99
2015-05-13,59.99
2015-05-13,52.99
2015-05-13,59.99
2015-05-13,52.99
2015-05-13,59.99
2015-05-14,52.99
2015-05-14,59.99
2015-05-14,52.99
2015-05-14,59.99
2015-05-14,52.99
2015-05-15,59.99
2015-05-15,52.99
2015-05-15,59.99
2015-05-15,52.99
2015-05-16,59.99
2015-05-16,52.99
2015-05-16,59.99
2015-05-17,52.99
2015-05-17,59.99
2015-05-19,52.99
2015-05-19,59.99
2015-05-19,52.99
2015-05-20,59.99
2015-05-20,57.98
2015-05-21,58.00
2015-05-21,58.02
2015-05-22,57.98
2015-05-22,57.99
2015-05-23,57.98
2015-05-23,57.99
2015-05-23,58.04
2015-05-24,57.98
2015-05-24,57.99
2015-05-24,58.01
2015-05-25,57.98
2015-05-25,58.01
2015-05-25,58.03
2015-05-26,57.98
2015-05-26,57.99
2015-05-26,58.01
2015-05-27,58.00
2015-05-29,57.99
2015-05-29,57.99
2015-05-29,57.98
2015-05-29,57.99
2015-05-30,57.98
2015-05-30,57.99
2015-05-30,57.98
2015-06-01,57.99
2015-06-05,55.05
2015-06-06,55.04
2015-06-06,55.05
2015-06-07,55.00
2015-06-07,55.01
2015-06-07,55.03
2015-06-08,55.00
2015-06-08,55.00
2015-06-08,55.02
2015-06-08,55.05
2015-06-09,55.00
2015-06-09,55.02
2015-06-09,55.04
2015-06-10,55.00
2015-06-10,55.00
2015-06-10,55.03
2015-06-15,55.00
2015-06-25,55.01
2015-06-25,55.00
2015-07-02,55.01
2015-07-02,55.00
2015-07-14,55.00
2015-07-14,55.01
2015-07-15,55.00
2015-07-15,55.01
2015-07-15,55.03
2015-07-16,55.00
2015-07-16,55.02
2015-07-16,55.03
2015-07-16,55.05
2015-07-17,55.00
2015-07-17,55.02
2015-07-17,55.03
2015-07-18,55.00
2015-07-18,55.02
2015-07-19,55.00
2015-07-19,55.02
2015-07-19,55.04
2015-07-20,55.00
2015-07-20,55.02
2015-07-20,55.05
2015-07-21,59.94
2015-07-21,55.00
2015-07-21,55.02
2015-07-22,55.01
2015-07-22,55.02
2015-07-22,55.01
2015-07-23,55.00
2015-07-23,55.02
2015-07-23,49.99
2015-07-26,58.18
2015-07-27,58.18
2015-07-30,54.99
2015-08-05,54.99
2015-08-11,59.98
2015-08-12,63.64
2015-08-12,63.66
2015-08-12,63.67
2015-08-13,62.99
2015-08-13,63.01
2015-08-13,63.04
2015-08-14,63.64
2015-08-14,63.66
2015-08-14,63.67
2015-08-15,63.64
2015-08-15,63.65
2015-08-15,63.68
2015-08-16,58.67
2015-08-16,58.68
2015-08-16,58.70
2015-08-17,58.30
2015-08-18,58.59
2015-08-18,49.99
2015-08-19,62.50
2015-08-19,62.52
2015-08-19,62.54
2015-08-22,63.02
2015-08-24,63.07
2015-08-24,63.09
2015-08-25,63.00
2015-08-26,63.01
2015-09-06,59.98
2015-09-08,59.98
2015-09-11,59.99
2015-09-12,60.00
2015-09-17,69.99
2015-09-19,64.95
2015-09-21,79.46
2015-09-21,69.95
2015-11-07,58.00
2015-11-09,57.56
2015-11-10,57.77
2015-11-15,58.07
2015-11-16,44.95
2016-08-07,44.95
2016-09-07,44.95
2016-11-12,44.95
