Time,Price
2012-06-02,50.43
2012-06-04,46.85
2012-06-05,53.99
2012-06-07,53.99
2012-06-07,53.99
2012-06-08,53.99
2012-06-11,53.46
2012-06-14,50.43
2012-06-15,52.45
2012-06-17,43.49
2012-06-18,52.45
2012-06-18,52.45
2012-06-20,43.21
2012-06-21,52.45
2012-06-23,43.41
2012-06-25,52.45
2012-06-26,52.45
2012-06-26,52.45
2012-06-26,43.41
2012-06-27,52.45
2012-06-27,52.45
2012-06-29,52.45
2012-06-30,52.45
2012-07-01,53.46
2012-07-01,53.46
2012-07-02,53.46
2012-07-03,51.87
2012-07-04,52.45
2012-07-05,52.45
2012-07-05,52.49
2012-07-06,45.81
2012-07-06,45.81
2012-07-06,52.49
2012-07-07,45.84
2012-07-07,52.49
2012-07-08,45.74
2012-07-09,45.71
2012-07-10,50.47
2012-07-10,50.47
2012-07-11,45.64
2012-07-11,50.47
2012-07-12,50.34
2012-07-12,50.47
2012-07-13,45.63
2012-07-13,50.47
2012-07-14,45.45
2012-07-14,50.47
2012-07-16,45.32
2012-07-16,50.47
2012-07-16,50.47
2012-07-17,52.45
2012-07-17,45.45
2012-07-17,49.51
2012-07-18,45.42
2012-07-18,45.42
2012-07-20,45.38
2012-07-20,45.42
2012-07-21,45.35
2012-07-21,53.46
2012-07-22,45.33
2012-07-22,53.46
2012-07-23,45.28
2012-07-23,53.46
2012-07-24,53.46
2012-07-24,45.2
2012-07-24,53.46
2012-07-25,45.24
2012-07-25,53.46
2012-07-26,45.29
2012-07-26,53.46
2012-07-27,45.27
2012-07-27,45.27
2012-07-27,53.46
2012-07-28,45.36
2012-07-28,53.46
2012-07-30,45.44
2012-07-30,53.46
2012-08-01,45.5
2012-08-01,53.46
2012-08-02,45.54
2012-08-02,53.99
2012-08-10,50.47
2012-08-11,50.47
2012-08-11,50.47
2012-08-13,45.63
2012-08-13,45.63
2012-08-13,50.47
2012-08-15,45.58
2012-08-16,50.47
2012-08-16,45.6
2012-08-16,55.48
2012-08-17,55.48
2012-08-18,55.48
2012-08-20,55.48
2012-08-21,45.5
2012-08-21,55.48
2012-08-22,55.48
2012-08-22,45.5
2012-08-23,55.48
2012-08-24,55.48
2012-08-24,55.48
2012-08-24,55.48
2012-08-25,55.48
2012-08-26,55.48
2012-08-26,55.48
2012-08-27,55.48
2012-08-27,55.48
2012-08-29,45.5
2012-08-30,55.48
2012-08-30,45.49
2012-08-31,59.95
2012-08-31,59.95
2012-09-01,59.95
2012-09-01,59.95
2012-09-02,56.03
2012-09-03,50.93
2012-09-10,50.93
2012-09-11,50.93
2012-09-12,50.93
2012-09-18,59.95
2012-09-20,59.95
2012-09-21,43.67
2012-09-21,43.67
2012-09-22,59.95
2012-09-23,59.95
2012-09-25,59.95
2012-09-26,43.32
2013-01-15,46.53
2013-01-28,46.8
2013-02-14,59.95
2016-11-25,59.95
