Time,Price
2012-12-26,49.99
2012-12-27,49.99
2013-01-06,45.71
2013-01-09,45.39
2013-01-10,45.35
2013-01-10,45.21
2013-01-10,43.69
2013-01-20,41.78
2013-01-21,40.37
2013-01-22,41.43
2013-01-22,41.43
2013-01-23,40.78
2013-01-23,40.25
2013-01-28,39.42
2013-01-28,39.42
2013-01-28,39.42
2013-01-29,39.39
2013-01-30,39.38
2013-01-30,38.91
2013-01-30,38.91
2013-01-31,37.49
2013-02-01,37.44
2013-02-02,37.4
2013-02-07,36.37
2013-02-08,34.66
2013-02-08,34.36
2013-02-09,35.06
2013-02-10,36.37
2013-02-11,36.64
2013-02-12,38.45
2013-02-13,34.66
2013-02-13,38.45
2013-02-18,39.23
2013-02-18,39.23
2013-02-18,39.99
2013-02-19,39.25
2013-02-19,39.25
2013-02-19,35.16
2013-02-20,39.24
2013-02-22,39.23
2013-02-22,36.33
2013-02-22,39.23
2013-02-23,36.33
2013-02-23,39.23
2013-02-28,40.68
2013-02-28,40.68
2013-03-01,40.36
2013-03-01,40.35
2013-03-05,40.36
2013-03-05,39.37
2013-03-06,43.94
2013-03-08,38.05
2013-03-09,37.04
2013-03-09,36.03
2013-03-13,40.1
2013-03-13,40.04
2013-06-30,44.41
2013-07-02,44.41
2013-07-03,44.71
2013-07-04,43.9
2013-07-05,43.9
2013-07-10,43.9
2013-07-11,38.9
2013-07-13,38.9
2013-07-14,38.9
2013-07-16,38.9
2013-07-17,38.9
2013-08-06,38.9
2013-08-09,38.9
2013-08-11,38.9
2013-08-21,38.9
2013-08-26,38.9
2013-08-29,33.9
2013-09-07,33.9
2013-09-13,33.9
2013-09-18,33.9
2013-09-19,33.9
2013-10-04,33.9
2013-10-07,39.99
2013-10-29,39.99
2014-03-23,35.65
2016-11-25,35.65
