Time,Price
2013-02-27,169
2013-03-14,165.37
2013-03-25,169
2013-03-28,169
2013-03-29,158.08
2013-03-30,155.51
2013-03-31,155.51
2013-04-01,154.5
2013-04-02,166.12
2013-04-03,165.61
2013-04-04,165.11
2013-04-06,163.09
2013-04-07,162.58
2013-04-10,164.19
2013-04-11,162.58
2013-04-11,164.18
2013-04-12,162.58
2013-04-13,163.6
2013-04-16,169
2013-04-17,169
2013-04-17,160.57
2013-04-18,169
2013-04-18,164.56
2013-04-19,164.56
2013-04-21,166.19
2013-04-22,164.56
2013-04-22,164.56
2013-04-22,164.56
2013-04-24,166.18
2013-04-28,169
2013-04-29,169
2013-05-14,169
2013-05-14,169
2013-05-15,169
2013-05-16,169
2013-05-16,169
2013-05-23,169
2013-05-29,169
2013-06-06,169.95
2013-06-08,169.95
2013-07-17,169.95
2013-07-18,169.95
2013-07-18,169.95
2013-07-20,169.95
2013-07-21,169.95
2013-07-23,169.95
2013-07-26,169.95
2013-07-30,169.95
2013-08-01,169.95
2013-08-01,169.95
2013-08-02,169.95
2013-08-02,169.95
2013-08-04,169.95
2013-08-05,169.95
2013-08-06,169.95
2013-08-07,169.95
2013-08-07,169.95
2013-08-08,169.95
2013-08-10,169.95
2013-08-10,169.95
2013-08-11,169.95
2013-08-11,169.95
2013-08-12,169.95
2013-08-13,169.95
2013-08-13,169.95
2013-08-16,161.58
2013-08-20,156.53
2013-08-22,156.53
2013-08-24,155.51
2013-08-25,155.51
2013-08-25,154.51
2013-08-26,154.51
2013-08-26,154
2013-08-27,154
2013-08-28,153.49
2013-08-29,153.49
2013-08-30,152.99
2013-08-30,152.99
2013-08-31,152.99
2013-08-31,152.48
2013-09-02,152.48
2013-09-03,151.98
2013-09-03,151.47
2013-09-04,151.47
2013-09-05,148.38
2013-09-06,151.47
2013-09-06,151.47
2013-09-13,148.44
2013-09-13,148.44
2013-09-14,147.94
2013-09-15,147.94
2013-09-15,147.94
2013-09-16,147.94
2013-09-16,147.94
2013-09-18,147.94
2013-09-19,147.43
2013-09-19,147.43
2013-09-20,147.43
2013-09-20,147.43
2013-09-21,147.43
2013-09-21,147.43
2013-09-22,147.43
2013-09-24,147.43
2013-09-24,147.43
2013-09-25,147.43
2013-09-26,147.43
2013-09-26,147.43
2013-09-26,147.43
2013-09-27,144.4
2013-09-29,144.4
2013-09-30,144.4
2013-09-30,144.4
2013-10-01,143.54
2013-10-01,143.39
2013-10-03,143.39
2013-10-04,143.39
2013-10-05,143.39
2013-10-05,142.57
2013-10-06,141.38
2013-10-06,141.37
2013-10-06,141.37
2013-10-07,141.37
2013-10-08,141.37
2013-10-09,141.37
2013-10-09,141.36
2013-10-10,136.27
2013-10-10,141.36
2013-10-10,141.36
2013-10-11,140.86
2013-10-11,140.86
2013-10-11,140.86
2013-10-12,140.86
2013-10-12,140.86
2013-10-13,140.86
2013-10-14,140.86
2013-10-15,140.86
2013-10-16,140.86
2013-10-17,140.86
2013-10-18,139.85
2013-10-19,139.34
2013-10-20,139.34
2013-10-20,138.34
2013-10-21,137.83
2013-10-22,137.83
2013-10-22,137.83
2013-10-23,137.83
2013-10-23,137.83
2013-10-23,137.83
2013-10-24,137.83
2013-10-25,137.83
2013-10-25,137.83
2013-10-26,137.83
2013-10-26,137.83
2013-10-26,137.32
2013-10-27,137.32
2013-10-27,137.23
2013-10-28,137.23
2013-10-29,137.23
2013-10-29,137.23
2013-10-30,137.23
2013-10-30,136.25
2013-11-01,136.24
2013-11-02,136.24
2013-11-02,136.24
2013-11-04,136.24
2013-11-05,136.24
2013-11-05,137.32
2013-11-06,137.32
2013-11-06,137.24
2013-11-07,137.23
2013-11-08,137.23
2013-11-08,136.36
2013-11-08,136.31
2013-11-09,137.94
2013-11-10,137.23
2013-11-10,137.94
2013-11-12,138.34
2013-11-13,137.24
2013-11-13,137.24
2013-11-13,137.24
2013-11-19,137.23
2013-11-19,131.27
2013-11-20,131.27
2013-11-20,131.17
2013-11-21,131.06
2013-11-21,131.06
2013-11-22,129.99
2013-11-22,129.99
2013-11-23,129.99
2013-11-24,129.99
2013-11-25,129.99
2013-11-26,129.99
2013-11-26,129.99
2013-11-27,129.99
2013-11-28,123.14
2013-11-28,123.14
2013-11-28,119.99
2013-11-28,119.99
2013-11-29,119.99
2013-11-30,119.99
2013-11-30,135.31
2013-12-02,135.3
2013-12-03,135.29
2013-12-04,135.28
2013-12-04,135.26
2013-12-05,135.26
2013-12-05,135.25
2013-12-05,135.25
2013-12-06,135.24
2013-12-06,135.24
2013-12-07,137.29
2013-12-09,137.29
2013-12-09,119.99
2013-12-10,137.28
2013-12-10,136.58
2013-12-10,137.28
2013-12-11,135.26
2013-12-11,137.28
2013-12-11,135.26
2013-12-11,135.26
2013-12-11,135.25
2013-12-12,135.25
2013-12-12,135.25
2013-12-12,135.25
2013-12-12,135.25
2013-12-13,135.25
2013-12-13,135.25
2013-12-13,135.25
2013-12-13,135.25
2013-12-14,135.25
2013-12-14,135.25
2013-12-15,135.25
2013-12-15,135.25
2013-12-15,135.25
2013-12-16,133.28
2013-12-16,135.25
2013-12-16,138.62
2013-12-17,138.37
2013-12-17,138.37
2013-12-17,138.37
2013-12-17,138.37
2013-12-17,138.37
2013-12-18,133.28
2013-12-19,133.28
2013-12-19,138.36
2013-12-19,138.36
2013-12-19,138.35
2013-12-20,138.34
2013-12-20,138.33
2013-12-21,133.28
2013-12-22,136.63
2013-12-22,136.63
2013-12-22,138.33
2013-12-22,138.32
2013-12-23,138.31
2013-12-23,138.31
2013-12-24,137.29
2013-12-24,138.31
2013-12-26,136.97
2013-12-27,135.48
2013-12-27,134.91
2013-12-28,135.47
2013-12-28,136.24
2013-12-28,137.58
2013-12-29,153.54
2013-12-30,142.71
2013-12-30,169.95
2013-12-31,161.16
2013-12-31,161.16
2013-12-31,169.95
2013-12-31,169.95
2014-01-01,169.95
2014-01-02,169.95
2014-01-02,169.95
2014-01-02,164.95
2014-01-02,164.95
2014-01-03,151.56
2014-01-03,151.56
2014-01-04,151.54
2014-01-04,151.54
2014-01-05,150.55
2014-01-05,150.04
2014-01-06,149.53
2014-01-06,146.42
2014-01-06,143.25
2014-01-06,136.56
2014-01-07,133.32
2014-01-07,132.29
2014-01-08,132.81
2014-01-08,135.49
2014-01-08,135.49
2014-01-09,133.68
2014-01-09,135.49
2014-01-09,132.66
2014-01-09,132.66
2014-01-09,133.01
2014-01-09,133.01
2014-01-10,133.01
2014-01-10,135.84
2014-01-11,137.35
2014-01-11,140.41
2014-01-11,140.41
2014-01-12,140.41
2014-01-12,141.43
2014-01-13,144.88
2014-01-13,144.88
2014-01-14,145.98
2014-01-15,146.4
2014-01-15,146.4
