Time,Price
2013-07-26,80.77
2013-09-04,80.75
2013-09-13,80.77
2013-09-14,80.75
2013-09-16,80.77
2013-09-17,80.75
2013-09-18,80.77
2013-09-20,80.77
2013-09-21,80.77
2013-09-23,80.77
2013-09-24,80.77
2013-09-26,54.99
2013-09-26,54.99
2013-10-04,60.13
2013-10-05,79.95
2013-10-07,79.95
2013-10-08,54.98
2013-10-09,54.98
2013-10-10,54.98
2013-10-11,54.99
2013-10-15,54.99
2013-10-16,79.95
2013-10-18,79.95
2013-10-18,79.95
2013-10-19,79.95
2013-10-21,54.99
2013-10-23,79.95
2013-10-23,79.95
2013-10-24,79.71
2013-10-26,79.71
2013-10-26,79.71
2013-10-27,79.95
2013-10-28,79.95
2013-10-29,79.95
2013-10-29,79.95
2013-10-30,79.95
2013-10-30,79.95
2013-10-30,79.95
2013-10-31,79.95
2013-11-01,54.99
2013-11-04,54.99
2013-11-06,54.99
2013-11-19,79.55
2013-11-20,79.95
2013-11-21,79.7
2013-11-22,79.95
2013-11-24,75.67
2013-11-25,79.95
2013-11-26,79.63
2013-11-26,79.52
2013-11-27,79.52
2013-11-28,49.99
2013-12-03,49.99
2013-12-17,79.83
2013-12-19,79.95
2013-12-20,79.83
2013-12-22,79.83
2014-01-03,79.95
2014-01-11,79.95
2014-01-12,80.73
2014-01-13,78.99
2014-01-14,79.95
2014-01-16,79.95
2014-01-21,79.95
2014-01-22,79.95
2014-01-25,77.95
2014-01-26,79.95
2014-01-28,79.95
2014-02-02,79.95
2014-02-12,70.66
2014-02-13,79.99
2014-02-14,79.99
2014-02-15,75.67
2014-02-16,79.99
2014-02-17,79.99
2014-02-20,79.99
2014-02-22,79.99
2014-02-22,79.99
2014-02-24,79.99
2014-03-01,79.99
2014-03-03,79.99
2014-03-04,79.99
2014-03-05,71.64
2014-03-06,79.15
2014-03-08,79.15
2014-03-09,79.15
2014-03-21,65.29
2014-03-22,75.51
2014-03-25,76.53
2014-03-27,77.55
2014-03-29,75.51
2014-03-30,77.86
2014-04-06,49.99
2014-04-12,64.95
2016-11-25,64.95
