Time,Price
2014-05-25,39.99
2014-06-11,39.99
2014-07-19,24.50
2014-07-29,24.50
2014-08-07,39.99
2014-08-07,39.99
2014-08-12,39.99
2014-08-31,39.99
2014-10-14,39.99
2014-10-24,39.99
2014-11-17,39.99
2014-11-18,39.99
2014-11-21,39.99
2014-11-28,39.99
2014-12-02,39.99
2014-12-03,39.99
2014-12-06,39.99
2014-12-08,39.99
2015-01-01,39.99
2015-01-04,39.99
2015-01-10,39.99
2015-02-14,39.99
2015-02-17,39.99
2015-02-20,39.99
2015-02-25,39.99
2015-03-11,39.99
2015-05-09,39.99
2015-07-08,39.99
2015-07-09,39.99
2015-07-10,39.99
2015-07-11,39.99
2015-07-12,39.99
2015-07-13,39.99
2015-07-14,39.99
2015-07-15,39.99
2015-07-23,39.99
2015-07-25,39.99
2015-08-05,39.99
2015-08-06,39.99
2015-08-08,39.99
2015-08-09,39.99
2015-08-10,39.99
2015-08-11,39.99
2015-08-12,39.99
2015-08-13,39.99
2015-08-14,39.99
2015-08-15,39.99
2015-08-16,39.99
2015-08-17,39.99
2015-08-18,39.99
2015-08-18,39.99
2015-08-20,39.99
2015-08-24,39.99
2015-08-25,39.99
2016-01-06,29.99
2016-07-05,29.99
2016-11-11,16.99
2016-11-12,16.99
