Time,Price
2012-06-06,24.15
2012-06-07,22.8
2012-06-08,22.8
2012-06-11,22.8
2012-06-15,24.67
2012-06-17,21.89
2012-06-25,21.89
2012-06-26,24
2012-06-27,22.3
2012-06-28,21.94
2012-06-28,26.42
2012-06-29,25.76
2012-06-29,25.12
2012-06-30,21.65
2012-07-02,27.1
2012-07-03,25.34
2012-07-03,24.71
2012-07-04,24.09
2012-07-04,23.95
2012-07-10,21.65
2012-07-11,20.94
2012-07-12,20.81
2012-07-12,20.78
2012-07-13,20.93
2012-07-13,20.64
2012-07-15,18.97
2012-07-16,20.28
2012-07-16,20.44
2012-07-17,22.93
2012-07-18,20.72
2012-07-18,20.72
2012-07-19,20.45
2012-07-20,20.72
2012-07-23,21.01
2012-07-23,20.72
2012-07-24,20.51
2012-07-24,20.09
2012-07-25,19.99
2012-07-25,19.99
2012-07-26,20.28
2012-07-26,20.68
2012-07-27,20.47
2012-07-27,20.55
2012-07-27,20.5
2012-07-28,20.29
2012-07-28,20.45
2012-07-29,20.48
2012-07-29,20.35
2012-07-30,21.01
2012-07-31,22.89
2012-08-03,22.63
2012-08-04,22
2012-08-05,21.37
2012-08-06,20.6
2012-08-07,20.44
2012-08-08,20.45
2012-08-09,22.63
2012-08-11,21.71
2012-08-12,20.79
2012-08-13,20.51
2012-08-14,18.28
2012-08-15,22.63
2012-08-16,22.63
2012-08-17,22.63
2012-08-20,20.78
2012-08-21,19.99
2012-08-22,22.63
2012-08-25,22.26
2012-08-25,21.89
2012-08-26,19.99
2012-08-27,22.63
2012-09-04,22.1
2012-09-11,22.63
2012-09-18,22.63
2012-09-19,22.63
2012-09-26,20.17
2012-09-27,21.91
2012-09-28,22.1
2012-09-29,22.39
2012-10-02,22.84
2012-10-03,26.23
2012-10-04,20.28
2012-10-04,26.24
2012-10-05,25.99
2012-10-05,22.89
2012-10-07,22.89
2012-10-08,25.99
2012-10-08,20.28
2012-10-09,26.23
2012-10-09,19.47
2012-10-09,19.91
2012-10-10,19.91
2012-10-10,19.55
2012-10-10,22.89
2012-10-11,19.2
2012-10-11,22.89
2012-10-12,26.02
2012-10-12,26.02
2012-10-12,25.55
2012-10-18,25.02
2012-10-24,24.61
2012-10-26,26.49
2012-11-07,21.46
2012-11-07,21.01
2012-11-08,20.64
2012-11-09,20.13
2012-11-09,20.13
2012-11-09,20.13
2012-11-11,20.13
2012-11-11,20.13
2012-11-11,20.24
2012-11-12,21.46
2012-11-12,21.38
2012-11-13,21.38
2012-11-13,21.46
2012-11-14,21.46
2012-11-15,21.09
2012-11-15,20.64
2012-11-16,20.64
2012-11-17,21.85
2012-11-17,20.27
2012-11-17,22.59
