Time,Price
2015-06-05,7
2015-06-08,7
2015-06-11,7
2015-06-15,7
2015-06-18,7
2015-06-25,7
2015-07-15,7
2015-07-19,7
2015-07-22,7
2015-07-26,7
2015-07-30,7
2015-08-02,7
2015-08-06,7
2015-08-10,7
2015-08-14,7
2015-08-19,7
2015-08-23,7
2015-08-27,7
2015-08-31,7.11
2015-09-05,6.82
2015-09-09,6.82
2015-09-13,7.5
2015-09-16,7.5
2015-09-19,7.5
2015-09-23,7.5
2015-09-26,7.5
2015-09-30,7.5
2015-11-05,9
2015-11-08,9
2015-11-12,9
2015-11-15,8.07
2015-11-19,9
2015-11-23,9
2015-11-26,8.08
2015-11-29,7.11
2015-12-11,8.08
2015-12-15,8.08
2015-12-19,8.08
2015-12-23,8.08
2016-01-03,10.55
2016-01-09,10.18
2016-02-01,8.54
2016-02-19,7.5
2016-02-28,7.86
2016-03-02,8.38
2016-03-17,8.38
2016-03-21,8.38
2016-03-24,8.38
2016-03-28,8.38
2016-04-03,8.38
2016-04-06,8.09
2016-04-10,8.09
2016-04-14,8.09
2016-04-27,8.09
2016-05-01,8.09
2016-05-11,8.09
2016-05-15,8.09
2016-05-25,8.09
2016-05-29,8.09
2016-06-01,8.09
2016-09-20,8.09
2016-11-25,8.09
2014-06-08,10.49
2016-01-12,10.27
2016-11-25,6.99
2016-11-25,6.99
2016-11-26,6.99
