Time,Price
2012-06-02,12.93
2012-06-03,12.66
2012-06-04,12.66
2012-06-04,9.99
2012-06-06,13.01
2012-06-07,12.64
2012-06-08,12.87
2012-06-08,13.02
2012-06-09,13.03
2012-06-10,13.23
2012-06-11,13.44
2012-06-13,13.21
2012-06-14,13.03
2012-06-16,13.04
2012-06-17,12.89
2012-06-18,9.99
2012-06-19,12.77
2012-06-20,12.77
2012-06-21,12.77
2012-06-22,12.35
2012-06-23,12.36
2012-06-25,12.37
2012-06-26,12.39
2012-06-26,12.39
2012-06-27,9.99
2012-06-28,9.99
2012-06-28,9.99
2012-06-29,12.4
2012-06-29,12.39
2012-06-30,12.39
2012-06-30,12.39
2012-07-01,12.39
2012-07-01,12.39
2012-07-02,11.88
2012-07-03,11.88
2012-07-03,11.88
2012-07-04,11.88
2012-07-05,13.85
2012-07-05,13.85
2012-07-06,13.85
2012-07-06,13.85
2012-07-07,13.85
2012-07-08,13.85
2012-07-08,13.85
2012-07-10,13.85
2012-07-11,13.85
2012-07-11,13.85
2012-07-14,13.85
2012-07-15,13.85
2012-07-16,13.85
2012-07-16,13.85
2012-07-17,13.85
2012-07-18,11.88
2012-07-19,11.88
2012-07-19,11.88
2012-07-20,13.85
2012-07-20,13.85
2012-07-21,13.85
2012-07-23,13.85
2012-07-24,13.85
2012-07-24,13.85
2012-07-25,13.85
2012-07-25,13.85
2012-07-26,13.85
2012-07-26,13.85
2012-07-27,13.85
2012-07-30,13.85
2012-07-30,13.85
2012-07-31,13.85
2012-08-01,13.85
2012-08-02,13.85
2012-08-03,13.85
2012-08-04,13.85
2012-08-05,13.85
2012-08-06,13.85
2012-08-07,13.85
2012-08-08,13.85
2012-08-08,13.85
2012-08-09,13.85
2012-08-10,13.85
2012-08-11,13.85
2012-08-12,13.85
2012-08-13,13.85
2012-08-14,13.62
2012-08-15,13.62
2012-08-16,13.69
2012-08-17,13.85
2012-08-18,13.47
2012-08-18,13.31
2012-08-19,13.15
2012-08-20,13
2012-08-21,13.85
2012-08-22,13.59
2012-08-23,13.68
2012-08-24,13.47
2012-08-25,13.47
2012-08-25,13.71
2012-08-26,13.85
2012-08-27,13.69
2012-08-28,13.7
2012-08-29,13.85
2012-08-30,13.48
2012-08-31,13.85
2012-09-01,11.88
2012-09-02,13.85
2012-09-03,11.88
2012-09-04,13.85
2012-09-05,13.85
2012-09-10,11.88
2012-09-11,11.88
2012-09-12,11.88
2012-09-13,13.85
2012-09-14,13.85
2012-09-15,13.85
2012-09-18,13.85
2012-09-20,13.85
2012-09-21,13.85
2012-09-21,13.85
2012-09-22,11.88
2012-09-23,13.85
2012-09-24,13.85
2012-09-25,13.85
2012-09-26,13.85
2012-09-28,13.85
2012-09-28,13.85
2012-09-29,13.58
2012-10-02,13.85
2012-10-03,13.85
2012-10-04,13.85
2012-10-05,13.7
2012-10-06,13.66
2012-10-07,13.85
2012-10-08,13.85
2012-10-08,13.79
2012-10-09,13.74
2012-10-10,13.71
2012-10-11,13.53
2012-10-12,13.41
2012-10-16,13.71
2012-10-16,13.56
2012-10-17,13.56
