Time,Price
2012-06-02,14.17
2012-06-03,14.19
2012-06-04,14.92
2012-06-04,14.92
2012-06-06,14.92
2012-06-10,14.92
2012-06-11,14.92
2012-06-11,14.92
2012-07-07,14.73
2012-07-08,14.73
2012-07-08,14.73
2012-07-09,14.73
2012-07-10,14.73
2012-07-13,12.26
2012-07-13,12.26
2012-07-29,14.22
2012-07-30,14.25
2012-07-30,14.25
2012-07-31,14.23
2012-08-01,14.04
2012-08-02,14.04
2012-08-03,14.04
2012-08-04,14.04
2012-08-05,14.04
2012-08-12,14.04
2012-08-25,13.29
2012-08-25,13.29
2012-08-25,13.72
2012-08-27,13.72
2012-08-29,13.72
2012-08-30,13.87
2012-08-31,13.87
2012-09-01,13.87
2012-09-02,13.87
2012-09-04,13.72
2012-09-10,13.87
2012-09-12,13.87
2012-09-13,13.87
2012-09-15,13.61
2012-09-20,13.61
2012-09-21,13.87
2012-09-21,13.87
2012-09-22,13.87
2012-09-23,13.72
2012-09-24,13.87
2012-09-24,13.87
2012-09-25,13.87
2012-09-26,13.87
2012-10-17,13.87
2012-10-28,13.71
2012-12-04,13.29
2012-12-24,15.4
2012-12-27,16.5
2012-12-28,17.29
2013-01-03,17.29
2013-01-04,17.29
2013-01-07,17.29
2013-01-10,16.92
2013-01-11,15.32
2013-01-15,17.29
2013-01-17,17.29
2013-01-18,17.29
2013-01-19,15.59
2013-01-20,15.59
2013-02-07,15.79
2013-02-12,15.98
2013-02-13,15.87
2013-02-14,15.87
2013-02-16,15.72
2013-02-17,15.73
2013-02-18,15.73
2013-02-19,15.73
2013-02-22,17.09
2013-02-25,15.23
2013-08-10,13
2013-08-13,13
2013-08-22,12.94
2013-08-27,13.22
2013-08-29,13
2013-09-01,13
2013-09-07,13
2014-01-03,13
2014-01-06,13
2014-01-08,13
2014-01-08,13
2014-01-10,13
2014-01-12,13
2014-02-05,13
2014-02-05,13
2014-02-05,13
2014-02-06,13
2014-02-08,13
2014-02-08,13
2014-02-10,13
2014-08-22,13
2015-06-22,15.68
2015-09-09,13.7
2015-09-13,15.13
2015-09-16,14
2016-02-19,13
2016-02-28,13
2016-03-17,13
2016-03-21,13
2016-03-28,13
2016-04-06,13
2016-04-14,13
2016-04-26,15.96
2016-04-26,16.01
2016-04-27,16.01
2016-04-27,16.01
2016-04-28,16.01
2016-04-28,16.01
2016-04-28,16.95
2016-04-29,16.95
2016-04-29,16.95
2016-04-30,16.01
2016-05-01,16.01
2016-05-01,16.01
2016-05-10,12.03
2016-05-10,12.25
2016-05-11,12.25
2016-05-11,12.25
2016-05-12,12.25
2016-05-12,13
2016-05-13,13
2016-05-13,13
2016-05-14,12.6
2016-05-15,12.65
2016-05-15,12.63
2016-05-15,12.65
2016-05-15,12.75
2016-05-16,12.71
2016-05-17,12.63
2016-05-17,13
2016-05-18,13
2016-05-24,13
2016-05-24,12.74
2016-05-25,13
2016-05-25,12.72
2016-05-26,13
2016-05-26,13
2016-05-26,13
2016-05-27,13
2016-05-28,13
2016-05-29,13
2016-05-29,13
2016-05-29,13
2016-05-30,13
2016-05-31,13
2016-06-01,13
2016-06-01,13
2016-06-02,13
2016-06-02,13
2016-06-03,11.99
2016-06-03,13
2016-06-04,13
2016-09-18,13.19
2016-09-20,12.88
2016-11-25,12.88
