Time,Price
2012-12-17,9.99
2012-12-18,9.99
2012-12-19,9.99
2012-12-19,9.99
2015-06-04,10.87
2015-06-08,10.87
2015-06-11,10.87
2015-06-15,10.87
2015-06-18,10.87
2015-06-22,10.87
2015-06-24,10.87
2015-06-25,10.87
2015-06-28,10.87
2015-07-05,10.87
2015-07-10,10.87
2015-07-15,10.87
2015-07-18,10.87
2015-07-22,10.87
2015-07-26,10.87
2015-07-29,10.87
2015-08-02,10.87
2015-08-06,10.87
2015-08-10,10.87
2015-08-14,11.99
2015-08-19,11.99
2015-08-23,11.99
2015-08-27,11.99
2015-08-31,11.99
2015-09-05,11.99
2015-09-09,11.99
2015-09-13,11.99
2015-09-16,11.99
2015-09-23,11.99
2015-09-26,11.99
2015-09-30,11.99
2015-10-04,11.99
2015-11-04,11.99
2015-11-12,11.99
2015-11-15,11.99
2015-11-22,11.99
2015-11-26,11.99
2015-11-29,11.99
2015-12-11,11.99
2015-12-15,11.99
2015-12-18,11.99
2015-12-22,11.99
2016-01-03,11.99
2016-01-09,11.99
2016-02-19,11.99
2016-02-28,11.99
2016-03-02,11.99
2016-03-24,14.99
2016-03-27,14.99
2016-03-30,14.99
2016-05-01,14.99
2016-05-11,14.99
2016-05-28,14
2016-06-01,14
2016-09-20,14.99
2016-11-25,14.99
