Time,Price
2012-06-01,10.15
2012-06-01,10.18
2012-06-01,10.18
2012-06-07,10.2
2012-06-08,10.21
2012-06-09,10.32
2012-06-10,10.32
2012-06-10,10.63
2012-06-11,10.58
2012-06-11,10.78
2012-06-12,10.78
2012-06-13,10.66
2012-06-13,10.66
2012-06-14,10.66
2012-06-15,10.26
2012-06-15,10.26
2012-06-16,12.37
2012-06-17,11.22
2012-06-17,10.19
2012-06-18,10.2
2012-06-19,10.2
2012-06-19,10.2
2012-06-20,10.19
2012-06-20,10.19
2012-06-21,10.19
2012-06-21,10.19
2012-06-22,10.18
2012-06-22,10.18
2012-06-23,10.17
2012-06-23,10.17
2012-06-24,10.18
2012-06-24,10.18
2012-06-25,10.18
2012-06-25,10.21
2012-06-26,10.19
2012-06-26,10.19
2012-06-26,10.19
2012-06-27,10.2
2012-06-27,10.2
2012-06-27,10.2
2012-06-27,10.2
2012-06-28,10.2
2012-06-28,10.43
2012-06-28,10.43
2012-06-29,10.43
2012-06-29,10.43
2012-06-29,10.43
2012-06-29,10.89
2012-06-30,10.89
2012-06-30,10.89
2012-06-30,10.89
2012-06-30,10.89
2012-07-01,10.91
2012-07-01,10.91
2012-07-01,10.91
2012-07-01,10.91
2012-07-02,10.9
2012-07-02,10.88
2012-07-03,10.88
2012-07-03,10.88
2012-07-03,10.88
2012-07-03,10.89
2012-07-04,10.89
2012-07-11,10.83
2012-07-11,10.83
2012-07-12,10.83
2012-07-12,10.83
2012-07-12,10.83
2012-07-13,10.83
2012-07-13,10.83
2012-07-13,10.84
2012-07-13,10.84
2012-07-14,10.83
2012-07-14,10.83
2012-07-14,10.81
2012-07-15,10.82
2012-07-15,10.82
2012-07-16,10.82
2012-07-16,10.79
2012-07-20,10.82
2012-07-20,10.82
2012-07-20,10.82
2012-07-21,10.84
2012-07-21,10.84
2012-07-21,10.84
2012-07-21,10.83
2012-07-22,10.83
2012-07-22,10.84
2012-07-23,10.84
2012-07-24,10.83
2012-07-24,10.83
2012-07-24,10.83
2012-07-25,10.83
2012-07-25,10.83
2012-07-25,10.83
2012-07-26,10.82
2012-07-26,10.82
2012-07-26,10.83
2012-07-27,10.87
2012-07-27,10.87
2012-07-28,10.87
2012-07-28,10.87
2012-07-29,10.87
2012-07-29,10.87
2012-07-29,10.87
2012-07-30,10.87
2012-07-30,10.88
2012-07-31,10.88
2012-07-31,10.88
2012-08-01,10.86
2012-08-01,10.86
2012-08-02,10.85
2012-08-02,10.85
2012-08-03,10.86
2012-08-03,10.86
2012-08-03,10.87
2012-08-04,10.87
2012-08-04,10.86
2012-08-06,10.87
2012-08-06,10.87
2012-08-07,9.99
2012-08-08,10.87
2012-08-08,10.87
2012-08-09,10.86
2012-08-09,9.99
2012-08-10,9.99
2012-08-10,9.99
2012-08-11,9.99
2012-08-11,9.99
2012-08-11,10.85
2012-08-12,10.85
2012-08-12,10.86
2012-08-13,10.81
2012-08-13,10.8
2012-08-13,10.78
2012-08-14,10.75
2012-08-15,10.75
2012-08-15,10.17
2012-08-16,10.17
2012-08-16,10.17
2012-08-16,10.73
2012-08-17,10.73
2012-08-17,10.73
2012-08-18,10.73
2012-08-18,10.73
2012-08-19,10.73
2012-08-19,10.73
2012-08-20,10.73
2012-08-20,10.72
2012-08-21,10.71
2012-08-21,10.71
2012-08-21,10.7
2012-08-22,10.7
2012-08-22,10.7
2012-08-23,10.69
2012-08-23,10.69
2012-08-24,10.7
2012-08-24,10.7
2012-08-24,10.69
2012-08-25,10.68
2012-08-25,10.69
2012-08-26,10.69
2012-08-26,10.69
2012-08-27,10.7
2012-08-28,10.69
2012-08-28,10.69
2012-08-29,10.69
2012-08-29,10.69
2012-08-30,10.69
2012-08-31,10.67
2012-09-02,10.68
2012-09-03,10.66
2012-09-04,10.67
2012-09-11,10.64
2012-09-11,10.64
2012-09-12,10.64
2012-09-12,10.64
2012-09-12,10.64
2012-09-13,10.77
2012-09-13,10.77
2012-09-14,10.85
2012-09-14,10.85
2012-09-15,10.85
2012-09-15,10.85
2012-09-23,10.47
2012-09-24,10.71
2012-09-24,10.71
2012-09-25,9.99
2012-09-25,9.99
2012-09-26,9.99
2012-09-26,9.99
2012-09-26,9.99
2012-09-27,9.99
2012-09-28,9.96
2012-09-28,9.96
2012-09-29,10.62
2012-09-29,10.62
2012-09-30,10.62
2012-09-30,10.65
2012-10-02,10.81
2012-10-03,10.66
2012-10-04,10.57
2012-10-05,10.58
2012-10-05,10.58
2012-10-06,10.58
2012-10-06,10.58
2012-10-07,10.58
2012-10-07,10.61
2012-10-07,10.61
2012-10-08,10.34
2012-10-09,10.34
2012-10-11,10.47
2012-10-11,10.2
2012-10-11,10.2
2012-10-12,10.43
2012-10-12,10.17
2012-10-14,10.65
2012-10-15,10.61
2012-10-16,10.61
2012-10-16,10.61
2012-10-16,10.61
2012-10-17,10.44
2012-10-17,10.44
2012-10-17,10.44
2012-10-18,10.5
2012-10-18,10.5
2012-10-18,10.5
2012-10-19,10.6
2012-10-20,10.6
2012-10-21,10.6
2012-10-23,10.6
2012-10-25,10.71
2012-10-25,10.71
2012-10-27,10.71
2012-10-28,10.66
2012-10-28,10.66
2012-10-29,10.66
2012-10-30,10.66
2012-10-31,9.99
2012-11-06,9.99
2012-11-06,9.99
2012-11-06,9.99
2012-11-07,9.99
2012-11-07,9.99
2012-11-08,9.99
2012-11-09,9.99
2012-11-09,9.99
2012-11-10,9.99
2012-11-12,9.99
2012-11-12,9.99
2012-11-15,9.99
2012-11-16,9.99
2012-11-16,9.99
2012-11-17,9.99
2012-11-17,9.99
2012-11-18,9.99
2012-11-20,9.99
2012-11-24,5
2012-11-25,9.78
2012-11-25,9.78
2012-11-26,9.78
2012-11-27,9.78
2012-11-29,9.78
2012-11-29,9.78
2012-11-29,9.69
2012-11-30,9.69
2012-12-01,9.69
2012-12-02,9.69
2012-12-02,9.69
2012-12-03,9.99
2012-12-03,9.99
2012-12-03,9.69
2012-12-04,9.99
2012-12-04,9.99
2012-12-04,9.99
2012-12-05,9.69
2012-12-05,9.99
2012-12-05,9.99
2012-12-05,9.99
2012-12-06,9.99
2012-12-06,9.99
2012-12-07,9.99
2012-12-07,9.99
2012-12-07,9.99
2012-12-09,10.44
2012-12-09,10.44
2012-12-10,10.44
2012-12-10,10.44
2012-12-10,10.44
2012-12-11,10.73
2012-12-12,10.44
2012-12-14,10.43
2012-12-15,10.13
2012-12-15,10.13
2012-12-16,10.13
2012-12-16,10.44
2012-12-17,10.44
2012-12-17,10.44
2012-12-18,10.44
2012-12-18,10.44
2012-12-18,10.44
2012-12-19,10.44
2012-12-19,10.44
2012-12-19,10.44
2012-12-20,10.73
2012-12-21,10.69
2012-12-21,10.69
2012-12-21,10.54
2012-12-22,10.54
2012-12-22,10.54
2012-12-23,10.54
2012-12-23,10.28
2012-12-23,10.28
2012-12-24,10.28
2012-12-24,10.28
2012-12-24,10.28
2012-12-25,10.28
2012-12-25,10.28
2012-12-26,10.28
2012-12-26,10.28
2012-12-26,10.28
2012-12-27,10.28
2012-12-28,10.28
2012-12-28,9.98
2012-12-29,9.98
2012-12-29,9.98
2012-12-31,9.98
2012-12-31,9.88
2013-01-02,9.88
2013-01-17,8.99
2013-01-17,8.99
2013-01-18,8.99
2013-01-18,8.99
2013-01-19,8.99
2013-01-20,8.99
2013-01-21,8.99
2013-01-21,8.99
2013-01-23,8.99
2013-01-26,8.99
2013-01-29,8.99
2013-01-30,8.99
2013-02-18,8.99
2013-02-23,8.99
2013-02-24,8.99
2013-02-25,8.99
2013-02-25,8.99
2013-02-28,8.99
2013-02-28,8.99
2013-03-01,8.99
2013-03-02,8.99
2013-03-03,10.73
